animal,learner,pair,dim,window_bins,window_ms,ifi,degenerate,cc_peak,sig
28,1,CA1-CA3,10,8,80,-0.6427015250544662,0,0.0303,0
28,1,CA1-CA3,10,9,90,-0.6686868686868688,0,0.0303,0
28,1,CA1-CA3,10,10,100,-0.6923076923076924,0,0.0303,0
28,1,CA1-CA3,10,11,110,-0.7813333333333332,0,0.0303,0
28,1,CA1-CA3,10,12,120,-0.8066037735849056,0,0.0303,0
28,1,CA1-CA3,10,13,130,-0.6706652126499455,0,0.0303,0
28,1,CA1-CA3,10,14,140,-0.5380000000000001,0,0.0303,0
28,1,CA1-CA3,10,15,150,-0.46615824594852245,0,0.0303,0
28,1,CA1-CA3,10,16,160,-0.3373913043478261,0,0.0303,0
28,1,CA1-CA3,10,17,170,-0.3491525423728814,0,0.0303,0
28,1,CA1-CA3,10,18,180,-0.4291287386215865,0,0.0303,0
28,1,CA1-CA3,10,19,190,-0.4498746867167921,0,0.0303,0
28,1,CA1-CA3,10,20,200,-0.43281733746130036,0,0.0303,0
28,1,CA1-CA3,10,21,210,-0.33780760626398215,0,0.0303,0
28,1,CA1-CA3,10,22,220,-0.3318485523385301,0,0.0303,0
28,1,CA1-CA3,10,23,230,-0.295774647887324,0,0.0303,0
28,1,CA1-CA3,10,24,240,-0.2746803069053708,0,0.0303,0
28,1,CA1-CA3,10,25,250,-0.2754491017964072,0,0.0303,0
28,1,CA1-CA3,11,1,10,,0,,0
28,1,CA1-CA3,11,2,20,,0,,0
28,1,CA1-CA3,11,3,30,,0,,0
28,1,CA1-CA3,11,4,40,,0,,0
28,1,CA1-CA3,11,5,50,,0,,0
28,1,CA1-CA3,11,6,60,,0,,0
28,1,CA1-CA3,11,7,70,,0,,0
28,1,CA1-CA3,11,8,80,,0,,0
28,1,CA1-CA3,11,9,90,,0,,0
28,1,CA1-CA3,11,10,100,,0,,0
28,1,CA1-CA3,11,11,110,,0,,0
28,1,CA1-CA3,11,12,120,,0,,0
28,1,CA1-CA3,11,13,130,,0,,0
28,1,CA1-CA3,11,14,140,,0,,0
28,1,CA1-CA3,11,15,150,,0,,0
28,1,CA1-CA3,11,16,160,,0,,0
28,1,CA1-CA3,11,17,170,,0,,0
28,1,CA1-CA3,11,18,180,,0,,0
28,1,CA1-CA3,11,19,190,,0,,0
28,1,CA1-CA3,11,20,200,,0,,0
28,1,CA1-CA3,11,21,210,,0,,0
28,1,CA1-CA3,11,22,220,,0,,0
28,1,CA1-CA3,11,23,230,,0,,0
28,1,CA1-CA3,11,24,240,,0,,0
28,1,CA1-CA3,11,25,250,,0,,0
28,1,CA1-CA3,12,1,10,,0,,0
28,1,CA1-CA3,12,2,20,,0,,0
28,1,CA1-CA3,12,3,30,,0,,0
28,1,CA1-CA3,12,4,40,,0,,0
28,1,CA1-CA3,12,5,50,,0,,0
28,1,CA1-CA3,12,6,60,,0,,0
28,1,CA1-CA3,12,7,70,,0,,0
28,1,CA1-CA3,12,8,80,,0,,0
28,1,CA1-CA3,12,9,90,,0,,0
28,1,CA1-CA3,12,10,100,,0,,0
28,1,CA1-CA3,12,11,110,,0,,0
28,1,CA1-CA3,12,12,120,,0,,0
28,1,CA1-CA3,12,13,130,,0,,0
28,1,CA1-CA3,12,14,140,,0,,0
28,1,CA1-CA3,12,15,150,,0,,0
28,1,CA1-CA3,12,16,160,,0,,0
28,1,CA1-CA3,12,17,170,,0,,0
28,1,CA1-CA3,12,18,180,,0,,0
28,1,CA1-CA3,12,19,190,,0,,0
28,1,CA1-CA3,12,20,200,,0,,0
28,1,CA1-CA3,12,21,210,,0,,0
28,1,CA1-CA3,12,22,220,,0,,0
28,1,CA1-CA3,12,23,230,,0,,0
28,1,CA1-CA3,12,24,240,,0,,0
28,1,CA1-CA3,12,25,250,,0,,0
28,1,CA1-DG,1,1,10,0.15850702859912746,0,0.2834,1
28,1,CA1-DG,1,2,20,0.18364110116687432,0,0.2834,1
28,1,CA1-DG,1,3,30,0.14143367043426522,0,0.2834,1
28,1,CA1-DG,1,4,40,0.09377985053660726,0,0.2834,1
28,1,CA1-DG,1,5,50,0.022798067807322464,0,0.2834,1
28,1,CA1-DG,1,6,60,-0.026823529411764625,0,0.2834,1
28,1,CA1-DG,1,7,70,-0.02231821454283651,0,0.2834,1
28,1,CA1-DG,1,8,80,0.018430367386793607,0,0.2834,1
28,1,CA1-DG,1,9,90,0.03758080420729704,0,0.2834,1
28,1,CA1-DG,1,10,100,0.03438714628772315,0,0.2834,1
28,1,CA1-DG,1,11,110,0.0169125584742714,0,0.2834,1
28,1,CA1-DG,1,12,120,-0.003920423739416857,0,0.2834,1
28,1,CA1-DG,1,13,130,-0.010094330448312799,0,0.2834,1
28,1,CA1-DG,1,14,140,-0.005395552314983576,0,0.2834,1
