pair,window_bins,window_ms,n_animals,ifi_naive,ifi_expert,delta,t,p
CA1-DG,5,50,8,-0.13310677838770646,-0.06256265857688767,0.07054411981081879,0.8006177207087696,0.44966759549181445
CA1-DG,6,60,8,-0.12790842981592238,-0.06862520305847605,0.059283226757446315,0.6942540163121549,0.5099000797928678
CA1-DG,7,70,8,-0.1152263283859255,-0.07145147539338154,0.04377485299254395,0.5106867847327062,0.62527729048876
CA1-DG,8,80,8,-0.10375036564398739,-0.06776235427275165,0.03598801137123574,0.4326148240749461,0.6783100878473163
CA1-DG,9,90,8,-0.10063912967557719,-0.055555725111323416,0.045083404564253776,0.4617695312985833,0.6582540925672777
CA1-DG,10,100,8,-0.07289016780270285,-0.04152748528871701,0.03136268251398585,0.4034219297829709,0.6986764223447313
CA1-DG,11,110,8,-0.05244218297004966,-0.02008963316459978,0.03235254980544989,0.516066410748873,0.6217043324609803
CA1-DG,12,120,8,-0.03854970902260491,-0.001882107355108683,0.036667601667496226,0.6153959180474331,0.5577624968702122
CA1-DG,13,130,8,-0.030785596884083177,0.009726169458828877,0.040511766342912064,0.713493163370927,0.49863151619053514
CA1-DG,14,140,8,-0.03936196922476824,-0.0014248158096124043,0.037937153415155835,0.7788628871026888,0.46157361298423794
CA1-DG,15,150,8,-0.04504029485823569,-0.019218349789586222,0.025821945068649464,0.4936227961034064,0.6366819055256271
CA1-DG,16,160,8,-0.0480126807213307,-0.02702032870765897,0.02099235201367173,0.3993565132815246,0.7015343803717279
CA1-DG,17,170,8,-0.054015233869158095,-0.03546970161150185,0.01854553225765624,0.34656076936019414,0.7391054221384834
CA1-DG,18,180,8,-0.059196788731751854,-0.036252696444776494,0.02294409228697536,0.44707714842444557,0.6683249090753152
CA1-DG,19,190,8,-0.06417631466444655,-0.03223808204650988,0.03193823261793667,0.5981294266130611,0.5685927347140675
CA1-DG,20,200,8,-0.06854295005801442,-0.025120299772725133,0.043422650285289285,0.8209346373118069,0.43874277966433517
CA1-DG,21,210,8,-0.06819576205889384,-0.023071334051760463,0.04512442800713337,0.8904840616816659,0.40277273299582883
CA1-DG,22,220,8,-0.06029656788828082,-0.014569742395924186,0.04572682549235664,0.9234233956393334,0.38651004418777973
CA1-DG,23,230,8,-0.056021231131048885,-0.007895723928403629,0.04812550720264526,0.9666614755497693,0.3659154811740107
CA1-DG,24,240,8,-0.04696309546773876,0.00016904989025176738,0.04713214535799053,1.0063019909615516,0.3477812181419809
CA1-DG,25,250,8,-0.04013037784260425,0.011783679183905993,0.05191405702651025,1.2585444611946757,0.2485438292345493
CA1-V1,1,10,10,0.0416931193034625,-0.10119061530034727,-0.1428837346038098,-1.7828326358476756,0.10829065313232569
CA1-V1,2,20,10,0.010994152266057402,-0.09525151462986481,-0.10624566689592221,-1.6010549557612062,0.14382878510482203
CA1-V1,3,30,10,0.03780293574844641,-0.05669700746008475,-0.09449994320853114,-1.751464414026674,0.11378121463570594
CA1-V1,4,40,10,0.04183808872014143,-0.04432791972649054,-0.08616600844663198,-1.5826556056239216,0.14795949002075875
CA1-V1,5,50,10,0.0006581597638075311,-0.060454852637658374,-0.06111301240146592,-1.4182491466319818,0.18980179014977563
CA1-V1,6,60,10,-0.005056392485198326,-0.046702016290832524,-0.041645623805634205,-1.0285102545906526,0.33055711250400677
CA1-V1,7,70,10,0.0004067711399668595,-0.045488099500525916,-0.04589487064049278,-1.0922796708349116,0.3030847861908838
CA1-V1,8,80,10,-0.0025735572303117096,-0.03997866303753291,-0.037405105807221214,-0.9089842185446791,0.3870524235776508
CA1-V1,9,90,10,-0.02138770065841933,-0.04231953015221658,-0.020931829493797256,-0.6400611152009742,0.5380840836301048
CA1-V1,10,100,10,-0.02317992139839058,-0.042700607208593325,-0.019520685810202745,-0.5083131400015385,0.6234583745540407
