animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,jac_x,jac_y,sh_x,sh_y
52,1,CA1-V1,30.5,0.3315,0.3941,-5.5,8000,-0.0677,1,0.0597,-0.0494,-9,0.3422,0.3001,0.2284,0.1701,87.01,86.08,0.3043,0.2727,69.37,71.72
52,1,CA1-V1,45.5,0.5,0.7402,9.5,8000,-0.0825,4,0.1771,-0.0404,0,0.2593,0.2618,0.1991,0.1626,88.74,88.06,0.1538,0.3333,63.82,56.69
52,1,CA1-V1,60.5,0.6685,0.7918,24.5,6000,0.0838,1,0.0389,-0.0255,0,0.2698,0.2595,0.2003,0.1665,88.69,88.59,0.3636,0.1915,58.01,69.5
52,1,CA1-V1,75.5,0.8371,0.609,39.5,6000,-0.2724,6,0.3163,0.0169,0,0.2627,0.2791,0.1567,0.1377,58.07,47.31,0.1538,0.3333,81.49,80.0
52,1,CA3-DG,15.5,0.1629,0.1583,-20.5,8000,0.64,16,1.2038,0.0134,0,0.3405,0.1844,0.3804,0.3184,nan,nan,,,38.93,38.63
52,1,CA3-DG,30.5,0.3315,0.3941,-5.5,8000,0.5798,8,0.6206,0.0131,0,0.3515,0.1354,0.4381,0.3487,35.0,22.89,0.3333,0.3846,27.76,25.58
52,1,CA3-DG,45.5,0.5,0.7402,9.5,8000,0.5858,6,0.5841,0.0133,0,0.2923,0.116,0.3853,0.3157,37.28,25.67,0.28,0.2,39.32,22.32
52,1,CA3-DG,60.5,0.6685,0.7918,24.5,6000,0.2772,14,0.7555,0.0279,0,0.2889,0.1202,0.4073,0.315,49.08,44.73,0.2308,0.2,73.09,76.5
52,1,CA3-DG,75.5,0.8371,0.609,39.5,6000,0.5768,8,0.758,0.0228,0,0.2783,0.1462,0.3683,0.3287,53.92,45.55,0.3333,0.3846,35.18,26.73
52,1,V1-RSC,15.5,0.1629,0.1583,-20.5,8000,0.0642,5,0.1949,-0.018,0,0.2872,0.1248,0.2571,0.2714,nan,nan,,,83.58,69.48
52,1,V1-RSC,30.5,0.3315,0.3941,-5.5,8000,0.2381,1,0.0292,0.0531,0,0.2734,0.076,0.2598,0.1772,88.66,75.16,0.2444,0.2,87.86,78.28
52,1,V1-RSC,45.5,0.5,0.7402,9.5,8000,0.0105,5,0.7059,-0.0018,0,0.2473,0.0466,0.2565,0.2032,83.23,56.07,0.2174,0.2,75.82,51.97
52,1,V1-RSC,60.5,0.6685,0.7918,24.5,6000,0.1358,4,0.3738,-0.0051,0,0.2686,0.0426,0.2411,0.1745,58.89,39.96,0.2174,0.5,68.51,42.24
52,1,V1-RSC,75.5,0.8371,0.609,39.5,6000,0.3096,4,0.2579,0.0131,0,0.291,0.0491,0.2553,0.2262,74.05,61.12,0.2444,0.2,74.37,49.77
61,1,CA1-RSC,15.5,0.1368,0.0759,-72.5,6000,0.1965,1,0.0197,0.0334,0,0.4359,0.3086,0.1092,0.1038,nan,nan,,,79.36,79.88
61,1,CA1-RSC,30.5,0.2783,0.1884,-57.5,8000,0.1917,2,0.0361,0.0189,0,0.3752,0.2635,0.1423,0.1047,88.78,81.45,0.1034,0.3182,77.6,84.69
61,1,CA1-RSC,45.5,0.4198,0.3177,-42.5,8000,0.2522,2,0.058,0.0208,0,0.3648,0.2237,0.139,0.1289,83.47,83.42,0.28,0.4146,79.19,89.12
61,1,CA1-RSC,60.5,0.5613,0.4384,-27.5,6000,0.2326,1,0.0278,0.0224,0,0.3281,0.2163,0.129,0.1208,79.8,82.77,0.28,0.2083,79.98,77.49
61,1,CA1-RSC,75.5,0.7028,0.4938,-12.5,6000,0.2582,2,0.0586,0.0168,0,0.335,0.2402,0.1387,0.1201,65.23,67.2,0.2308,0.2083,88.2,83.47
