pair,dim,window_bins,window_ms,n_animals,mean_ifi,t,p
CA3-DG,4,18,180,5,-0.008856174515638637,-0.6548763257241881,0.5482947980225565
CA3-DG,4,19,190,5,-0.011298035835424412,-0.8596346302349175,0.4384591402328896
CA3-DG,4,20,200,5,-0.013963624616101488,-1.069638991251237,0.3450338861641485
CA3-DG,4,21,210,5,-0.012447607430454689,-0.9853287926645362,0.38024597701673657
CA3-DG,4,22,220,5,-0.01122022742880683,-0.8342468299924605,0.4510658394070968
CA3-DG,4,23,230,5,-0.015100311490069619,-0.9750107043454621,0.3847639808927902
CA3-DG,4,24,240,5,-0.016896357881151118,-1.1107446405189052,0.3289451410655405
CA3-DG,4,25,250,5,-0.017962788506091527,-1.2508818446805186,0.2791497667927608
CA3-DG,5,1,10,5,-0.051472210943109095,-2.0817697225202263,0.10581086683244456
CA3-DG,5,2,20,5,-0.07370477471621352,-2.247424165358019,0.0878956165268814
CA3-DG,5,3,30,5,-0.09325932453114978,-3.483163271504001,0.02527923685458054
CA3-DG,5,4,40,5,-0.09523089398130127,-3.503273443449051,0.024822488905565925
CA3-DG,5,5,50,5,-0.09060505131616699,-3.019001172796871,0.03920170687196162
CA3-DG,5,6,60,5,-0.06973804282816132,-1.492916965389165,0.20974814206926506
CA3-DG,5,7,70,5,-0.06558096634543445,-1.3308752773340389,0.2540244329758022
CA3-DG,5,8,80,5,-0.04871209091210719,-0.9142773605971808,0.41229757968170083
CA3-DG,5,9,90,5,-0.04385951889015599,-0.9052234167860191,0.4165409492142571
CA3-DG,5,10,100,5,-0.03121527359978622,-0.6228652345173077,0.5671253028087739
CA3-DG,5,11,110,5,-0.02174604807475194,-0.48296320688854,0.654365229641946
CA3-DG,5,12,120,5,-0.01483610274353872,-0.39632442147879965,0.7120986796717557
CA3-DG,5,13,130,5,-0.007615597795057305,-0.21379430054815168,0.8411630682584104
CA3-DG,5,14,140,5,-0.0005624401858493253,-0.01676658728643862,0.9874257959491124
CA3-DG,5,15,150,5,-0.005898054238479268,-0.23368974937269896,0.8266985781179391
CA3-DG,5,16,160,5,-0.00444102271752436,-0.17939094339834968,0.8663512688446791
CA3-DG,5,17,170,5,-0.011007422525208439,-0.5724053559702481,0.5976832485825416
CA3-DG,5,18,180,5,-0.017449850631488614,-1.0851023401872788,0.3388999411947043
CA3-DG,5,19,190,5,-0.021182144879524977,-1.4500608294547401,0.2206470157798461
CA3-DG,5,20,200,5,-0.019276868498477998,-1.0121336710553985,0.36872322947056113
CA3-DG,5,21,210,5,-0.018161951794704444,-0.8657840081372564,0.43544877212298017
CA3-DG,5,22,220,5,-0.015724624014212506,-0.6923605453131303,0.5268049144440973
CA3-DG,5,23,230,5,-0.010281548028202372,-0.41172715690477957,0.7016460019084259
CA3-DG,5,24,240,5,-0.011936873317092325,-0.48664054249997224,0.6519741041358077
CA3-DG,5,25,250,5,-0.011334628850377766,-0.4403117825163868,0.6824591769459842
CA3-DG,6,1,10,5,-0.24576809427432114,-4.063359552136332,0.015306320893623966
CA3-DG,6,2,20,5,-0.22348291796609515,-2.67310512594518,0.055625955550873796
CA3-DG,6,3,30,5,-0.20246492274546973,-2.4958165306845173,0.06706580339333543
CA3-DG,6,4,40,5,-0.18192371745493957,-4.218299521631801,0.013495980213833036
CA3-DG,6,5,50,5,-0.18908069303430336,-4.766696410033887,0.008861525259837901
CA3-DG,6,6,60,5,-0.1912047441192769,-4.7521123198784245,0.008956974505321513
CA3-DG,6,7,70,5,-0.18630699995116223,-4.649652916478796,0.009663962346211197
CA3-DG,6,8,80,5,-0.16367307682237803,-4.65366085220528,0.009635060495946264
CA3-DG,6,9,90,5,-0.15911978853026146,-3.982169056194213,0.016371464600064188
CA3-DG,6,10,100,5,-0.1462677260245328,-3.4013708374680394,0.027242902361949126
CA3-DG,6,11,110,5,-0.12787247685903874,-3.1180544964298953,0.03559348984336864
CA3-DG,6,12,120,5,-0.11000149473100873,-2.8370292742114795,0.04700887455656077
CA3-DG,6,13,130,5,-0.09463043583405494,-2.7302895344142932,0.05242731908816367
CA3-DG,6,14,140,5,-0.08011042979171026,-2.733666513336175,0.0522451697868722
CA3-DG,6,15,150,5,-0.06403631738361579,-2.5880141585294285,0.060811086389744605
CA3-DG,6,16,160,5,-0.06712840057341667,-2.746963224731725,0.051535043232653586
CA3-DG,6,17,170,5,-0.05137981240784928,-2.6057355413828875,0.05968692883756932
CA3-DG,6,18,180,5,-0.057325807128028004,-2.7758695844580643,0.05002945463079998
CA3-DG,6,19,190,5,-0.05526916014050787,-2.9862631037051344,0.04048733637674886
CA3-DG,6,20,200,5,-0.053720899317055634,-3.077512947145633,0.03702108712586256
CA3-DG,6,21,210,5,-0.05230917024880997,-2.9332906150072726,0.04267352136402696
CA3-DG,6,22,220,5,-0.041340640572464386,-2.29982541172077,0.08295496777984951
CA3-DG,6,23,230,5,-0.03886289537795168,-1.8363865204153478,0.14018477889883252
CA3-DG,6,24,240,5,-0.021451338257893117,-0.8546888717365071,0.4408925037828955
CA3-DG,6,25,250,5,-0.020595274477410278,-0.7840904513799583,0.47681688383541165
RSC-SUB,1,1,10,7,0.0011031887221622755,0.09838020225707174,0.9248347612167813
RSC-SUB,1,2,20,7,0.012738446534769644,0.7376207809651849,0.4885768342142578
RSC-SUB,1,3,30,7,0.020082393631477142,0.8758422887161462,0.41479919100282425
RSC-SUB,1,4,40,7,0.022432912558669447,0.8948906485873769,0.4053119327176985
RSC-SUB,1,5,50,7,0.02001717163710138,0.9022229758743818,0.4017039743597171
RSC-SUB,1,6,60,7,0.019174904853230795,0.9959274661944075,0.35773889515556007
RSC-SUB,1,7,70,7,0.016149504073662852,1.0850338535753694,0.3195670956995875
RSC-SUB,1,8,80,7,0.016180841837172,1.3386044051081427,0.22918765168784402
RSC-SUB,1,9,90,7,0.012051792765989777,1.4010703731311844,0.21073696275284484
RSC-SUB,1,10,100,7,0.011046661848539965,1.8066063780929316,0.12084168475642428
RSC-SUB,1,11,110,7,0.010670713119210916,2.3414333581894353,0.05773066068184073
RSC-SUB,1,12,120,7,0.010393309374267879,2.3039227655902987,0.060772820499723185
RSC-SUB,1,13,130,7,0.009699919622401479,1.7938587234396641,0.12299397329479222
RSC-SUB,1,14,140,7,0.009813101210946964,1.4720306122415288,0.19143030250950635
RSC-SUB,1,15,150,7,0.011246454344605151,1.5167168433122773,0.18012736314323763
RSC-SUB,1,16,160,7,0.01263754115838893,1.5345093416379254,0.17580323191025618
RSC-SUB,1,17,170,7,0.01385160967180285,1.5825562617795692,0.16461000656217223
RSC-SUB,1,18,180,7,0.014473154768096477,1.5619900201188486,0.16931611296067564
RSC-SUB,1,19,190,7,0.01544901108879154,1.5513426612823984,0.17180226627526693
RSC-SUB,1,20,200,7,0.015691159638899277,1.5181795251627703,0.179768154670197
RSC-SUB,1,21,210,7,0.015592923063124127,1.4057798406663808,0.2094022154881085
RSC-SUB,1,22,220,7,0.015926600579968787,1.3664560400587675,0.2207876009594949
RSC-SUB,1,23,230,7,0.01619362553187927,1.3085975120627884,0.23855806778854483
RSC-SUB,1,24,240,7,0.015559600005329017,1.208299865536769,0.2723887513772292
RSC-SUB,1,25,250,7,0.014929638518618837,1.1143664742271355,0.3077590174792998
RSC-SUB,2,1,10,7,0.007383161132042749,0.2408327228674303,0.8177031190939914
RSC-SUB,2,2,20,7,-0.011532148554313958,-0.5725209254569772,0.5877643891111968
RSC-SUB,2,3,30,7,-0.006226363066568312,-0.2873984511146943,0.7834751385290439
RSC-SUB,2,4,40,7,-0.0058756904594710665,-0.2522705299761047,0.8092514292285913
RSC-SUB,2,5,50,7,-0.00600014821220133,-0.2805719513250488,0.7884620060234299
RSC-SUB,2,6,60,7,-0.006338928532190172,-0.3187404610047173,0.7607272162484954
RSC-SUB,2,7,70,7,-0.003668807206210175,-0.20749530155156004,0.8424864115592371
RSC-SUB,2,8,80,7,-0.001091391149201207,-0.06301342752295393,0.9518026000684034
RSC-SUB,2,9,90,7,0.0017274934078525123,0.09391331497625148,0.928235631887109
RSC-SUB,2,10,100,7,0.0004489831229338541,0.0266969415107714,0.9795672427539825
RSC-SUB,2,11,110,7,-0.0013324305602922155,-0.09409984039427113,0.9280935867064679
RSC-SUB,2,12,120,7,-0.002563428192640524,-0.21177074353496309,0.8392962427276027
RSC-SUB,2,13,130,7,-0.003950684329833344,-0.35392589880031156,0.7354995906671731
RSC-SUB,2,14,140,7,-0.007077436599345169,-0.7673901196237269,0.4719577882701588
RSC-SUB,2,15,150,7,-0.008101957790483479,-0.9161739457446545,0.3949066994575373
RSC-SUB,2,16,160,7,-0.008470701348239278,-0.9594767679259107,0.37437032685048716
RSC-SUB,2,17,170,7,-0.009097040755355262,-0.9990983487477215,0.3563202582263195
RSC-SUB,2,18,180,7,-0.007899889287281884,-0.7816782223051534,0.46412263680157084
RSC-SUB,2,19,190,7,-0.0076262838672748546,-0.7508072698629749,0.48116638382648336
RSC-SUB,2,20,200,7,-0.0071636452998002365,-0.7423246609849228,0.4859244707588696
RSC-SUB,2,21,210,7,-0.006118306454290948,-0.6211705305417785,0.5573335736618972
RSC-SUB,2,22,220,7,-0.007061337200689121,-0.774905261989459,0.4678252529124679
RSC-SUB,2,23,230,7,-0.0064564969362958646,-0.673297496139898,0.5258285076187802
RSC-SUB,2,24,240,7,-0.006228173426194357,-0.6497489826660849,0.5399174131331622
RSC-SUB,2,25,250,7,-0.004842305206540652,-0.4719220458417041,0.6536558676375922
RSC-SUB,3,1,10,7,-0.016862315000739012,-1.1664073768498182,0.2877097855872706
RSC-SUB,3,2,20,7,-0.009723519061153176,-0.6663065730328087,0.5299861962185298
RSC-SUB,3,3,30,7,-0.019406703473505812,-2.2861945429436092,0.06226823927632881
RSC-SUB,3,4,40,7,-0.0127992940979482,-1.0155396767930749,0.3490363686133131
RSC-SUB,3,5,50,7,-0.012266964972426714,-0.9636339968282441,0.37244333413114206
RSC-SUB,3,6,60,7,-0.012726420814219683,-1.0252275428269466,0.3448006796859758
RSC-SUB,3,7,70,7,-0.01835322161124123,-1.459818393218208,0.19463214430582593
RSC-SUB,3,8,80,7,-0.01704574107426664,-1.3204216239083149,0.23482553457620964
RSC-SUB,3,9,90,7,-0.014216193706279209,-1.0866478193163776,0.3189077474378065
RSC-SUB,3,10,100,7,-0.013836017131663771,-1.0489273128439622,0.3346136745558426
RSC-SUB,3,11,110,7,-0.013419842880012784,-1.0758465277722418,0.3233418568624789
