animal,learner,pair,dim,ifi,peak_lag_ms,cc_max,cc_at_zero,sig,n_sig
73,1,CA1-SUB,6,-0.1667158453821187,-110.0,0.0293,0.0034,0,6
73,1,CA1-SUB,7,-0.020813623462629976,-10.0,0.0354,0.0201,1,6
73,1,CA1-SUB,8,0.26727181038830056,60.0,0.0471,0.0063,1,6
73,1,CA1-SUB,9,-0.1088026243849098,220.0,0.0247,0.006,0,6
73,1,CA1-SUB,10,0.07722513089005233,-40.0,0.0289,0.0212,0,6
73,1,CA1-SUB,11,-0.10492178557802367,-10.0,0.0196,0.0064,1,6
73,1,CA1-SUB,12,0.06862745098039223,60.0,0.0328,0.0039,1,6
73,1,CA1-SUB,13,-0.1901066925315227,100.0,0.0217,0.0089,0,6
73,1,CA1-SUB,14,0.07673267326732677,-180.0,0.031,0.0093,1,6
73,1,CA1-SUB,15,0.09507640067911714,50.0,0.0228,0.0108,0,6
73,1,CA1-SUB,16,-0.005327245053272415,-150.0,0.0325,-0.006,0,6
73,1,CA1-SUB,17,-0.08235294117647061,-100.0,0.0305,-0.0136,0,6
73,1,CA1-SUB,18,0.30657956136257586,90.0,0.0282,-0.0117,0,6
73,1,CA1-SUB,19,0.07034220532319398,60.0,0.0326,0.0021,0,6
73,1,CA1-SUB,20,-0.25506937033084315,-180.0,0.0184,-0.0147,0,6
73,1,CA1-SUB,21,0.2582508250825083,-60.0,0.0319,0.0023,0,6
73,1,CA1-SUB,22,-0.02579075425790748,70.0,0.0186,0.0094,0,6
73,1,CA1-V1,1,-0.5194093831864731,-40.0,0.0798,-0.0021,1,5
73,1,CA1-V1,2,-0.3656825489622917,40.0,0.0329,0.0235,0,5
73,1,CA1-V1,3,-0.4051593323216994,-110.0,0.03,0.0144,0,5
73,1,CA1-V1,4,-0.1258781089804443,-50.0,0.046,0.0012,0,5
73,1,CA1-V1,5,0.027556200145032593,40.0,0.0266,0.0039,0,5
73,1,CA1-V1,6,0.03725205611998056,-180.0,0.0227,0.0089,0,5
73,1,CA1-V1,7,-0.0037017451084082826,20.0,0.0204,-0.0015,0,5
73,1,CA1-V1,8,-0.43215258855585836,-160.0,0.03,-0.0013,1,5
73,1,CA1-V1,9,-0.060538116591928204,-20.0,0.0301,0.0073,0,5
73,1,CA1-V1,10,-0.061432206470374284,30.0,0.0279,0.0031,1,5
73,1,CA1-V1,11,0.07938257993384783,100.0,0.023,-0.0046,0,5
73,1,CA1-V1,12,0.030110935023771837,250.0,0.0236,-0.006,0,5
73,1,CA1-V1,13,-0.16142735768903987,10.0,0.024,-0.0022,0,5
73,1,CA1-V1,14,-0.24812734082396995,-90.0,0.0199,0.0006,0,5
73,1,CA1-V1,15,-0.28824141519250773,-100.0,0.0249,-0.0104,1,5
73,1,CA1-V1,16,-0.18439716312056734,-240.0,0.0173,0.0052,0,5
73,1,CA1-V1,17,-0.16218293620292093,-180.0,0.0177,-0.0008,1,5
73,1,CA1-V1,18,,,,,0,5
73,1,RSC-SUB,1,-0.034883118229409545,0.0,0.0905,0.0905,0,0
73,1,RSC-SUB,2,0.006898381533563333,40.0,0.0729,0.0528,0,0
73,1,RSC-SUB,3,0.011849841700587975,50.0,0.0696,0.0167,0,0
73,1,RSC-SUB,4,0.12753882915173248,-120.0,0.0488,0.0114,0,0
73,1,RSC-SUB,5,0.13505705618951322,230.0,0.0352,0.0341,0,0
73,1,RSC-SUB,6,0.029207232267037544,20.0,0.0312,0.0185,0,0
73,1,RSC-SUB,7,0.2271861105229727,20.0,0.0358,0.0145,0,0
73,1,RSC-SUB,8,-0.05513404147698519,80.0,0.0257,0.0053,0,0
73,1,RSC-SUB,9,0.12312312312312311,-80.0,0.0217,-0.0023,0,0
73,1,RSC-SUB,10,-0.05361016423923148,-10.0,0.0296,0.0138,0,0
73,1,RSC-SUB,11,-0.13854411271385447,-230.0,0.0314,0.0076,0,0
73,1,RSC-SUB,12,-0.004642525533890348,80.0,0.0217,-0.0095,0,0
73,1,RSC-SUB,13,0.19909672563041034,-20.0,0.0245,-0.0095,0,0
73,1,RSC-SUB,14,0.06813321112129528,30.0,0.0265,0.0012,0,0
73,1,RSC-SUB,15,-0.14308176100628928,-200.0,0.0241,0.0197,0,0
73,1,RSC-SUB,16,-0.038581856100104193,-170.0,0.0257,0.002,0,0
73,1,RSC-SUB,17,-0.22440392706872364,-190.0,0.0352,0.0153,0,0
73,1,RSC-SUB,18,-0.18111111111111117,-230.0,0.018,-0.0036,0,0
73,1,RSC-SUB,19,-0.23869445536767597,-160.0,0.019,0.0132,0,0
73,1,RSC-SUB,20,-0.20630157539384827,-200.0,0.0227,0.0165,0,0
73,1,RSC-SUB,21,-0.0897832817337462,-230.0,0.0294,0.0129,0,0
73,1,RSC-SUB,22,-0.23002680965147454,-190.0,0.0187,0.0037,0,0
73,1,RSC-SUB,23,0.3413173652694611,130.0,0.03,0.0076,0,0
73,1,RSC-SUB,24,0.09992542878448919,250.0,0.0212,-0.0041,0,0
73,1,RSC-SUB,25,-0.28718428437792337,10.0,0.021,-0.0182,0,0
73,1,RSC-SUB,26,0.0785398230088496,70.0,0.0313,0.0065,0,0
73,1,RSC-SUB,27,0.029867256637168327,-150.0,0.0235,-0.0087,0,0
73,1,V1-RSC,1,0.1538943687526804,20.0,0.2043,0.1047,0,4
73,1,V1-RSC,2,0.07961046865489958,0.0,0.1292,0.1292,1,4
73,1,V1-RSC,3,0.3649064229856779,-190.0,0.0773,0.0102,0,4
73,1,V1-RSC,4,0.24521207848666438,230.0,0.0543,0.0473,0,4
73,1,V1-RSC,5,0.27152887233127954,10.0,0.0389,0.0285,0,4
73,1,V1-RSC,6,0.297741273100616,80.0,0.0284,0.0131,1,4
73,1,V1-RSC,7,0.2738599551457763,-30.0,0.0281,0.0012,1,4
73,1,V1-RSC,8,0.013830954994511552,10.0,0.0364,0.0048,0,4
73,1,V1-RSC,9,0.15606097265908547,230.0,0.0393,0.0059,1,4
73,1,V1-RSC,10,0.29089827483640696,180.0,0.0374,0.0217,0,4
73,1,V1-RSC,11,0.09420289855072474,-50.0,0.0295,-0.0026,0,4
73,1,V1-RSC,12,0.28109696376101867,40.0,0.0456,-0.0005,0,4
73,1,V1-RSC,13,-0.018232044198894872,240.0,0.0397,0.0048,0,4
73,1,V1-RSC,14,-0.0031803725579282426,110.0,0.0239,0.0113,0,4
73,1,V1-RSC,15,0.5311949242157208,10.0,0.0429,-0.0134,0,4
73,1,V1-RSC,16,0.33065761037357216,40.0,0.0263,0.0091,0,4
73,1,V1-RSC,17,0.03485576923076923,-200.0,0.0329,-0.0085,0,4
73,1,V1-RSC,18,0.24926470588235292,110.0,0.0367,0.0018,0,4
75,1,CA1-DG,1,-0.1821415200299513,0.0,0.1783,0.1783,1,2
75,1,CA1-DG,2,-0.5066487123379902,0.0,0.2006,0.2006,1,2
75,1,CA1-DG,3,-0.47854889589905364,-10.0,0.1618,-0.0049,0,2
75,1,CA1-DG,4,-0.517752808988764,-10.0,0.1532,-0.001,0,2
75,1,CA1-DG,5,-0.2692759295499022,-20.0,0.1203,0.0352,0,2
75,1,CA1-DG,6,-0.5270983213429257,-10.0,0.1466,0.0241,0,2
75,1,CA1-DG,7,-0.3202461177849399,-10.0,0.1594,-0.0012,0,2
75,1,CA1-DG,8,-0.5366161616161617,-20.0,0.0953,-0.0021,0,2
75,1,CA1-DG,9,-0.497272345782627,-10.0,0.0926,0.0154,0,2
75,1,CA1-DG,10,-0.5134401303285365,-10.0,0.0901,-0.0024,0,2
75,1,CA1-DG,11,-0.4804676361562589,-10.0,0.1115,0.0114,0,2
75,1,CA1-DG,12,-0.6847563083304528,-20.0,0.1077,-0.0013,0,2
