animal,pair,epoch,peak_r,peak_lag_ms,ifi,width_ms,side_peak_ms,side_peak_ratio,n_bins,r_fit
73,CA1-V1,naive,0.05338,0.0,-0.215077863484209,10.0,220.0,0.8366429374297489,6000,0.1163
73,RSC-SUB,expert,0.13843,230.0,0.05402115291605445,500.0,,,6000,0.1471
73,RSC-SUB,intermediate,0.16393,0.0,0.032132044144936034,60.0,150.0,0.7235405355944611,6000,0.1471
73,RSC-SUB,naive,0.11345,0.0,-0.012355127924775887,10.0,160.0,0.5828999559277215,6000,0.1471
73,V1-RSC,expert,0.1428,0.0,0.02364730370690553,0.0,30.0,0.41680672268907565,6000,0.2141
73,V1-RSC,intermediate,0.14163,0.0,-0.047482334290326625,0.0,110.0,0.528913365812328,6000,0.2141
73,V1-RSC,naive,0.15679,0.0,-0.09850122583060592,0.0,160.0,0.3690286370304228,6000,0.2141
75,CA1-DG,expert,0.21136,0.0,0.04597331101202453,10.0,120.0,0.48779333838001515,6000,0.218
75,CA1-DG,intermediate,0.22965,0.0,0.009641336402479854,10.0,120.0,0.41598084040931854,6000,0.218
75,CA1-DG,naive,0.21824,0.0,-0.03509829731221605,10.0,120.0,0.3590542521994135,6000,0.218
75,CA1-RSC,expert,0.11026,20.0,0.10116474802843727,170.0,220.0,0.7251042989298022,6000,0.1284
75,CA1-RSC,intermediate,0.09568,0.0,0.028157759499047887,340.0,150.0,0.9302884615384616,6000,0.1284
75,CA1-RSC,naive,0.13786,0.0,0.006483859055503481,50.0,120.0,0.7192078920644132,6000,0.1284
75,CA1-SUB,expert,0.13974,0.0,0.007927081894765856,40.0,140.0,0.6333905825103764,6000,0.1382
75,CA1-SUB,intermediate,0.12712,0.0,0.06864913124098623,20.0,120.0,0.6289332913782252,6000,0.1382
75,CA1-SUB,naive,0.14561,0.0,0.10188107201083065,30.0,130.0,0.7989835862921503,6000,0.1382
75,CA1-V1,expert,0.08986,0.0,0.19277170996832435,0.0,110.0,0.4720676608056978,6000,0.1029
75,CA1-V1,intermediate,0.09214,0.0,0.06507936507936511,40.0,50.0,0.5772737139136097,6000,0.1029
75,CA1-V1,naive,0.11838,0.0,-0.13407420628583422,20.0,130.0,0.7771583037675283,6000,0.1029
75,RSC-SUB,expert,0.19172,0.0,0.043802665683393215,500.0,,,6000,0.2322
75,RSC-SUB,intermediate,0.21118,0.0,0.021877249463133176,500.0,,,6000,0.2322
75,RSC-SUB,naive,0.28864,0.0,0.04472256306397457,500.0,,,6000,0.2322
75,V1-RSC,expert,0.32279,0.0,-0.02099794012359258,500.0,,,6000,0.269
75,V1-RSC,intermediate,0.28428,0.0,0.05294024025686452,500.0,,,6000,0.269
75,V1-RSC,naive,0.19541,0.0,0.18175423919411976,360.0,130.0,0.636661378639783,6000,0.269
77,CA1-DG,expert,0.0495,0.0,-0.1653104006074311,40.0,160.0,0.7626262626262625,6000,0.0503
77,CA1-DG,intermediate,0.06041,-10.0,-0.060420095400150794,40.0,140.0,0.8243668266843237,6000,0.0503
77,CA1-DG,naive,0.08053,-30.0,-0.3066874876065834,50.0,130.0,0.5990314168632808,6000,0.0503
77,CA1-RSC,expert,0.07054,-20.0,0.06459716490220699,60.0,240.0,0.9010490501842926,6000,0.1338
77,CA1-RSC,intermediate,0.0567,0.0,-0.10855036125210771,30.0,180.0,0.8844797178130511,6000,0.1338
77,CA1-RSC,naive,0.11981,250.0,0.01622785097983215,30.0,250.0,0.8788915783323596,6000,0.1338
77,CA1-SUB,expert,0.05547,10.0,-0.1359035168903285,40.0,130.0,0.7488732648278349,6000,0.0382
77,CA1-SUB,intermediate,0.04654,0.0,-0.12508866437896599,20.0,130.0,0.7522561237645037,6000,0.0382
77,CA1-SUB,naive,0.04138,20.0,-0.16635657217905225,0.0,40.0,0.874818753020783,6000,0.0382
77,CA1-V1,expert,0.02283,0.0,0.3255533199195171,0.0,80.0,0.6780551905387648,6000,0.0726
77,CA1-V1,intermediate,0.04391,0.0,0.2549322238625688,0.0,20.0,0.45251651104532,6000,0.0726
77,CA1-V1,naive,0.06252,0.0,-0.1789963786859803,10.0,70.0,0.6396353166986564,6000,0.0726
77,RSC-SUB,expert,0.27056,0.0,0.06267827990168813,100.0,60.0,0.5057658190419869,6000,0.2252
77,RSC-SUB,intermediate,0.17854,0.0,0.12609484162149912,110.0,120.0,0.6773272095888876,6000,0.2252
77,RSC-SUB,naive,0.21301,0.0,0.01528309563979764,230.0,170.0,0.6518473311112154,6000,0.2252
77,V1-RSC,expert,0.2629,0.0,-0.0265990243058185,50.0,60.0,0.3460251046025104,6000,0.2641
77,V1-RSC,intermediate,0.21299,10.0,-0.032072450200774295,80.0,100.0,0.6911592093525517,6000,0.2641
77,V1-RSC,naive,0.2874,10.0,-0.001722291034630233,110.0,60.0,0.4577592205984691,6000,0.2641
