animal,learner,pair,epoch,bin_ms,lag_bins,lag_ms,n_samples,cc1,cc_mean3,n_sig,angle_x,angle_y,angle_x_cc1,angle_y_cc1,floor_x,floor_y,floor_x_cc1,floor_y_cc1,gini_x_conn,gini_y_conn,angle_ff_fb_x,angle_ff_fb_y,angle_ff_fb_cc1
28,1,CA3-DG,naive,10,20,200,5800,0.1583,0.0664,2,88.37,62.37,23.95,24.19,64.22,80.95,0.0,15.47,0.6703,0.4594,70.43,59.24,27.16
28,1,CA3-DG,naive,10,-20,-200,5800,0.1732,0.0784,2,79.07,75.12,29.0,30.65,64.22,80.95,0.0,15.47,0.6288,0.5401,70.43,59.24,27.16
28,1,CA3-DG,naive,10,25,250,5750,0.111,0.0629,2,78.92,85.6,41.29,48.26,64.22,80.95,0.0,15.47,0.593,0.375,70.43,59.24,27.16
28,1,CA3-DG,naive,10,-25,-250,5750,0.1563,0.0761,2,52.5,85.56,24.44,67.93,64.22,80.95,0.0,15.47,0.672,0.5209,70.43,59.24,27.16
28,1,CA1-CA3,intermediate,10,0,0,6000,0.2945,0.1716,2,0.0,0.0,0.0,0.0,60.5,81.29,50.79,44.43,0.3484,0.4551,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,1,10,5990,0.1471,0.0549,2,87.82,86.12,54.77,36.97,60.5,81.29,50.79,44.43,0.3121,0.5903,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,-1,-10,5990,0.1444,0.0898,2,76.34,53.07,27.98,33.09,60.5,81.29,50.79,44.43,0.3479,0.5571,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,2,20,5980,0.1362,0.049,2,87.56,83.82,81.6,34.99,60.5,81.29,50.79,44.43,0.3932,0.5195,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,-2,-20,5980,0.0671,0.054,2,89.75,74.91,51.72,68.4,60.5,81.29,50.79,44.43,0.2587,0.5232,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,3,30,5970,0.1353,0.0394,2,86.88,71.58,69.6,55.6,60.5,81.29,50.79,44.43,0.2416,0.5867,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,-3,-30,5970,0.1241,0.0451,2,87.39,71.23,80.14,84.54,60.5,81.29,50.79,44.43,0.4111,0.5816,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,4,40,5960,0.1209,0.0632,2,88.2,82.01,81.04,55.79,60.5,81.29,50.79,44.43,0.3356,0.5111,89.34,59.31,63.74
28,1,CA1-CA3,intermediate,10,-4,-40,5960,0.1648,0.0712,2,84.01,75.97,62.25,65.46,60.5,81.29,50.79,44.43,0.3664,0.6717,89.34,59.31,63.74
