animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,jac_x,jac_y,sh_x,sh_y
28,1,CA1-V1,73.0,0.5294,0.5182,4.0,6000,0.251,1,0.0325,0.0078,-1,0.2109,0.2956,0.1268,0.162,69.88,75.35,0.7143,0.4167,89.27,87.05
28,1,CA1-V1,78.0,0.5662,0.6613,9.0,6000,0.1943,1,0.0284,-0.0222,-8,0.2141,0.2636,0.177,0.1683,77.18,61.76,1.0,0.4783,88.68,82.88
28,1,CA1-V1,83.0,0.6029,0.7651,14.0,6000,0.3297,1,0.0575,0.0193,0,0.7005,0.2915,0.1641,0.1676,89.5,81.1,0.7143,0.36,80.7,78.52
28,1,CA1-V1,88.0,0.6397,0.9155,19.0,6000,0.2989,2,0.0806,0.0419,8,0.1738,0.2531,0.1691,0.2144,88.42,60.88,0.3333,0.3077,81.95,70.47
28,1,CA1-V1,93.0,0.6765,0.9833,24.0,6000,0.2244,0,0.0,0.0107,0,0.2198,0.2543,0.173,0.1909,77.79,83.26,0.7143,0.36,88.55,86.13
28,1,CA1-V1,98.0,0.7132,1.0,29.0,6000,0.2433,0,0.0,0.0155,0,0.2467,0.2946,0.1495,0.1795,76.19,82.27,0.7143,0.2593,64.89,77.77
28,1,CA1-V1,103.0,0.75,0.9333,34.0,6000,0.2233,0,0.0,-0.0055,-6,0.2713,0.2938,0.1555,0.1691,83.79,74.79,0.7143,0.4167,85.72,80.15
28,1,CA1-V1,108.0,0.7868,0.8565,39.0,6000,0.2318,1,0.0276,-0.0035,0,0.2583,0.2442,0.166,0.1844,61.93,86.63,0.5,0.4167,85.84,81.59
28,1,CA1-V1,113.0,0.8235,0.7989,44.0,8000,0.1129,0,0.0,0.0339,5,0.224,0.3169,0.1371,0.1631,89.38,86.54,0.3333,0.1333,72.58,86.88
28,1,CA1-V1,118.0,0.8603,0.7434,49.0,8000,0.1566,0,0.0,0.0047,1,0.2349,0.2869,0.1436,0.1496,75.72,67.91,0.5,0.2593,80.94,80.1
28,1,CA1-V1,123.0,0.8971,0.7314,54.0,6000,0.3216,2,0.0811,-0.0114,-4,0.3301,0.2721,0.1813,0.1819,87.28,80.54,0.7143,0.2143,77.07,70.22
28,1,CA1-V1,128.0,0.9338,0.6867,59.0,6000,0.1825,3,0.067,0.0078,-5,0.2906,0.2825,0.1525,0.1646,87.57,78.94,1.0,0.3077,82.21,77.36
28,1,CA3-DG,8.0,0.0515,0.0162,-61.0,6000,0.1643,1,0.0137,0.0186,10,0.6873,0.2806,0.5285,0.2771,nan,nan,,,74.32,76.87
28,1,CA3-DG,13.0,0.0882,0.0162,-56.0,6000,0.174,1,0.0154,-0.0583,0,0.7672,0.3399,0.727,0.4154,89.73,70.21,0.0,0.3333,89.4,82.84
28,1,CA3-DG,18.0,0.125,0.0833,-51.0,6000,0.2305,1,0.0273,-0.044,-9,0.6331,0.2694,0.5637,0.4456,78.55,67.76,0.2,0.3333,85.49,89.47
28,1,CA3-DG,23.0,0.1618,0.1389,-46.0,6000,0.3454,2,0.106,0.0329,0,0.654,0.5143,0.6774,0.5154,81.03,89.91,0.5,0.3333,89.17,75.8
28,1,CA3-DG,28.0,0.1985,0.2667,-41.0,6000,0.2286,1,0.0268,0.03,0,0.5708,0.597,0.5793,0.4483,84.81,75.91,0.5,0.6,75.94,67.17
28,1,CA3-DG,33.0,0.2353,0.27,-36.0,6000,-0.048,3,0.1194,-0.0099,0,0.8371,0.293,0.3504,0.4031,90.0,46.22,0.0,0.6,4.34,61.02
28,1,CA3-DG,38.0,0.2721,0.3182,-31.0,6000,0.1292,2,0.0265,-0.097,-1,0.5903,0.4746,0.5824,0.4032,89.77,54.24,0.2,1.0,82.35,69.94
28,1,CA3-DG,43.0,0.3088,0.3746,-26.0,6000,0.1867,1,0.0177,-0.0857,-1,0.6638,0.5359,0.612,0.348,74.3,80.89,0.5,0.3333,74.74,68.03
28,1,CA3-DG,48.0,0.3456,0.3465,-21.0,6000,-0.0343,1,0.0273,-0.0355,-3,0.68,0.6026,0.608,0.4311,84.58,61.18,0.5,0.6,87.45,86.46
28,1,CA3-DG,53.0,0.3824,0.3593,-16.0,6000,0.2061,3,0.1035,0.0268,0,0.7515,0.2702,0.5173,0.4619,87.28,89.54,1.0,0.6,75.06,80.85
28,1,CA3-DG,58.0,0.4191,0.3158,-11.0,6000,0.5756,2,0.2109,0.0348,0,0.9485,0.5507,0.5432,0.5213,89.96,89.92,0.2,0.6,64.76,76.33
28,1,CA3-DG,63.0,0.4559,0.3796,-6.0,6000,0.4269,2,0.2073,-0.0468,0,0.8853,0.474,0.4072,0.5166,89.18,86.58,1.0,0.3333,5.72,89.52
28,1,CA3-DG,68.0,0.4926,0.476,-1.0,6000,0.2112,1,0.0228,0.0214,0,0.7003,0.1407,0.4539,0.2767,90.0,79.64,0.2,0.3333,55.58,67.68
28,1,CA3-DG,73.0,0.5294,0.5182,4.0,6000,-0.0303,1,0.0331,-0.0273,0,0.9585,0.1099,0.1305,0.2638,89.74,78.88,0.2,0.1429,86.31,86.55
28,1,CA3-DG,78.0,0.5662,0.6613,9.0,6000,-0.0466,4,0.099,0.0333,0,0.9223,0.199,0.3341,0.3638,87.98,89.42,0.5,0.6,64.84,55.29
28,1,CA3-DG,83.0,0.6029,0.7651,14.0,6000,0.1489,1,0.0184,0.0814,0,0.1283,0.2888,0.2281,0.3796,85.31,54.64,0.5,0.6,87.89,79.25
28,1,CA3-DG,88.0,0.6397,0.9155,19.0,6000,0.2218,1,0.0252,0.0274,0,0.285,0.3354,0.3218,0.3022,81.24,54.93,0.5,0.6,63.06,76.47
28,1,CA3-DG,93.0,0.6765,0.9833,24.0,6000,-0.038,2,0.0459,0.0526,0,0.2792,0.3427,0.2707,0.2454,44.63,66.85,0.5,0.6,81.14,82.04
28,1,CA3-DG,98.0,0.7132,1.0,29.0,6000,0.166,1,0.014,0.0262,1,0.2514,0.1759,0.2766,0.3133,81.59,81.12,0.5,0.6,86.36,69.83
