animal,learner,pair,bin,trial_lo,trial_hi,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
68,1,CA1-DG,1,1,5,8000,0.2852,2,0.0541,-0.0398,0,0.9145,0.1791
68,1,CA1-DG,2,6,10,8000,0.2347,2,0.0376,-0.0691,0,0.1761,0.1734
68,1,CA1-DG,3,11,15,8000,0.2872,2,0.0522,-0.0375,0,0.1658,0.1408
68,1,CA1-DG,4,16,20,8000,0.3099,1,0.0505,-0.0697,0,0.1324,0.1695
68,1,CA1-DG,5,21,25,8000,0.2891,1,0.0436,-0.0508,0,0.145,0.1809
68,1,CA1-DG,6,26,30,8000,0.2777,2,0.05,-0.0853,0,0.1437,0.1383
68,1,CA3-DG,1,1,5,8000,0.2106,2,0.0369,0.0306,0,0.9009,0.2358
68,1,CA3-DG,2,6,10,8000,0.2123,3,0.069,-0.0051,0,0.6715,0.2161
68,1,CA3-DG,3,11,15,8000,0.1743,2,0.0411,0.005,0,0.1078,0.2023
68,1,CA3-DG,4,16,20,8000,0.2476,2,0.0533,0.0249,0,0.0841,0.1899
68,1,CA3-DG,5,21,25,8000,0.2568,2,0.0574,0.0321,0,0.0456,0.1606
68,1,CA3-DG,6,26,30,8000,0.26,2,0.0599,0.0334,0,0.1208,0.184
70,0,CA1-RSC,1,1,5,8000,-0.0131,5,0.3135,-0.0099,3,0.371,0.4907
70,0,CA1-RSC,2,6,10,8000,0.2585,12,0.661,0.0163,-2,0.3481,0.3817
70,0,CA1-RSC,3,11,15,8000,-0.4112,12,0.7109,0.0294,0,0.3012,0.3887
70,0,CA1-RSC,4,16,20,8000,0.1505,11,1.2639,0.0098,-1,0.3443,0.415
70,0,CA1-RSC,5,21,25,8000,-0.3814,14,2.4474,0.0826,1,0.3335,0.3966
70,0,CA1-RSC,6,26,30,8000,0.3161,12,0.6949,0.0035,-5,0.3611,0.4316
70,0,CA1-DG,1,1,5,8000,-0.0781,7,0.2715,-0.1518,-1,0.3713,0.3644
70,0,CA1-DG,2,6,10,8000,-0.0809,4,0.2913,-0.0757,0,0.349,0.3483
70,0,CA1-DG,3,11,15,8000,0.5102,5,0.2843,-0.0855,0,0.2994,0.3106
70,0,CA1-DG,4,16,20,8000,0.2894,9,0.5498,-0.0832,-3,0.3427,0.2822
70,0,CA1-DG,5,21,25,8000,0.0397,4,0.3854,-0.0305,0,0.3304,0.3176
70,0,CA1-DG,6,26,30,8000,0.4532,13,2.0165,-0.0353,0,0.3618,0.2895
70,0,CA1-V1,1,1,5,8000,0.2138,20,1.9511,0.0049,0,0.3699,0.3174
70,0,CA1-V1,2,6,10,8000,0.0336,9,0.7237,0.0043,0,0.3474,0.2947
70,0,CA1-V1,3,11,15,8000,0.3407,10,0.6756,-0.0023,0,0.3013,0.2556
70,0,CA1-V1,4,16,20,8000,0.3329,10,0.9009,-0.0189,0,0.3434,0.286
70,0,CA1-V1,5,21,25,8000,0.4208,6,0.8353,-0.0198,0,0.3357,0.3026
70,0,CA1-V1,6,26,30,8000,0.5719,12,1.1033,0.0044,0,0.3618,0.3329
70,0,CA1-SUB,1,1,5,8000,0.2725,6,0.5254,-0.0275,-1,0.3716,0.417
70,0,CA1-SUB,2,6,10,8000,0.2554,5,0.1433,0.0002,0,0.3485,0.3047
70,0,CA1-SUB,3,11,15,8000,0.4082,16,2.0098,0.182,2,0.3,0.3421
70,0,CA1-SUB,4,16,20,8000,-0.3809,12,0.9246,-0.0,0,0.3439,0.3237
70,0,CA1-SUB,5,21,25,8000,0.132,3,0.0999,-0.0079,0,0.3325,0.3007
70,0,CA1-SUB,6,26,30,8000,0.4539,6,0.3267,-0.0348,-3,0.3612,0.3367
70,0,RSC-SUB,1,1,5,8000,-0.2838,14,1.334,0.1133,3,0.4888,0.4169
70,0,RSC-SUB,2,6,10,8000,0.4915,11,0.7826,0.0487,0,0.3826,0.2997
