animal,pair,epoch,area,n_units,rho_contrib_conn,rho_contrib_conn_ratepart,rho_contrib,rho_contrib_ratepart,rho_rate_rel,rho_contrib_conn_tune,rho_contrib_conn_tune_ratepart,rho_contrib_tune,rho_contrib_tune_ratepart,rho_rate_tune,rho_contrib_conn_tomrel,rho_contrib_conn_tomrel_ratepart,rho_rate_tomrel,rho_rel_tomrel
52,CA1-DG,intermediate,DG,32,0.4945,0.2419,0.0557,0.1756,0.607,0.3387,-0.0354,-0.0161,0.0978,0.6562,0.4021,0.0244,0.6564,0.651
52,CA1-DG,naive,CA1,56,0.3651,-0.0245,0.2648,-0.013,0.6811,0.366,0.0034,0.252,0.0012,0.6821,0.3858,0.0338,0.6533,0.7911
52,CA1-DG,naive,DG,33,0.5124,0.2486,0.2677,0.26,0.5999,0.3757,-0.0148,0.135,0.0913,0.6574,0.4225,0.0774,0.6394,0.8332
52,CA1-RSC,expert,CA1,56,0.2598,0.2648,0.2843,0.2643,0.4971,0.0735,0.0436,0.1377,0.0831,0.6772,0.2561,0.2331,0.4616,0.8618
52,CA1-RSC,expert,RSC,10,-0.2121,-0.2308,-0.4182,-0.2168,0.7455,-0.0788,-0.0201,-0.4545,-0.2698,0.8788,-0.3697,-0.3979,0.5758,0.9152
52,CA1-RSC,intermediate,CA1,56,0.3997,0.3993,0.3042,0.3276,0.4881,0.1697,0.1313,0.0698,0.0609,0.7036,0.4328,0.4361,0.4735,0.8087
52,CA1-RSC,intermediate,RSC,10,0.7939,0.7696,-0.2848,-0.1959,0.3939,0.8788,0.8847,-0.297,-0.207,0.4061,0.8667,0.8612,0.4182,0.9758
52,CA1-RSC,naive,CA1,56,0.3482,-0.0012,0.3137,0.028,0.6811,0.3214,-0.015,0.2804,0.0091,0.6821,0.3617,0.0415,0.6533,0.7911
52,CA1-RSC,naive,RSC,10,0.5152,0.464,-0.2364,-0.1885,0.4061,0.5879,0.561,-0.0303,0.0087,0.2364,0.4303,0.4473,-0.0061,0.7455
52,CA1-V1,expert,CA1,56,0.2055,0.1877,0.2198,0.1973,0.4971,0.0511,-0.0107,0.0559,-0.0155,0.6772,0.2108,0.17,0.4616,0.8618
52,CA1-V1,expert,V1,108,0.3606,0.1884,0.2927,0.1202,0.5911,0.209,-0.1119,0.1194,-0.2179,0.7486,0.3312,0.2041,0.4314,0.9148
52,CA1-V1,intermediate,CA1,56,0.4656,0.4376,0.2366,0.2586,0.4881,0.2445,0.1639,0.0282,0.0173,0.7036,0.4238,0.3829,0.4735,0.8087
52,CA1-V1,intermediate,V1,109,0.5372,0.4389,0.0082,-0.0329,0.5644,0.3649,0.1653,0.0215,-0.0729,0.7512,0.4984,0.4241,0.3686,0.9014
52,CA1-V1,naive,CA1,56,0.3891,0.0745,0.267,-0.0089,0.6811,0.3487,0.039,0.2501,-0.0008,0.6821,0.3727,0.0682,0.6533,0.7911
52,CA1-V1,naive,V1,109,0.2225,0.1088,0.1552,0.0919,0.5528,0.1068,-0.1625,0.0372,-0.1466,0.753,0.0848,0.0284,0.2383,0.8676
52,CA3-DG,expert,CA3,58,0.2333,-0.0507,0.0525,-0.0093,0.4465,0.3645,-0.0267,0.1819,0.1438,0.6659,0.3434,-0.0403,0.5711,0.7142
52,CA3-DG,expert,DG,33,0.4612,0.051,0.0932,-0.0116,0.5414,0.5627,0.0102,0.0733,-0.0093,0.7093,0.5578,0.074,0.6517,0.7797
52,CA3-DG,intermediate,CA3,61,0.3742,-0.0077,0.0967,-0.0075,0.4931,0.5379,-0.0967,-0.0855,-0.3407,0.7843,0.4156,-0.0292,0.5616,0.634
52,CA3-DG,intermediate,DG,32,0.3534,-0.2806,-0.0535,0.0701,0.607,0.4963,-0.0658,-0.0499,0.0906,0.6562,0.4973,-0.0934,0.6564,0.651
52,CA3-DG,naive,CA3,60,0.3094,0.0634,0.2169,0.0753,0.4923,0.399,0.081,0.2962,0.1508,0.6832,0.3128,-0.0111,0.5762,0.6512
52,CA3-DG,naive,DG,33,0.4138,0.0253,0.1738,0.1576,0.5999,0.5602,0.219,0.1517,0.1318,0.6574,0.5204,0.1663,0.6394,0.8332
52,V1-RSC,expert,RSC,10,0.4424,-0.1402,-0.4182,-0.2168,0.7455,0.6606,0.169,-0.4545,-0.2698,0.8788,0.3455,-0.082,0.5758,0.9152
52,V1-RSC,expert,V1,108,0.34,0.0992,0.3651,0.2247,0.5911,0.2357,-0.1771,0.1066,-0.2218,0.7486,0.228,0.0397,0.4314,0.9148
52,V1-RSC,intermediate,RSC,10,0.6485,0.5839,-0.2848,-0.1959,0.3939,0.6485,0.5816,-0.297,-0.207,0.4061,0.6606,0.5939,0.4182,0.9758
52,V1-RSC,intermediate,V1,109,0.5185,0.3157,0.0754,-0.0096,0.5644,0.3988,0.0115,0.082,-0.081,0.7512,0.4419,0.3138,0.3686,0.9014
52,V1-RSC,naive,RSC,10,0.3697,0.5541,-0.2485,-0.207,0.4061,0.4303,0.5343,0.0061,0.0436,0.2364,0.6485,0.6747,-0.0061,0.7455
52,V1-RSC,naive,V1,109,0.2824,0.2363,0.1972,0.0781,0.5528,0.1226,-0.0226,0.1038,-0.1631,0.753,0.2328,0.2032,0.2383,0.8676
61,CA1-CA3,expert,CA1,63,0.2108,-0.053,0.1683,-0.0768,0.4694,0.4636,0.1347,0.3859,0.0587,0.6894,0.3006,0.0271,0.5134,0.8656
61,CA1-CA3,expert,CA3,31,0.2069,0.0833,0.2073,0.0959,0.2766,0.2709,0.0598,0.3113,0.1378,0.5365,0.2452,0.0309,0.4452,0.7798
61,CA1-CA3,intermediate,CA1,64,0.2054,-0.0889,0.1743,-0.1045,0.4732,0.2791,-0.1733,0.2246,-0.2186,0.7379,0.2649,-0.0026,0.468,0.9144
61,CA1-CA3,intermediate,CA3,28,0.4833,0.3737,0.318,0.1981,0.4636,0.2786,0.1247,0.1817,0.0362,0.4609,0.333,0.1489,0.5786,0.8314
61,CA1-CA3,naive,CA1,63,0.2535,0.1618,0.2829,0.1737,0.4882,0.1565,-0.0916,0.1906,-0.0893,0.7755,0.1122,-0.0017,0.4767,0.7595
61,CA1-CA3,naive,CA3,30,0.1991,0.0882,0.1043,-0.0786,0.3575,0.2027,-0.0392,0.4056,0.1326,0.6756,-0.0256,-0.1931,0.4113,0.6053
61,CA1-DG,expert,CA1,63,0.2472,-0.0922,0.1572,-0.0864,0.4694,0.511,0.1032,0.3783,0.0554,0.6894,0.37,0.0459,0.5134,0.8656
61,CA1-DG,expert,DG,24,0.3348,0.1466,0.0548,0.0037,0.3296,0.4634,-0.0758,0.0119,-0.0373,0.7125,0.5177,0.198,0.5454,0.6713
61,CA1-DG,intermediate,CA1,64,0.2594,-0.0943,0.1735,-0.1083,0.4732,0.3733,-0.1767,0.2275,-0.2201,0.7379,0.3177,0.0009,0.468,0.9144
61,CA1-DG,intermediate,DG,22,0.092,-0.2893,-0.3145,-0.285,0.5065,0.418,-0.083,0.2075,0.1923,0.6571,0.5162,0.069,0.7362,0.799
61,CA1-DG,naive,CA1,63,0.3056,0.0971,0.2798,0.1694,0.4882,0.2998,-0.157,0.1893,-0.0928,0.7755,0.2424,0.0218,0.4767,0.7595
61,CA1-DG,naive,DG,21,0.1182,-0.0982,0.1584,0.0028,0.4117,0.3377,-0.0965,0.1468,-0.2962,0.8104,0.4792,0.1532,0.6502,0.6494
61,CA1-RSC,expert,CA1,63,0.2957,0.0218,0.1658,-0.0774,0.4694,0.4749,0.1019,0.3845,0.0583,0.6894,0.3777,0.096,0.5134,0.8656
61,CA1-RSC,expert,RSC,115,0.0397,0.0413,0.0188,0.0181,0.3016,-0.1103,-0.1177,-0.0389,-0.0433,0.3402,0.0048,0.0047,0.267,0.9209
61,CA1-RSC,intermediate,CA1,64,0.3707,0.0984,0.187,-0.0943,0.4732,0.3318,-0.1834,0.227,-0.2196,0.7379,0.3928,0.1357,0.468,0.9144
61,CA1-RSC,intermediate,RSC,115,0.2374,0.1851,0.1594,0.1002,0.3223,0.1109,0.0601,0.114,0.0627,0.2653,0.1824,0.1489,0.1926,0.9133
61,CA1-RSC,naive,CA1,63,0.4116,0.1872,0.2787,0.1731,0.4882,0.4559,0.0005,0.1876,-0.0837,0.7755,0.4195,0.2057,0.4767,0.7595
61,CA1-RSC,naive,RSC,115,0.3321,0.2461,0.3074,0.2332,0.3549,0.2799,0.1677,0.1735,0.0654,0.4224,0.1898,0.1314,0.212,0.8211
61,CA1-V1,expert,CA1,63,0.2532,-0.0202,0.159,-0.0849,0.4694,0.4935,0.1774,0.3835,0.0619,0.6894,0.3292,0.044,0.5134,0.8656
61,CA1-V1,expert,V1,93,0.3253,0.1352,0.1145,0.0419,0.6421,0.2962,0.051,0.1282,0.0162,0.7555,0.2472,0.0747,0.5286,0.9257
61,CA1-V1,intermediate,CA1,64,0.3241,0.073,0.179,-0.103,0.4732,0.2673,-0.1861,0.2285,-0.2178,0.7379,0.3367,0.0944,0.468,0.9144
61,CA1-V1,intermediate,V1,91,0.0676,0.063,0.0867,0.0856,0.5421,0.0427,0.016,0.0629,0.042,0.7143,0.1098,0.0856,0.4526,0.9079
61,CA1-V1,naive,CA1,63,0.2926,0.1927,0.2925,0.1896,0.4882,0.1383,-0.1584,0.1925,-0.0755,0.7755,0.1227,-0.0056,0.4767,0.7595
61,CA1-V1,naive,V1,90,0.2498,0.1038,0.2449,0.0896,0.674,0.0881,-0.2109,0.0763,-0.2404,0.7658,0.1228,-0.0585,0.5499,0.8376
61,CA3-DG,expert,CA3,31,0.0641,-0.189,0.2202,0.1149,0.2766,0.2906,-0.0982,0.3089,0.154,0.5365,0.1589,-0.2393,0.4452,0.7798
61,CA3-DG,expert,DG,24,0.1809,-0.1362,0.0583,0.0142,0.3296,0.5583,0.0371,0.002,-0.0293,0.7125,0.4723,0.0599,0.5454,0.6713
61,CA3-DG,intermediate,CA3,28,0.3831,0.0089,0.3339,0.2264,0.4636,0.3459,-0.0594,0.1795,0.0441,0.4609,0.4229,-0.117,0.5786,0.8314
61,CA3-DG,intermediate,DG,22,0.2648,-0.2627,-0.2276,-0.1889,0.5065,0.5835,0.074,0.3263,0.3153,0.6571,0.5992,0.0017,0.7362,0.799
61,CA3-DG,naive,CA3,30,0.1328,-0.1279,0.1408,-0.0398,0.3575,0.3175,-0.1899,0.4291,0.1576,0.6756,0.0523,-0.2929,0.4113,0.6053
61,CA3-DG,naive,DG,21,0.5584,0.4156,0.1026,-0.0522,0.4117,0.7195,0.2486,0.113,-0.3224,0.8104,0.7708,0.5456,0.6502,0.6494
61,V1-RSC,expert,RSC,115,0.2847,0.2636,0.031,0.0333,0.3016,0.1578,0.1266,-0.0325,-0.0337,0.3402,0.2515,0.2303,0.267,0.9209
61,V1-RSC,expert,V1,93,0.4171,0.2521,0.1083,0.0392,0.6421,0.3531,0.1199,0.126,0.0192,0.7555,0.3486,0.194,0.5286,0.9257
61,V1-RSC,intermediate,RSC,115,0.4659,0.4011,0.1595,0.1014,0.3223,0.3143,0.2479,0.1132,0.0627,0.2653,0.4079,0.3713,0.1926,0.9133
61,V1-RSC,intermediate,V1,91,0.3502,0.3046,0.0924,0.0913,0.5421,0.322,0.2647,0.0681,0.045,0.7143,0.4029,0.3482,0.4526,0.9079
61,V1-RSC,naive,RSC,115,0.4673,0.4106,0.3297,0.2534,0.3549,0.3666,0.2864,0.19,0.0778,0.4224,0.3587,0.3194,0.212,0.8211
61,V1-RSC,naive,V1,90,0.4254,0.2942,0.2474,0.0966,0.674,0.2297,-0.0614,0.0783,-0.2322,0.7658,0.2785,0.0972,0.5499,0.8376
63,CA1-RSC,expert,CA1,13,-0.3132,-0.691,-0.4121,-0.2043,0.4176,-0.1978,-0.5855,-0.6319,-0.4925,0.4615,-0.2198,-0.6088,0.456,0.8681
63,CA1-RSC,expert,RSC,54,0.0567,-0.178,0.1611,0.0144,0.4857,0.162,-0.228,0.2046,-0.0552,0.7033,0.0522,-0.2652,0.568,0.8751
