animal,area,epoch,n_units,n_partners,rho_pooled,rho_pooled_ratepart,rho_pooled_tune,rho_pooled_tune_ratepart,rho_pooled_tomrel,rho_pooled_tomrel_ratepart
41,CA3,expert,24,1,0.6548060491475611,0.5533778830920206,0.5766233766233767,0.5652128238528046,0.6620553359683795,0.6060032860883858
41,CA3,intermediate,24,1,0.14059853190287974,0.10974439173945572,0.5623376623376624,0.22782846486263986,0.3529079616036138,0.22460849753578008
41,CA3,naive,24,1,0.163184641445511,0.11590977248934792,0.639751552795031,0.42658611457154505,0.3112648221343874,0.09542659054059917
41,V1,expert,176,1,0.4601862536794961,0.2942050065327671,0.2852081692759453,-0.03843258460739077,0.41510698608138913,0.27246356292558627
41,V1,intermediate,176,1,0.4272969403477878,0.2679973144465776,0.22284146887595166,-0.08963540232783568,0.3016883116883117,0.14623665651503345
41,V1,naive,176,1,0.6115532751229603,0.43331014989892336,0.3668414961708107,-0.07355775840759188,0.5267095128272384,0.37033753976506545
52,CA1,expert,57,4,0.2714969241285031,0.234787976967209,0.0875598086124402,-0.010325770974228349,0.2415737619911849,0.17938336033059893
52,CA1,intermediate,57,4,0.4620642515379358,0.34322867344186847,0.32481203007518794,0.08885337175356002,0.46953590873736073,0.35781967910176626
52,CA1,naive,57,4,0.41982228298017776,0.03248398997524397,0.39704184704184714,0.018981607832702037,0.4039644565960356,0.03217616404507331
52,CA3,expert,61,2,0.12473660736360125,-0.04310394531123888,0.2171717171717172,0.00793999085789705,0.23432046536224216,-0.013911205219921948
52,CA3,intermediate,61,2,0.4018192400774805,0.08276433604739668,0.4587833219412167,-0.13571342756339372,0.3886832363828661,-0.019762945993801483
52,CA3,naive,61,2,0.3369269241455961,0.01438197976461472,0.48947983635301007,0.08394392603103945,0.38799576943416175,-0.0077150340561177875
52,DG,expert,33,2,0.4722593582887701,0.138191774326436,0.5795454545454545,0.16649381684102724,0.591577540106952,0.22859457542492065
52,DG,intermediate,33,2,0.45637829912023453,0.02057510153040333,0.4336510263929618,-0.09289037005753664,0.46089572192513373,-0.07308370324907884
52,DG,naive,33,2,0.5227272727272728,0.1246796607633214,0.5143716577540107,0.02484472000749869,0.5524732620320856,0.12895199353274284
52,RSC,expert,10,2,0.2121212121212121,-0.3384651612266733,0.5151515151515151,0.10237608640199757,-0.0303030303030303,-0.4950950996284863
52,RSC,intermediate,10,2,0.8181818181818182,0.7912565680749444,0.8666666666666665,0.8522089627053988,0.8545454545454544,0.8306647978638895
52,RSC,naive,10,2,0.43030303030303024,0.5133909384557563,0.6,0.642270714991117,0.5878787878787878,0.5897807774604454
52,V1,expert,109,2,0.3286270923242543,0.13067903893678323,0.1912505835167243,-0.16736226375293375,0.259176693627521,0.10859451859442658
52,V1,intermediate,109,2,0.5625335928088222,0.41607857583243707,0.3949145922051692,0.0974703748476805,0.5058752664257252,0.4085990010193042
52,V1,naive,109,2,0.24242424242424246,0.1552883404426614,0.10947250088122933,-0.11257499790621653,0.1488277268093782,0.10412215763098562
