animal,learner,pair,epoch,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_x_conn,gini_y_conn,gini_x_sig,gini_y_sig
68,1,CA1-DG,intermediate,25086,0.2862,3,0.0559,-0.0706,0,0.0781,0.2029,0.5538,0.5274,0.4774,0.4451
68,1,CA1-DG,expert,21477,0.2851,2,0.0523,-0.0504,0,0.1077,0.1719,0.4865,0.4801,0.5201,0.5176
68,1,CA3-DG,naive,24389,0.208,4,0.0609,0.004,0,0.6766,0.2434,0.9107,0.3849,0.874,0.3922
68,1,CA3-DG,intermediate,25086,0.2704,3,0.0717,0.0189,0,0.0652,0.2529,0.5234,0.4703,0.44,0.4242
68,1,CA3-DG,expert,21477,0.2772,2,0.0738,0.0204,0,0.0893,0.2534,0.4849,0.4806,0.5127,0.5212
73,1,CA1-RSC,naive,43845,0.0494,0,0.0,0.0248,0,0.2906,0.5819,0.3291,0.6354,nan,nan
73,1,CA1-RSC,intermediate,26911,0.046,1,0.0022,-0.0279,-7,0.2126,0.4742,0.3587,0.528,0.5453,0.6568
73,1,CA1-RSC,expert,23979,0.1051,12,0.1546,0.0001,8,0.2002,0.4752,0.2013,0.4961,0.2061,0.4935
73,1,CA1-DG,naive,43845,0.0767,1,0.003,-0.0257,0,0.2894,0.3889,0.3701,0.4382,0.5387,0.539
73,1,CA1-DG,intermediate,26911,0.0673,0,0.0,-0.0715,0,0.2154,0.2756,0.319,0.3791,nan,nan
73,1,CA1-DG,expert,23979,0.1799,9,0.144,-0.063,0,0.202,0.2676,0.2331,0.2797,0.2279,0.2792
73,1,CA1-V1,naive,43845,0.2344,2,0.0301,0.0077,0,0.2788,0.3793,0.5378,0.8726,0.4813,0.8436
73,1,CA1-V1,intermediate,26911,0.0985,1,0.0049,0.0266,0,0.2215,0.1268,0.4384,0.3648,0.6294,0.6257
73,1,CA1-V1,expert,23979,0.0611,0,0.0,-0.0165,0,0.206,0.1502,0.2848,0.2414,nan,nan
73,1,CA1-SUB,naive,43845,0.0835,1,0.0035,-0.015,0,0.2909,0.2236,0.3498,0.3576,0.5044,0.5141
73,1,CA1-SUB,intermediate,26911,0.083,2,0.0077,-0.0361,-1,0.2156,0.1488,0.2859,0.2791,0.4605,0.4134
73,1,CA1-SUB,expert,23979,-0.138,7,0.0848,-0.0204,0,0.202,0.1385,0.2687,0.2397,0.2555,0.2143
73,1,RSC-SUB,naive,43845,0.0825,2,0.0062,-0.0086,0,0.5819,0.2237,0.615,0.3741,0.6484,0.4472
73,1,RSC-SUB,intermediate,26911,0.093,1,0.0043,-0.0079,0,0.4735,0.149,0.4902,0.3258,0.6354,0.5441
73,1,RSC-SUB,expert,23979,0.039,10,0.1128,-0.0198,-2,0.4737,0.1389,0.4917,0.1843,0.4907,0.1764
73,1,V1-RSC,naive,43845,0.0721,2,0.0053,0.0917,6,0.3802,0.5863,0.538,0.6055,0.6551,0.6293
73,1,V1-RSC,intermediate,26911,0.1694,1,0.0146,0.0604,5,0.127,0.4761,0.3216,0.5172,0.5768,0.6138
73,1,V1-RSC,expert,23979,0.1648,1,0.0138,0.0256,0,0.1506,0.4711,0.3281,0.5195,0.555,0.6131
75,1,CA1-RSC,naive,25623,0.6039,12,0.6401,0.1239,3,0.2151,0.6655,0.2411,0.6348,0.2396,0.6612
75,1,CA1-RSC,intermediate,27132,0.6015,11,0.6425,0.0403,0,0.2295,0.59,0.1759,0.5684,0.1432,0.5728
75,1,CA1-RSC,expert,25685,0.2892,5,0.1241,0.0495,0,0.1801,0.5605,0.2517,0.549,0.2586,0.5556
75,1,CA1-DG,naive,25623,0.7811,7,1.1758,-0.1368,0,0.2155,0.5335,0.2238,0.5076,0.2482,0.5163
75,1,CA1-DG,intermediate,27132,0.4828,6,0.3085,-0.0841,0,0.2287,0.5516,0.2403,0.558,0.2404,0.5552
75,1,CA1-DG,expert,25685,0.3542,5,0.1092,-0.0777,0,0.1792,0.5869,0.2723,0.5779,0.2709,0.5804
75,1,CA1-V1,naive,25623,0.3621,10,0.5277,-0.0415,0,0.2151,0.344,0.2597,0.3633,0.2884,0.3751
75,1,CA1-V1,intermediate,27132,-0.4931,2,0.0573,-0.0193,0,0.229,0.2909,0.4288,0.3974,0.4771,0.4193
75,1,CA1-V1,expert,25685,-0.079,3,0.0305,-0.0008,0,0.1797,0.2907,0.3345,0.3573,0.31,0.3052
75,1,CA1-SUB,naive,25623,0.2256,7,0.7558,-0.0442,0,0.2154,0.2055,0.2556,0.2243,0.2874,0.23
75,1,CA1-SUB,intermediate,27132,0.1175,8,0.3223,-0.0296,0,0.2287,0.218,0.261,0.2505,0.26,0.2428
75,1,CA1-SUB,expert,25685,0.0067,6,0.1038,0.0291,0,0.1803,0.209,0.2669,0.3396,0.2365,0.3146
75,1,RSC-SUB,naive,25623,0.6548,13,0.6152,-0.0358,0,0.662,0.204,0.6302,0.2579,0.6576,0.2168
