animal,learner,pair,bin,dim,cc,sig,ifi
28,1,CA1-V1,3,6,-0.005,0,-0.0056
28,1,CA1-V1,3,7,0.0021,0,0.006
28,1,CA1-V1,3,8,0.0109,0,0.0063
28,1,CA1-V1,3,9,0.006,0,-0.0074
28,1,CA1-V1,3,10,0.0162,0,-0.0071
28,1,CA1-V1,3,11,-0.0197,0,-0.0012
28,1,CA1-V1,3,12,-0.0167,0,0.0115
28,1,CA1-V1,3,13,0.0349,0,-0.008
28,1,CA1-V1,3,14,0.0069,0,-0.0132
28,1,CA1-V1,3,15,-0.0139,0,0.0067
28,1,CA1-V1,3,16,-0.0142,0,-0.0001
28,1,CA1-V1,3,17,0.0109,0,-0.0033
28,1,CA1-V1,3,18,0.0175,0,-0.0036
28,1,CA1-V1,3,19,-0.0362,0,-0.008
28,1,CA1-V1,3,20,-0.0167,0,0.0159
28,1,CA1-V1,3,21,-0.0069,0,0.0234
28,1,CA1-V1,3,22,0.0166,0,0.0688
28,1,CA1-V1,3,23,0.0269,0,0.0687
28,1,CA1-V1,4,1,0.1867,0,-0.0073
28,1,CA1-V1,4,2,0.0782,0,-0.0446
28,1,CA1-V1,4,3,0.0469,0,-0.0352
28,1,CA1-V1,4,4,0.0353,0,-0.0152
28,1,CA1-V1,4,5,0.0151,0,-0.0067
28,1,CA1-V1,4,6,0.0249,0,-0.0275
28,1,CA1-V1,4,7,0.024,0,-0.0277
28,1,CA1-V1,4,8,-0.0042,0,0.0047
28,1,CA1-V1,4,9,0.0141,0,-0.0152
28,1,CA1-V1,4,10,0.011,0,-0.0197
28,1,CA1-V1,4,11,0.0099,0,-0.0155
28,1,CA1-V1,4,12,0.0046,0,0.0086
28,1,CA1-V1,4,13,0.0022,0,-0.0044
28,1,CA1-V1,4,14,0.0027,0,-0.0151
28,1,CA1-V1,4,15,0.0017,0,0.0089
28,1,CA1-V1,4,16,0.011,0,0.0102
28,1,CA1-V1,4,17,-0.012,0,0.0077
28,1,CA1-V1,4,18,-0.001,0,0.0382
28,1,CA1-V1,4,19,-0.0101,0,0.0556
28,1,CA1-V1,4,20,-0.0167,0,0.0694
28,1,CA1-V1,4,21,-0.0013,0,0.053
28,1,CA1-V1,4,22,0.0074,0,0.0733
28,1,CA1-V1,4,23,0.0045,0,0.0972
28,1,CA1-V1,5,1,0.1627,0,0.0054
28,1,CA1-V1,5,2,0.0643,0,0.0
28,1,CA1-V1,5,3,0.0046,0,-0.0024
28,1,CA1-V1,5,4,-0.0016,0,-0.0183
28,1,CA1-V1,5,5,-0.0156,0,-0.0264
28,1,CA1-V1,5,6,-0.0026,0,-0.0137
28,1,CA1-V1,5,7,0.0162,0,-0.0097
28,1,CA1-V1,5,8,-0.0061,0,-0.0196
28,1,CA1-V1,5,9,0.0197,0,-0.0079
28,1,CA1-V1,5,10,-0.0113,0,-0.0137
28,1,CA1-V1,5,11,-0.0385,0,-0.0285
28,1,CA1-V1,5,12,0.0058,0,-0.0098
28,1,CA1-V1,5,13,0.0068,0,0.0162
28,1,CA1-V1,5,14,0.0025,0,-0.0099
28,1,CA1-V1,5,15,0.0222,0,0.0037
28,1,CA1-V1,5,16,0.0083,0,-0.0121
28,1,CA1-V1,5,17,0.0207,0,-0.0239
28,1,CA1-V1,5,18,0.0083,0,-0.008
28,1,CA1-V1,5,19,-0.0187,0,0.0071
28,1,CA1-V1,5,20,-0.0035,0,0.0107
28,1,CA1-V1,5,21,-0.0237,0,0.0338
28,1,CA1-V1,5,22,0.0259,0,-0.0358
28,1,CA1-V1,5,23,0.0342,0,0.0599
28,1,CA1-V1,6,1,0.105,0,-0.0183
28,1,CA1-V1,6,2,0.1123,0,-0.0167
28,1,CA1-V1,6,3,0.0103,0,-0.012
28,1,CA1-V1,6,4,-0.0253,0,-0.0232
28,1,CA1-V1,6,5,-0.0021,0,-0.0286
28,1,CA1-V1,6,6,-0.0579,0,-0.011
28,1,CA1-V1,6,7,0.0248,0,-0.0122
28,1,CA1-V1,6,8,0.0725,0,-0.001
28,1,CA1-V1,6,9,0.0685,0,-0.0005
28,1,CA1-V1,6,10,-0.0402,0,0.0076
28,1,CA1-V1,6,11,0.0132,0,-0.0023
28,1,CA1-V1,6,12,0.0583,0,-0.012
28,1,CA1-V1,6,13,0.0468,0,-0.0168
28,1,CA1-V1,6,14,0.0058,0,-0.0132
28,1,CA1-V1,6,15,-0.0091,0,-0.014
