animal,pair,dim,epoch,window_bins,window_ms,ifi,degenerate,label,sig
75,CA1-DG,6,expert,17,170,0.15460423074508817,0,FF,1
75,CA1-DG,6,expert,18,180,0.1546042307450882,0,FF,1
75,CA1-DG,6,expert,19,190,0.15460423074508814,0,FF,1
75,CA1-DG,6,expert,20,200,0.15460423074508822,0,FF,1
75,CA1-DG,6,expert,21,210,0.15460423074508822,0,FF,1
75,CA1-DG,6,expert,22,220,0.15460423074508822,0,FF,1
75,CA1-DG,6,expert,23,230,0.16797430036449004,0,FF,1
75,CA1-DG,6,expert,24,240,0.1032661730095861,0,FF,1
75,CA1-DG,6,expert,25,250,0.10821874671984888,0,FF,1
75,CA1-DG,6,intermediate,1,10,-0.004076513013483902,0,FF,1
75,CA1-DG,6,intermediate,2,20,0.12878612716763002,0,FF,1
75,CA1-DG,6,intermediate,3,30,0.2650672908133411,0,FF,1
75,CA1-DG,6,intermediate,4,40,0.3594015640938457,0,FF,1
75,CA1-DG,6,intermediate,5,50,0.2806722689075631,0,FF,1
75,CA1-DG,6,intermediate,6,60,0.34547476713471437,0,FF,1
75,CA1-DG,6,intermediate,7,70,0.34547476713471437,0,FF,1
75,CA1-DG,6,intermediate,8,80,0.283724631914047,0,FF,1
75,CA1-DG,6,intermediate,9,90,0.2466829833827128,0,FF,1
75,CA1-DG,6,intermediate,10,100,0.1773722627737227,0,FF,1
75,CA1-DG,6,intermediate,11,110,0.004775747508305661,0,FF,1
75,CA1-DG,6,intermediate,12,120,-0.16171502815071453,0,FF,1
75,CA1-DG,6,intermediate,13,130,-0.24349253498006726,0,FF,1
75,CA1-DG,6,intermediate,14,140,-0.2388443267658282,0,FF,1
75,CA1-DG,6,intermediate,15,150,-0.2388443267658282,0,FF,1
75,CA1-DG,6,intermediate,16,160,-0.23884432676582817,0,FF,1
75,CA1-DG,6,intermediate,17,170,-0.18029381213829943,0,FF,1
75,CA1-DG,6,intermediate,18,180,-0.1210711768851303,0,FF,1
75,CA1-DG,6,intermediate,19,190,-0.12107117688513025,0,FF,1
75,CA1-DG,6,intermediate,20,200,-0.1210711768851303,0,FF,1
75,CA1-DG,6,intermediate,21,210,-0.12107117688513029,0,FF,1
75,CA1-DG,6,intermediate,22,220,-0.09712872647341668,0,FF,1
