animal,pair,epoch,peak_r,peak_lag_ms,ifi,width_ms,side_peak_ms,side_peak_ratio,n_bins,r_fit
75,CA1-DG,naive,0.25393,0.0,-0.03861187911145017,20.0,130.0,0.41511440160674207,6000,0.2727
75,CA1-RSC,expert,0.09827,0.0,0.0687485808166481,40.0,160.0,0.6825073776330519,6000,0.141
75,CA1-RSC,intermediate,0.10582,0.0,0.05952594935950446,320.0,180.0,0.960971460971461,6000,0.141
75,CA1-RSC,naive,0.18278,0.0,0.0381735061981216,80.0,110.0,0.6737608053397527,6000,0.141
75,CA1-SUB,expert,0.13216,0.0,0.03243042247075314,30.0,140.0,0.5819461259079903,6000,0.1251
75,CA1-SUB,intermediate,0.12331,0.0,-0.061625387310395095,10.0,130.0,0.41399724272159594,6000,0.1251
75,CA1-SUB,naive,0.11925,0.0,-0.1993967276275933,0.0,140.0,0.34691823899371066,6000,0.1251
75,CA1-V1,expert,0.09798,0.0,-0.04254261791458355,10.0,80.0,0.5813431312512758,6000,0.0991
75,CA1-V1,intermediate,0.07313,0.0,-0.365518718868834,10.0,200.0,0.5223574456447422,6000,0.0991
75,CA1-V1,naive,0.09885,0.0,-0.35785234545442557,20.0,150.0,0.7275670207384927,6000,0.0991
75,RSC-SUB,expert,0.22487,0.0,0.006792344367321183,500.0,,,6000,0.2616
75,RSC-SUB,intermediate,0.25256,0.0,0.0034177397622223295,500.0,,,6000,0.2616
75,RSC-SUB,naive,0.28168,0.0,0.04047749113981532,490.0,,,6000,0.2616
75,V1-RSC,expert,0.41226,0.0,-0.020515013919811184,90.0,100.0,0.6269344588366565,6000,0.395
75,V1-RSC,intermediate,0.40236,0.0,0.03376721007823723,110.0,140.0,0.5869370712794513,6000,0.395
75,V1-RSC,naive,0.37359,0.0,0.24271149396717015,290.0,130.0,0.36826467517867184,6000,0.395
77,CA1-DG,expert,0.0696,0.0,0.07097965325813435,50.0,120.0,0.7206896551724139,6000,0.0868
77,CA1-DG,intermediate,0.09908,0.0,0.052135543043441736,30.0,110.0,0.6793500201857084,6000,0.0868
77,CA1-DG,naive,0.08527,0.0,-0.234503299271034,20.0,110.0,0.7694382549548493,6000,0.0868
77,CA1-RSC,expert,0.06122,-20.0,-0.09742263794622205,30.0,20.0,0.957530218882718,6000,0.1464
77,CA1-RSC,intermediate,0.07156,-30.0,-0.11496963752383263,60.0,210.0,0.8870877585243152,6000,0.1464
77,CA1-RSC,naive,0.13447,0.0,0.03070332201505138,230.0,170.0,0.7502045065813936,6000,0.1464
77,CA1-SUB,expert,0.0368,0.0,0.02031665966092202,0.0,40.0,0.9790760869565217,6000,0.0429
77,CA1-SUB,intermediate,0.05742,-10.0,-0.3647606954678611,50.0,60.0,0.728143504005573,6000,0.0429
77,CA1-SUB,naive,0.03516,0.0,-0.14141823996944877,0.0,40.0,0.7417519908987487,6000,0.0429
77,CA1-V1,expert,0.09092,0.0,0.4698570235346141,0.0,160.0,0.38495380554333486,6000,0.0896
77,CA1-V1,intermediate,0.08328,0.0,0.2661150128641959,0.0,160.0,0.4424831892411143,6000,0.0896
77,CA1-V1,naive,0.09479,0.0,-0.039926246365506075,0.0,170.0,0.43759890283785213,6000,0.0896
77,RSC-SUB,expert,0.27729,0.0,0.043508988496703045,90.0,120.0,0.4429297847019366,6000,0.2342
77,RSC-SUB,intermediate,0.19047,0.0,0.10309301143021374,70.0,120.0,0.5936892949020843,6000,0.2342
77,RSC-SUB,naive,0.21847,0.0,0.009571214971301843,110.0,40.0,0.7855083077768116,6000,0.2342
77,V1-RSC,expert,0.31257,0.0,0.012247897030505685,50.0,60.0,0.31589723901845984,6000,0.2892
77,V1-RSC,intermediate,0.24551,0.0,-0.02579681624907742,70.0,90.0,0.582460999551953,6000,0.2892
77,V1-RSC,naive,0.29577,0.0,0.007502839774714221,70.0,60.0,0.5002873854684383,6000,0.2892
