animal,learner,pair,ordinal,trial_id,n_bins,cc1,ifi,optimal_lag,gini_part_x,gini_part_y
71,0,CA1-SUB,10,10,2665,0.1193,-0.2186,0,0.6497,0.4086
71,0,RSC-SUB,1,1,3561,0.1359,0.1242,0,0.4873,0.6135
71,0,RSC-SUB,2,2,2898,0.1602,0.1256,0,0.4966,0.6022
71,0,RSC-SUB,4,4,2619,0.1732,0.097,0,0.4899,0.5876
71,0,RSC-SUB,7,7,2459,0.1509,0.1221,5,0.5115,0.6016
71,0,RSC-SUB,10,10,2665,0.0573,0.3217,0,0.4683,0.557
71,0,V1-RSC,1,1,3561,0.2828,0.0415,0,0.4504,0.5281
71,0,V1-RSC,2,2,2898,0.3302,0.1707,3,0.465,0.5515
71,0,V1-RSC,4,4,2619,0.2406,0.2757,4,0.449,0.5132
71,0,V1-RSC,7,7,2459,0.3197,0.1193,3,0.4198,0.5355
71,0,V1-RSC,10,10,2665,0.2353,0.1688,0,0.4041,0.4843
73,1,CA1-RSC,1,1,5662,0.0175,0.1596,2,0.5009,0.4437
73,1,CA1-RSC,2,2,4390,0.041,-0.0991,-1,0.5213,0.467
73,1,CA1-RSC,4,4,4438,-0.0133,0.2559,7,0.5375,0.4586
73,1,CA1-RSC,7,7,4151,0.023,0.5081,-4,0.5466,0.4776
73,1,CA1-RSC,10,10,4119,0.0139,-0.0133,6,0.587,0.4761
73,1,CA1-DG,1,1,5662,0.1413,0.2487,0,0.6745,0.5438
73,1,CA1-DG,2,2,4390,0.1321,0.3193,0,0.6791,0.541
73,1,CA1-DG,4,4,4438,0.2087,0.2473,0,0.7007,0.5258
73,1,CA1-DG,7,7,4151,0.1959,0.3031,0,0.7281,0.5347
73,1,CA1-DG,10,10,4119,0.1895,0.3722,0,0.6605,0.5521
73,1,CA1-V1,1,1,5662,0.0121,0.2054,5,0.501,0.5569
73,1,CA1-V1,2,2,4390,0.0171,-0.092,-8,0.5217,0.5651
73,1,CA1-V1,4,4,4438,0.0193,-0.1502,0,0.5073,0.5692
73,1,CA1-V1,7,7,4151,0.0231,-0.2867,-5,0.4625,0.5822
73,1,CA1-V1,10,10,4119,0.042,0.0471,8,0.4484,0.5757
73,1,CA1-SUB,1,1,5662,0.1574,0.0003,0,0.688,0.4452
73,1,CA1-SUB,2,2,4390,0.1553,0.378,0,0.6556,0.4416
73,1,CA1-SUB,4,4,4438,0.1475,0.2974,0,0.6514,0.4262
73,1,CA1-SUB,7,7,4151,0.0777,0.3916,0,0.6849,0.4072
73,1,CA1-SUB,10,10,4119,0.1349,-0.4393,0,0.6605,0.4344
73,1,RSC-SUB,1,1,5662,0.0606,0.012,-2,0.4424,0.5987
73,1,RSC-SUB,2,2,4390,0.1081,-0.0878,1,0.4915,0.594
73,1,RSC-SUB,4,4,4438,0.1259,-0.0198,-6,0.4826,0.5292
73,1,RSC-SUB,7,7,4151,0.1032,0.044,1,0.5153,0.5978
73,1,RSC-SUB,10,10,4119,0.0891,-0.0071,1,0.4936,0.6016
