animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,rot_x_cc1,rot_y_cc1,jac_x,jac_y,sh_x,sh_y,sh_x_cc1,sh_y_cc1
28,1,CA1-V1,73.0,0.5294,0.5182,4.0,6000,0.3957,1,0.0852,0.0081,0,0.1991,0.2382,0.2149,0.2045,39.74,42.5,27.79,35.18,0.7143,0.7,73.0,71.97,77.75,64.76
28,1,CA1-V1,78.0,0.5662,0.6613,9.0,6000,0.2906,1,0.0441,0.0203,0,0.2252,0.2313,0.2128,0.218,41.1,40.75,31.3,25.3,0.7143,0.4167,48.08,53.95,34.85,44.7
28,1,CA1-V1,83.0,0.6029,0.7651,14.0,6000,0.2788,1,0.0405,0.0598,0,0.185,0.2456,0.1859,0.2302,49.07,45.81,27.08,31.8,0.7143,0.4783,71.39,72.88,28.23,44.93
28,1,CA1-V1,88.0,0.6397,0.9155,19.0,6000,0.3363,1,0.06,0.029,0,0.1963,0.2346,0.1858,0.2337,33.37,32.28,21.66,34.59,0.5,0.4783,83.27,86.24,32.46,43.67
28,1,CA1-V1,93.0,0.6765,0.9833,24.0,6000,0.3584,1,0.0687,0.0114,0,0.2356,0.2378,0.2142,0.2343,34.59,50.18,23.78,22.31,0.7143,0.36,67.55,70.41,47.37,41.91
28,1,CA1-V1,98.0,0.7132,1.0,29.0,6000,0.3476,1,0.0644,-0.0132,0,0.2569,0.2441,0.2076,0.2052,30.18,43.2,17.73,23.81,0.7143,0.4167,82.42,82.7,19.24,44.87
28,1,CA1-V1,103.0,0.75,0.9333,34.0,6000,0.3121,1,0.0512,-0.0102,0,0.2619,0.2158,0.1748,0.1944,82.33,51.5,20.32,27.04,0.7143,0.4167,53.58,79.62,40.74,36.08
28,1,CA1-V1,108.0,0.7868,0.8565,39.0,6000,0.2633,1,0.0359,-0.0028,0,0.2227,0.2513,0.1776,0.1983,67.5,78.44,18.35,20.09,0.7143,0.4783,88.17,89.05,44.24,40.88
28,1,CA1-V1,113.0,0.8235,0.7989,44.0,6000,0.1443,0,0.0,-0.0095,0,0.204,0.2822,0.1386,0.1623,68.64,68.82,45.74,44.85,0.7143,0.4783,85.92,83.34,46.93,51.03
28,1,CA1-V1,118.0,0.8603,0.7434,49.0,6000,0.2624,1,0.0357,0.0027,0,0.253,0.2418,0.2197,0.2026,62.4,63.05,39.22,38.27,0.5,0.5455,65.24,65.84,40.74,46.66
28,1,CA1-V1,123.0,0.8971,0.7314,54.0,6000,0.3028,1,0.0481,0.0082,0,0.3087,0.2333,0.2308,0.2077,51.51,59.55,30.01,28.54,0.7143,0.3077,85.07,89.61,45.34,33.97
28,1,CA1-V1,128.0,0.9338,0.6867,59.0,6000,0.225,1,0.026,0.0026,0,0.2854,0.277,0.174,0.2058,77.17,68.32,44.9,34.28,1.0,0.36,83.36,81.49,52.49,46.31
28,1,CA3-DG,8.0,0.0515,0.0162,-61.0,6000,0.1837,1,0.0172,-0.1143,0,0.6207,0.2091,0.4611,0.3182,nan,nan,nan,nan,,,84.64,62.06,68.07,24.35
28,1,CA3-DG,13.0,0.0882,0.0162,-56.0,6000,0.2793,1,0.0406,-0.0325,0,0.6985,0.219,0.5868,0.4065,87.67,66.87,13.95,16.51,1.0,0.6,81.69,63.06,77.19,25.73
28,1,CA3-DG,18.0,0.125,0.0833,-51.0,6000,0.3089,2,0.0966,0.0316,0,0.6728,0.6271,0.6333,0.441,85.05,89.68,86.72,89.66,0.5,0.3333,73.12,70.45,75.95,7.0
28,1,CA3-DG,23.0,0.1618,0.1389,-46.0,6000,0.4361,4,0.1716,0.0505,0,0.9277,0.5021,0.431,0.4995,90.0,83.31,90.0,0.93,0.2,0.3333,59.31,63.79,0.0,0.59
28,1,CA3-DG,28.0,0.1985,0.2667,-41.0,6000,0.0617,4,0.0828,0.0416,0,0.9277,0.3681,0.3591,0.4027,29.36,14.18,0.0,4.96,1.0,0.6,49.98,40.94,0.0,67.84
28,1,CA3-DG,33.0,0.2353,0.27,-36.0,6000,0.424,3,0.1265,-0.0353,0,0.7892,0.3331,0.3367,0.3734,89.51,48.99,88.76,2.37,0.2,1.0,89.72,48.05,5.78,9.32
28,1,CA3-DG,38.0,0.2721,0.3182,-31.0,6000,0.5434,2,0.206,-0.0615,0,0.793,0.4343,0.3824,0.4905,38.43,34.49,0.49,5.22,0.5,0.3333,88.71,68.04,0.95,1.36
28,1,CA3-DG,43.0,0.3088,0.3746,-26.0,6000,0.5595,2,0.2101,-0.0514,0,0.9207,0.4748,0.4507,0.5185,59.51,43.3,39.04,0.82,0.5,1.0,51.41,83.71,0.0,0.62
28,1,CA3-DG,48.0,0.3456,0.3465,-21.0,6000,0.7174,2,0.3794,-0.0022,0,0.9207,0.5382,0.5263,0.5968,32.15,58.58,0.0,0.77,0.5,0.6,43.0,69.11,0.0,0.68
28,1,CA3-DG,53.0,0.3824,0.3593,-16.0,6000,0.7296,3,0.3967,0.0057,0,0.8275,0.5679,0.5469,0.5683,60.17,53.11,52.28,0.25,1.0,1.0,70.7,42.85,1.21,1.04
28,1,CA3-DG,58.0,0.4191,0.3158,-11.0,6000,0.5892,2,0.229,0.0091,0,0.9454,0.5008,0.4781,0.5236,64.54,16.35,23.15,0.76,1.0,0.6,69.17,68.63,0.01,0.99
28,1,CA3-DG,63.0,0.4559,0.3796,-6.0,6000,0.1863,1,0.0177,0.0175,0,0.9207,0.1428,0.2551,0.2794,80.04,87.79,55.8,81.64,1.0,0.6,64.33,67.92,0.0,44.84
28,1,CA3-DG,68.0,0.4926,0.476,-1.0,6000,-0.1266,2,0.041,0.0395,0,0.8487,0.1219,0.2388,0.3476,85.73,53.89,37.76,17.19,0.5,1.0,78.83,66.55,58.94,80.97
28,1,CA3-DG,73.0,0.5294,0.5182,4.0,6000,0.1794,2,0.0303,-0.0018,0,0.8213,0.1255,0.2291,0.3057,41.42,87.15,6.72,41.16,1.0,0.6,86.91,71.55,22.66,57.45
28,1,CA3-DG,78.0,0.5662,0.6613,9.0,6000,0.031,2,0.0416,0.0949,0,0.1736,0.19,0.2205,0.3533,87.87,35.77,56.01,55.43,0.5,0.6,86.53,54.2,61.26,40.3
28,1,CA3-DG,83.0,0.6029,0.7651,14.0,6000,0.2255,2,0.0449,0.0688,0,0.1689,0.2816,0.2274,0.3037,37.58,24.06,51.48,59.02,1.0,1.0,77.92,46.33,58.77,60.35
28,1,CA3-DG,88.0,0.6397,0.9155,19.0,6000,-0.0038,2,0.0212,0.0188,0,0.2484,0.3164,0.3381,0.2781,76.85,64.33,29.53,47.3,0.5,0.6,76.36,77.1,62.24,45.3
28,1,CA3-DG,93.0,0.6765,0.9833,24.0,6000,0.2129,2,0.0339,0.0013,0,0.2517,0.3541,0.3324,0.2298,33.98,26.86,30.67,25.81,0.5,0.3333,88.42,87.54,60.25,16.71
28,1,CA3-DG,98.0,0.7132,1.0,29.0,6000,0.2243,1,0.0258,0.0201,0,0.1879,0.3925,0.3156,0.2457,72.13,42.45,34.89,5.11,0.2,0.6,69.72,89.34,32.7,5.81
28,1,CA3-DG,103.0,0.75,0.9333,34.0,6000,0.217,1,0.0241,0.0312,0,0.1962,0.3734,0.278,0.2325,27.09,31.25,20.86,12.71,0.5,1.0,74.49,71.58,42.56,12.65
28,1,CA3-DG,108.0,0.7868,0.8565,39.0,6000,0.2438,1,0.0306,0.0044,0,0.2323,0.3681,0.2868,0.244,41.4,22.15,24.6,35.63,1.0,0.6,61.83,65.58,19.07,22.7
28,1,CA3-DG,113.0,0.8235,0.7989,44.0,6000,0.2608,1,0.0352,0.0179,0,0.2555,0.3727,0.3233,0.2538,82.04,82.41,14.69,25.02,0.5,0.6,73.93,87.64,28.07,11.14
28,1,CA3-DG,118.0,0.8603,0.7434,49.0,6000,0.2536,1,0.0332,-0.0052,0,0.353,0.3755,0.244,0.2557,72.55,34.33,13.19,16.53,0.5,0.6,66.28,77.63,28.07,74.4
28,1,CA3-DG,123.0,0.8971,0.7314,54.0,6000,0.2409,1,0.0299,-0.0872,-9,0.3775,0.3961,0.2473,0.2696,54.3,40.18,26.41,29.62,1.0,0.6,40.41,66.69,26.63,67.65
28,1,CA3-DG,128.0,0.9338,0.6867,59.0,6000,0.202,1,0.0208,-0.0096,0,0.308,0.3912,0.2386,0.2723,81.47,42.91,22.05,20.97,0.5,0.6,80.7,58.64,66.59,61.12
