animal,learner,pair,epoch,bin_ms,lag_bins,lag_ms,n_samples,cc1,cc_mean3,n_sig,angle_x,angle_y,angle_x_cc1,angle_y_cc1,floor_x,floor_y,floor_cc1,gini_x_conn,gini_y_conn,angle_ff_fb_x,angle_ff_fb_y,angle_ff_fb_cc1
28,1,CA1-V1,naive,10,-20,-200,5800,0.06,0.0523,0,82.83,89.81,57.25,44.56,88.27,88.99,84.52,0.49,0.4851,75.68,67.17,36.5
28,1,CA1-V1,naive,10,25,250,5750,0.0881,0.0592,0,82.14,72.4,84.14,39.09,88.27,88.99,84.52,0.7785,0.4916,75.68,67.17,36.5
28,1,CA1-V1,naive,10,-25,-250,5750,0.0499,0.0277,0,86.27,77.41,35.87,30.18,88.27,88.99,84.52,0.3757,0.484,75.68,67.17,36.5
28,1,CA3-DG,naive,10,0,0,6000,0.0286,0.0411,0,0.0,0.0,0.0,0.0,25.19,84.01,12.48,0.671,0.4513,85.47,85.19,32.42
28,1,CA3-DG,naive,10,1,10,5990,0.0623,0.0285,0,25.57,85.5,87.22,74.49,25.19,84.01,12.48,0.6082,0.4625,85.47,85.19,32.42
28,1,CA3-DG,naive,10,-1,-10,5990,0.0867,0.0298,0,82.9,85.37,56.7,50.22,25.19,84.01,12.48,0.6949,0.6023,85.47,85.19,32.42
28,1,CA3-DG,naive,10,2,20,5980,0.0854,0.0484,0,70.18,77.47,81.48,78.91,25.19,84.01,12.48,0.6024,0.469,85.47,85.19,32.42
28,1,CA3-DG,naive,10,-2,-20,5980,0.091,0.03,0,66.13,87.17,78.29,45.58,25.19,84.01,12.48,0.6299,0.4193,85.47,85.19,32.42
28,1,CA3-DG,naive,10,3,30,5970,0.0922,0.0245,0,81.36,70.85,84.83,84.75,25.19,84.01,12.48,0.6241,0.3465,85.47,85.19,32.42
28,1,CA3-DG,naive,10,-3,-30,5970,0.1187,0.0527,0,74.13,71.89,81.8,43.78,25.19,84.01,12.48,0.7022,0.5233,85.47,85.19,32.42
28,1,CA3-DG,naive,10,4,40,5960,0.0956,0.0264,0,86.27,79.77,69.9,66.18,25.19,84.01,12.48,0.7521,0.5219,85.47,85.19,32.42
28,1,CA3-DG,naive,10,-4,-40,5960,0.0822,0.0359,0,84.27,71.97,47.65,76.68,25.19,84.01,12.48,0.6943,0.4406,85.47,85.19,32.42
28,1,CA3-DG,naive,10,5,50,5950,0.0846,0.0123,0,81.7,84.05,47.2,57.35,25.19,84.01,12.48,0.6338,0.4312,85.47,85.19,32.42
28,1,CA3-DG,naive,10,-5,-50,5950,0.0681,0.0376,0,83.42,73.18,48.9,68.69,25.19,84.01,12.48,0.6585,0.469,85.47,85.19,32.42
28,1,CA3-DG,naive,10,7,70,5930,0.0731,0.027,0,80.19,85.16,71.74,53.25,25.19,84.01,12.48,0.7225,0.5278,85.47,85.19,32.42
28,1,CA3-DG,naive,10,-7,-70,5930,0.0839,0.0547,0,77.56,69.13,43.94,49.61,25.19,84.01,12.48,0.6491,0.4039,85.47,85.19,32.42
28,1,CA3-DG,naive,10,10,100,5900,0.0627,0.0191,0,63.77,77.81,45.94,80.75,25.19,84.01,12.48,0.6787,0.4364,85.47,85.19,32.42
28,1,CA3-DG,naive,10,-10,-100,5900,0.1255,0.0488,0,75.14,58.34,52.5,53.35,25.19,84.01,12.48,0.7018,0.4318,85.47,85.19,32.42
28,1,CA3-DG,naive,10,15,150,5850,0.0138,0.0249,0,76.13,85.29,34.67,61.19,25.19,84.01,12.48,0.6555,0.3842,85.47,85.19,32.42
28,1,CA3-DG,naive,10,-15,-150,5850,0.0673,0.0281,0,56.32,76.17,48.92,57.96,25.19,84.01,12.48,0.7439,0.4251,85.47,85.19,32.42
28,1,CA3-DG,naive,10,20,200,5800,0.0524,0.0325,0,86.54,67.65,58.81,51.17,25.19,84.01,12.48,0.7316,0.4063,85.47,85.19,32.42
28,1,CA3-DG,naive,10,-20,-200,5800,0.068,0.0215,0,59.61,71.31,53.1,49.82,25.19,84.01,12.48,0.6505,0.4728,85.47,85.19,32.42
28,1,CA3-DG,naive,10,25,250,5750,0.0615,0.0422,0,83.17,89.52,70.41,77.29,25.19,84.01,12.48,0.6512,0.3896,85.47,85.19,32.42
28,1,CA3-DG,naive,10,-25,-250,5750,0.0455,0.0372,0,50.64,84.87,82.68,84.24,25.19,84.01,12.48,0.718,0.319,85.47,85.19,32.42
28,1,CA1-CA3,intermediate,10,0,0,6000,0.2208,0.1042,1,0.0,0.0,0.0,0.0,86.89,38.04,74.26,0.4423,0.5011,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,1,10,5990,0.039,0.0185,1,87.04,81.74,84.24,52.19,86.89,38.04,74.26,0.2948,0.6854,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,-1,-10,5990,0.04,0.0031,1,85.32,77.94,20.71,31.24,86.89,38.04,74.26,0.3671,0.556,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,2,20,5980,0.0291,0.0049,1,83.37,75.13,83.25,27.55,86.89,38.04,74.26,0.3762,0.5605,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,-2,-20,5980,-0.0038,0.0069,1,82.87,78.19,76.58,52.43,86.89,38.04,74.26,0.3124,0.5587,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,3,30,5970,-0.0096,-0.0104,1,85.75,62.85,81.72,65.64,86.89,38.04,74.26,0.3098,0.5485,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,-3,-30,5970,-0.0076,-0.0039,1,72.73,75.09,80.82,79.23,86.89,38.04,74.26,0.345,0.5209,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,4,40,5960,0.0133,0.0058,1,89.43,88.84,82.01,58.18,86.89,38.04,74.26,0.2878,0.5749,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,-4,-40,5960,-0.0097,0.0005,1,89.0,80.98,55.77,81.86,86.89,38.04,74.26,0.3582,0.7102,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,5,50,5950,0.0091,0.0064,1,76.99,78.19,87.71,64.83,86.89,38.04,74.26,0.3769,0.7142,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,-5,-50,5950,-0.0152,0.009,1,78.68,79.68,74.77,56.19,86.89,38.04,74.26,0.2688,0.5739,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,7,70,5930,0.0069,0.0096,1,63.86,85.3,56.05,46.5,86.89,38.04,74.26,0.3876,0.6475,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,-7,-70,5930,-0.0037,0.0163,1,84.48,83.81,89.57,46.83,86.89,38.04,74.26,0.303,0.6495,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,10,100,5900,-0.0203,0.0006,1,69.94,62.0,88.4,87.12,86.89,38.04,74.26,0.3348,0.4694,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,-10,-100,5900,0.0243,0.0061,1,87.89,80.8,73.02,77.97,86.89,38.04,74.26,0.3789,0.5748,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,15,150,5850,0.0189,0.0108,1,89.0,59.54,49.94,85.35,86.89,38.04,74.26,0.3257,0.5761,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,-15,-150,5850,0.0463,0.0185,1,85.76,73.83,81.51,47.21,86.89,38.04,74.26,0.3559,0.5707,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,20,200,5800,0.0066,0.0114,1,83.81,84.63,71.5,88.06,86.89,38.04,74.26,0.3123,0.7261,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,-20,-200,5800,0.0076,0.0028,1,81.27,67.26,84.69,87.95,86.89,38.04,74.26,0.2859,0.674,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,25,250,5750,-0.0112,-0.0018,1,82.84,76.24,86.77,86.07,86.89,38.04,74.26,0.2786,0.4939,82.74,83.78,88.55
28,1,CA1-CA3,intermediate,10,-25,-250,5750,-0.011,-0.0124,1,88.36,59.92,87.03,69.79,86.89,38.04,74.26,0.4044,0.4943,82.74,83.78,88.55
28,1,CA1-DG,intermediate,10,0,0,6000,0.2308,0.1039,1,0.0,0.0,0.0,0.0,88.09,88.94,51.49,0.2928,0.3148,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,1,10,5990,0.2335,0.102,1,87.2,58.73,30.48,14.92,88.09,88.94,51.49,0.376,0.4548,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,-1,-10,5990,0.1799,0.0779,1,86.45,57.9,55.0,39.13,88.09,88.94,51.49,0.42,0.3927,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,2,20,5980,0.2595,0.1092,1,85.41,79.94,39.49,27.73,88.09,88.94,51.49,0.3391,0.4431,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,-2,-20,5980,0.1884,0.0798,1,64.44,41.2,79.57,45.23,88.09,88.94,51.49,0.328,0.3584,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,3,30,5970,0.2351,0.1114,1,84.4,53.71,54.07,36.51,88.09,88.94,51.49,0.2469,0.3817,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,-3,-30,5970,0.1969,0.0908,1,71.11,84.08,77.6,43.53,88.09,88.94,51.49,0.3269,0.3599,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,4,40,5960,0.2022,0.1037,1,78.83,76.62,84.07,37.34,88.09,88.94,51.49,0.3061,0.3964,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,-4,-40,5960,0.2358,0.0987,1,65.18,79.94,66.56,30.54,88.09,88.94,51.49,0.3712,0.4806,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,5,50,5950,0.1887,0.0785,1,50.94,87.61,85.24,53.74,88.09,88.94,51.49,0.3364,0.4154,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,-5,-50,5950,0.2215,0.109,1,84.05,89.0,45.36,22.25,88.09,88.94,51.49,0.3085,0.4318,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,7,70,5930,0.1912,0.0919,1,80.65,84.44,34.85,29.7,88.09,88.94,51.49,0.361,0.4647,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,-7,-70,5930,0.1548,0.0841,1,87.37,73.63,30.67,26.3,88.09,88.94,51.49,0.2833,0.2849,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,10,100,5900,0.2116,0.0876,1,69.39,76.92,60.81,25.06,88.09,88.94,51.49,0.3312,0.4775,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,-10,-100,5900,0.1696,0.1163,1,88.51,89.96,75.85,46.13,88.09,88.94,51.49,0.2444,0.3624,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,15,150,5850,0.1727,0.0782,1,81.3,78.33,21.38,17.84,88.09,88.94,51.49,0.3265,0.3991,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,-15,-150,5850,0.0978,0.0674,1,58.35,89.26,44.89,26.27,88.09,88.94,51.49,0.3094,0.3418,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,20,200,5800,0.1,0.0424,1,87.51,65.16,56.34,38.42,88.09,88.94,51.49,0.286,0.2079,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,-20,-200,5800,0.1578,0.0616,1,85.42,85.16,39.86,18.12,88.09,88.94,51.49,0.2608,0.3079,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,25,250,5750,0.1465,0.0583,1,89.9,89.59,74.39,41.01,88.09,88.94,51.49,0.2975,0.3641,77.2,89.81,67.91
28,1,CA1-DG,intermediate,10,-25,-250,5750,0.1047,0.0571,1,81.33,46.48,89.65,27.29,88.09,88.94,51.49,0.3162,0.3337,77.2,89.81,67.91
28,1,CA1-V1,intermediate,10,0,0,6000,0.0134,0.0207,0,0.0,0.0,0.0,0.0,69.07,89.4,76.04,0.3252,0.5182,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,1,10,5990,0.0073,0.0232,0,57.92,60.32,75.18,88.39,69.07,89.4,76.04,0.2644,0.5142,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,-1,-10,5990,0.0145,0.0029,0,63.66,63.95,81.97,72.81,69.07,89.4,76.04,0.3259,0.5029,86.02,85.76,88.87
