animal,pair,dim,epoch,window_bins,window_ms,ifi,degenerate,label,sig
75,CA1-SUB,7,expert,20,200,0.03294418975853317,0,FB,1
75,CA1-SUB,7,expert,21,210,0.03270960777258019,0,FB,1
75,CA1-SUB,7,expert,22,220,0.06746482265111657,0,FB,1
75,CA1-SUB,7,expert,23,230,0.06855015686720756,0,FB,1
75,CA1-SUB,7,expert,24,240,0.0519663342019349,0,FB,1
75,CA1-SUB,7,expert,25,250,0.03787551404474799,0,FB,1
75,CA1-SUB,7,intermediate,1,10,-0.11898734177215192,0,FB,1
75,CA1-SUB,7,intermediate,2,20,0.041448147521569965,0,FB,1
75,CA1-SUB,7,intermediate,3,30,0.0645073489384868,0,FB,1
75,CA1-SUB,7,intermediate,4,40,0.09576427255985266,0,FB,1
75,CA1-SUB,7,intermediate,5,50,0.10532095437755817,0,FB,1
75,CA1-SUB,7,intermediate,6,60,0.12786069651741291,0,FB,1
75,CA1-SUB,7,intermediate,7,70,0.07791517085493962,0,FB,1
75,CA1-SUB,7,intermediate,8,80,0.03796257547677404,0,FB,1
75,CA1-SUB,7,intermediate,9,90,0.008547008547008614,0,FB,1
75,CA1-SUB,7,intermediate,10,100,-0.03219002201027152,0,FB,1
75,CA1-SUB,7,intermediate,11,110,-0.04008693552282068,0,FB,1
75,CA1-SUB,7,intermediate,12,120,-0.029553552714315614,0,FB,1
75,CA1-SUB,7,intermediate,13,130,-0.007554001748033399,0,FB,1
75,CA1-SUB,7,intermediate,14,140,0.01714783113303358,0,FB,1
75,CA1-SUB,7,intermediate,15,150,0.009456918482468787,0,FB,1
75,CA1-SUB,7,intermediate,16,160,0.028424193110930338,0,FB,1
75,CA1-SUB,7,intermediate,17,170,0.03363817933354357,0,FB,1
75,CA1-SUB,7,intermediate,18,180,0.024126539193112466,0,FB,1
75,CA1-SUB,7,intermediate,19,190,0.029817233636736898,0,FB,1
75,CA1-SUB,7,intermediate,20,200,-0.005603738926221189,0,FB,1
75,CA1-SUB,7,intermediate,21,210,-0.016005092529441173,0,FB,1
75,CA1-SUB,7,intermediate,22,220,-0.011366810631943098,0,FB,1
75,CA1-SUB,7,intermediate,23,230,-0.007630472926102697,0,FB,1
75,CA1-SUB,7,intermediate,24,240,0.031069845316691765,0,FB,1
75,CA1-SUB,7,intermediate,25,250,0.05192230079489024,0,FB,1
75,CA1-SUB,7,naive,1,10,-0.14780327868852464,0,FB,1
75,CA1-SUB,7,naive,2,20,-0.1945325479534813,0,FB,1
75,CA1-SUB,7,naive,3,30,-0.15146255551585072,0,FB,1
75,CA1-SUB,7,naive,4,40,-0.14404879008459562,0,FB,1
75,CA1-SUB,7,naive,5,50,-0.12015465120154653,0,FB,1
75,CA1-SUB,7,naive,6,60,-0.11245047156649371,0,FB,1
75,CA1-SUB,7,naive,7,70,-0.10441824122744714,0,FB,1
75,CA1-SUB,7,naive,8,80,-0.09063905276620318,0,FB,1
75,CA1-SUB,7,naive,9,90,-0.06707351316947155,0,FB,1
75,CA1-SUB,7,naive,10,100,-0.03644004773352245,0,FB,1
75,CA1-SUB,7,naive,11,110,-0.025709192130860512,0,FB,1
75,CA1-SUB,7,naive,12,120,-0.0022420267922203287,0,FB,1
75,CA1-SUB,7,naive,13,130,0.00959466393022047,0,FB,1
75,CA1-SUB,7,naive,14,140,0.02735889955124372,0,FB,1
75,CA1-SUB,7,naive,15,150,0.029844720158007702,0,FB,1
75,CA1-SUB,7,naive,16,160,0.030758728897311335,0,FB,1
75,CA1-SUB,7,naive,17,170,0.03537811142605619,0,FB,1
75,CA1-SUB,7,naive,18,180,0.037646949491194626,0,FB,1
75,CA1-SUB,7,naive,19,190,0.03204127952337053,0,FB,1
75,CA1-SUB,7,naive,20,200,0.03206601477360426,0,FB,1
75,CA1-SUB,7,naive,21,210,0.042045159615883766,0,FB,1
75,CA1-SUB,7,naive,22,220,0.058339287378459816,0,FB,1
75,CA1-SUB,7,naive,23,230,0.06815512910082809,0,FB,1
75,CA1-SUB,7,naive,24,240,0.07891995382492893,0,FB,1
75,CA1-SUB,7,naive,25,250,0.07907968303768963,0,FB,1
75,CA1-SUB,8,expert,1,10,0.1823480432972523,0,FB,1
75,CA1-SUB,8,expert,2,20,0.10833147196783562,0,FB,1
75,CA1-SUB,8,expert,3,30,0.09803309397439904,0,FB,1
75,CA1-SUB,8,expert,4,40,0.03759689922480615,0,FB,1
75,CA1-SUB,8,expert,5,50,-0.08785280254415355,0,FB,1
75,CA1-SUB,8,expert,6,60,-0.18977234922294572,0,FB,1
75,CA1-SUB,8,expert,7,70,-0.22134555018240443,0,FB,1
75,CA1-SUB,8,expert,8,80,-0.23459141961344612,0,FB,1
75,CA1-SUB,8,expert,9,90,-0.22050384884534643,0,FB,1
75,CA1-SUB,8,expert,10,100,-0.16440147161665006,0,FB,1
75,CA1-SUB,8,expert,11,110,-0.16425159448135995,0,FB,1
75,CA1-SUB,8,expert,12,120,-0.13580420234919757,0,FB,1
75,CA1-SUB,8,expert,13,130,-0.13768006392674348,0,FB,1
75,CA1-SUB,8,expert,14,140,-0.13027985746887136,0,FB,1
75,CA1-SUB,8,expert,15,150,-0.13183002493017681,0,FB,1
75,CA1-SUB,8,expert,16,160,-0.1356572868542629,0,FB,1
75,CA1-SUB,8,expert,17,170,-0.14666357354720042,0,FB,1
75,CA1-SUB,8,expert,18,180,-0.15078738915012474,0,FB,1
75,CA1-SUB,8,expert,19,190,-0.15048368683530608,0,FB,1
75,CA1-SUB,8,expert,20,200,-0.14981647335193077,0,FB,1
75,CA1-SUB,8,expert,21,210,-0.14374309744286795,0,FB,1
75,CA1-SUB,8,expert,22,220,-0.14312945466600366,0,FB,1
75,CA1-SUB,8,expert,23,230,-0.13553833851155592,0,FB,1
75,CA1-SUB,8,expert,24,240,-0.1292775190701507,0,FB,1
75,CA1-SUB,8,expert,25,250,-0.1249212181751156,0,FB,1
