animal,pair,epoch,area,n_units,rho_contrib_conn,rho_contrib_conn_ratepart,rho_contrib,rho_contrib_ratepart,rho_rate_rel,rho_contrib_conn_tune,rho_contrib_conn_tune_ratepart,rho_contrib_tune,rho_contrib_tune_ratepart,rho_rate_tune,rho_contrib_conn_tomrel,rho_contrib_conn_tomrel_ratepart,rho_rate_tomrel,rho_rel_tomrel
61,CA1-RSC,expert,RSC,101,0.0568,0.0487,0.0044,-0.0016,0.309,-0.0012,-0.0175,-0.0757,-0.0931,0.4313,0.0622,0.0543,0.3185,0.9253
61,CA1-RSC,intermediate,CA1,58,0.2635,0.0338,0.1727,-0.0787,0.4088,0.2431,-0.2028,0.2236,-0.2151,0.6998,0.3002,0.0819,0.4108,0.9089
61,CA1-RSC,intermediate,RSC,101,0.1874,0.1519,0.137,0.0823,0.3061,0.1155,0.0707,0.091,0.0253,0.3442,0.1833,0.1545,0.2417,0.9288
61,CA1-RSC,naive,CA1,57,0.2612,0.2005,0.3237,0.2296,0.4465,0.1817,0.0072,0.2553,0.0168,0.7652,0.1761,0.1018,0.4589,0.732
61,CA1-RSC,naive,RSC,101,0.3322,0.2537,0.331,0.2778,0.3102,0.2222,0.0879,0.1898,0.0973,0.4355,0.1571,0.1119,0.1566,0.8026
61,CA1-V1,expert,CA1,57,0.1869,-0.019,0.1174,-0.0952,0.426,0.382,0.12,0.3832,0.1216,0.6315,0.2295,0.0129,0.447,0.8444
61,CA1-V1,expert,V1,84,0.2906,0.0356,0.099,-0.011,0.6829,0.3039,-0.0222,0.1169,-0.0506,0.7928,0.2387,0.0305,0.5512,0.9219
61,CA1-V1,intermediate,CA1,58,0.2978,0.0839,0.1736,-0.0818,0.4088,0.2481,-0.1814,0.2289,-0.2167,0.6998,0.315,0.1056,0.4108,0.9089
61,CA1-V1,intermediate,V1,82,0.1163,0.1038,0.0611,0.0452,0.5514,0.1008,0.0749,0.0245,-0.0329,0.7313,0.1782,0.1491,0.4635,0.9044
61,CA1-V1,naive,CA1,57,0.396,0.3056,0.3295,0.2387,0.4465,0.2242,-0.0578,0.2457,0.0074,0.7652,0.1693,0.0356,0.4589,0.732
61,CA1-V1,naive,V1,81,0.338,0.1612,0.2498,0.0699,0.7063,0.1462,-0.227,0.0714,-0.3008,0.7899,0.1904,-0.0341,0.5791,0.8255
61,CA3-DG,expert,CA3,28,0.0892,-0.1509,0.2578,0.1353,0.237,0.3012,-0.1081,0.308,-0.032,0.4961,0.1461,-0.344,0.4444,0.7734
61,CA3-DG,expert,DG,24,0.1704,-0.1534,0.04,-0.0023,0.3296,0.5613,0.0451,-0.0069,-0.0319,0.7125,0.4731,0.0622,0.5454,0.6713
61,CA3-DG,intermediate,CA3,25,0.3385,0.005,0.4146,0.2107,0.4262,0.2738,-0.093,0.1762,-0.1147,0.4138,0.3614,-0.1637,0.5641,0.8262
61,CA3-DG,intermediate,DG,22,0.2456,-0.3534,-0.223,-0.1849,0.5065,0.582,0.0594,0.3248,0.3108,0.6571,0.5785,-0.1087,0.7362,0.799
61,CA3-DG,naive,CA3,27,0.2179,0.0086,0.0983,-0.0402,0.3291,0.4261,-0.0219,0.2888,0.02,0.6813,0.119,-0.2014,0.4042,0.5415
61,CA3-DG,naive,DG,21,0.4117,0.1755,0.1,-0.0585,0.4117,0.7026,0.2649,0.1039,-0.3496,0.8104,0.6769,0.3442,0.6502,0.6494
61,V1-RSC,expert,RSC,101,0.1625,0.1323,0.0176,0.0095,0.309,0.0705,0.02,-0.0626,-0.0827,0.4313,0.153,0.1213,0.3185,0.9253
61,V1-RSC,expert,V1,84,0.4163,0.1903,0.0982,-0.0116,0.6829,0.3381,0.0119,0.113,-0.0562,0.7928,0.3285,0.1245,0.5512,0.9219
61,V1-RSC,intermediate,RSC,101,0.453,0.4039,0.1402,0.086,0.3061,0.3785,0.3157,0.0853,0.0195,0.3442,0.4461,0.4075,0.2417,0.9288
61,V1-RSC,intermediate,V1,82,0.3627,0.2836,0.0547,0.0469,0.5514,0.3709,0.2876,0.027,-0.0142,0.7313,0.4108,0.3331,0.4635,0.9044
61,V1-RSC,naive,RSC,101,0.3347,0.2727,0.3408,0.2881,0.3102,0.2089,0.1027,0.1902,0.0971,0.4355,0.1608,0.1238,0.1566,0.8026
61,V1-RSC,naive,V1,81,0.4089,0.163,0.2454,0.0675,0.7063,0.2049,-0.2782,0.0677,-0.3015,0.7899,0.2124,-0.0844,0.5791,0.8255
63,CA1-RSC,expert,CA1,10,-0.3939,-0.7271,-0.2242,-0.1085,0.2242,-0.0788,-0.8617,-0.7212,-0.5254,0.6485,-0.1394,-0.6565,0.4667,0.8545
63,CA1-RSC,expert,RSC,50,0.1273,-0.1086,0.2007,-0.0193,0.5272,0.2436,-0.152,0.2788,-0.1032,0.7654,0.143,-0.1762,0.618,0.8673
