animal,pair,epoch,area,unit,contrib,contrib_conn
28,CA1-V1,naive,CA1,0,1.019603,0.017348
28,CA1-V1,naive,CA1,1,0.736334,0.02719
28,CA1-V1,naive,CA1,2,1.045995,0.016199
28,CA1-V1,naive,CA1,3,0.69877,0.050557
28,CA1-V1,naive,CA1,4,0.969351,0.020426
28,CA1-V1,naive,CA1,5,0.466699,0.015704
28,CA1-V1,naive,CA1,6,0.848734,0.027508
28,CA1-V1,naive,CA1,7,0.6351,0.013413
28,CA1-V1,naive,CA1,8,0.847968,0.025782
28,CA1-V1,naive,CA1,9,0.392878,0.02995
28,CA1-V1,naive,CA1,10,0.08294,0.002861
28,CA1-V1,naive,CA1,11,0.974897,0.014635
28,CA1-V1,naive,CA1,12,0.300469,0.033073
28,CA1-V1,naive,CA1,13,0.027685,0.00059
28,CA1-V1,naive,CA1,14,1.014614,0.134383
28,CA1-V1,naive,CA1,15,0.988435,0.022112
28,CA1-V1,naive,CA1,16,0.274913,0.00685
28,CA1-V1,naive,CA1,17,0.003904,4.5e-05
28,CA1-V1,naive,CA1,18,0.933149,0.016752
28,CA1-V1,naive,CA1,19,0.857537,0.022648
28,CA1-V1,naive,CA1,20,0.038878,0.001444
28,CA1-V1,naive,CA1,21,0.806767,0.023351
28,CA1-V1,naive,CA1,22,0.769913,0.027826
28,CA1-V1,naive,CA1,23,0.019829,0.00101
28,CA1-V1,naive,CA1,24,0.75578,0.019936
28,CA1-V1,naive,CA1,25,0.007925,0.000376
28,CA1-V1,naive,CA1,26,1.103329,0.043594
28,CA1-V1,naive,CA1,27,0.842363,0.044644
28,CA1-V1,naive,CA1,28,0.815563,0.034997
28,CA1-V1,naive,CA1,29,0.689223,0.063069
28,CA1-V1,naive,V1,0,0.121322,0.010743
28,CA1-V1,naive,V1,1,0.851331,0.014213
28,CA1-V1,naive,V1,2,0.10044,0.006898
28,CA1-V1,naive,V1,3,0.014684,0.001376
28,CA1-V1,naive,V1,4,0.022032,0.001136
28,CA1-V1,naive,V1,5,0.063259,0.002829
28,CA1-V1,naive,V1,6,0.282893,0.012997
28,CA1-V1,naive,V1,7,0.817516,0.024482
28,CA1-V1,naive,V1,8,0.00956,0.000331
28,CA1-V1,naive,V1,9,0.815626,0.013354
28,CA1-V1,naive,V1,10,0.172139,0.007561
28,CA1-V1,naive,V1,11,0.688602,0.046074
28,CA1-V1,naive,V1,12,0.375643,0.044812
28,CA1-V1,naive,V1,13,0.108604,0.01298
28,CA1-V1,naive,V1,14,0.855095,0.010035
28,CA1-V1,naive,V1,15,0.545039,0.02935
28,CA1-V1,naive,V1,16,0.353487,0.021095
28,CA1-V1,naive,V1,17,0.152536,0.00578
28,CA1-V1,naive,V1,18,0.539999,0.0242
28,CA1-V1,naive,V1,19,0.388401,0.02419
28,CA1-V1,naive,V1,20,0.335305,0.006053
28,CA1-V1,naive,V1,21,0.141651,0.011541
28,CA1-V1,naive,V1,22,0.472523,0.05626
28,CA1-V1,naive,V1,23,0.068127,0.006075
28,CA1-V1,naive,V1,24,0.0,0.0
28,CA1-V1,naive,V1,25,0.006345,0.000506
28,CA1-V1,naive,V1,26,0.029726,0.002372
28,CA1-V1,naive,V1,27,0.750256,0.015463
28,CA1-V1,naive,V1,28,0.012508,0.000967
28,CA1-V1,naive,V1,29,0.487237,0.008224
28,CA1-V1,naive,V1,30,0.715736,0.032436
28,CA1-V1,naive,V1,31,0.010024,0.000579
28,CA1-V1,naive,V1,32,0.486148,0.007647
28,CA1-V1,naive,V1,33,0.049082,0.001686
28,CA1-V1,naive,V1,34,0.248788,0.022061
28,CA1-V1,naive,V1,35,0.718948,0.025115
28,CA1-V1,naive,V1,36,0.375572,0.004644
28,CA1-V1,naive,V1,37,0.607062,0.011558
28,CA1-V1,naive,V1,38,0.164019,0.014912
28,CA1-V1,naive,V1,39,0.311904,0.031416
28,CA1-V1,naive,V1,40,0.003606,0.000328
28,CA1-V1,naive,V1,41,0.011804,0.000839
28,CA1-V1,naive,V1,42,0.79858,0.024106
28,CA1-V1,naive,V1,43,0.056685,0.003734
28,CA1-V1,naive,V1,44,0.021058,0.002276
28,CA1-V1,naive,V1,45,0.11512,0.012827
28,CA1-V1,naive,V1,46,0.062979,0.002793
28,CA1-V1,naive,V1,47,0.755958,0.019936
28,CA1-V1,naive,V1,48,0.068518,0.00308
28,CA1-V1,naive,V1,49,0.041554,0.003443
28,CA1-V1,naive,V1,50,0.110686,0.006597
28,CA1-V1,naive,V1,51,0.013702,0.000539
28,CA1-V1,naive,V1,52,0.807966,0.027088
28,CA1-V1,naive,V1,53,0.465533,0.0222
28,CA1-V1,naive,V1,54,0.254296,0.018646
28,CA1-V1,naive,V1,55,0.193172,0.015479
28,CA1-V1,naive,V1,56,0.245201,0.032721
28,CA1-V1,naive,V1,57,0.031165,0.002619
28,CA1-V1,naive,V1,58,0.529165,0.052733
28,CA1-V1,naive,V1,59,0.128949,0.004965
28,CA1-V1,naive,V1,60,0.790923,0.038801
28,CA1-V1,naive,V1,61,0.222498,0.017017
28,CA1-V1,naive,V1,62,0.723648,0.025034
28,CA1-V1,naive,V1,63,0.691641,0.013462
28,CA1-V1,naive,V1,64,0.617164,0.027261
28,CA1-V1,naive,V1,65,0.128081,0.005214
28,CA1-V1,naive,V1,66,0.057438,0.001401
28,CA1-V1,naive,V1,67,0.002623,8.4e-05
28,CA1-V1,naive,V1,68,0.83102,0.014329
28,CA1-V1,intermediate,CA1,0,1.002997,0.023814
28,CA1-V1,intermediate,CA1,1,0.992945,0.047883
28,CA1-V1,intermediate,CA1,2,1.00507,0.024903
