animal,learner,pair,center_trial,trial_frac,performance,lp_rel,dim,cc,ifi,lag,sig
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,0,0.2203,0.0746,2,1
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,1,0.2982,0.0579,0,1
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,2,0.1582,0.0655,0,1
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,3,-0.1238,0.0772,0,0
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,4,-0.1618,0.0565,0,0
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,5,0.1571,0.0355,1,1
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,6,0.0779,0.0257,0,0
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,7,0.2151,0.0549,1,1
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,8,0.1254,0.0776,1,0
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,9,0.021,0.1165,1,0
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,10,0.1825,0.1057,2,1
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,11,0.0998,0.1088,0,0
28,1,CA1-CA3,58.0,0.4191,0.3158,-11.0,12,-0.1705,0.1283,2,0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,0,0.0286,-0.0378,0,0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,1,0.3054,-0.0402,0,1
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,2,0.203,-0.1197,0,1
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,3,-0.1063,-0.0475,0,0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,4,-0.0988,-0.0231,0,0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,5,0.0148,-0.0116,0,0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,6,0.087,-0.0051,1,0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,7,0.1307,-0.0385,-1,1
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,8,0.1103,-0.0559,-1,0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,9,-0.1332,-0.0335,-1,0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,10,-0.0669,-0.0313,-5,0
28,1,CA1-CA3,63.0,0.4559,0.3796,-6.0,11,-0.199,0.022,-5,0
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,0,0.2,-0.0726,0,1
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,1,0.1788,-0.0114,0,1
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,2,0.1447,-0.0573,0,1
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,3,0.0486,0.0549,5,0
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,4,0.1335,0.0326,2,1
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,5,-0.0231,0.0231,1,0
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,6,0.0246,-0.0021,-5,0
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,7,0.0287,0.0062,5,0
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,8,-0.002,0.0494,5,0
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,9,0.1174,-0.0042,3,0
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,10,0.034,-0.0423,-4,0
28,1,CA1-CA3,68.0,0.4926,0.476,-1.0,11,-0.078,0.0474,2,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,0,-0.0626,-0.0263,0,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,1,0.3501,0.0006,0,1
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,2,0.104,-0.0818,0,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,3,0.2471,-0.0078,0,1
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,4,-0.1222,-0.0521,0,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,5,0.0284,-0.0578,0,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,6,0.325,-0.0721,0,1
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,7,0.032,-0.0584,-3,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,8,-0.0303,-0.0696,-3,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,9,0.2498,-0.0901,-1,1
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,10,-0.095,-0.0782,-3,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,11,-0.034,-0.0579,-3,0
28,1,CA1-CA3,73.0,0.5294,0.5182,4.0,12,-0.042,-0.098,-4,0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,0,-0.0506,-0.0306,0,0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,1,0.2926,0.0062,0,1
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,2,-0.0323,-0.026,0,0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,3,-0.0908,-0.0525,0,0
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,4,0.2382,-0.056,0,1
28,1,CA1-CA3,78.0,0.5662,0.6613,9.0,5,0.108,-0.0386,0,0
