animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,jac_x,jac_y,sh_x,sh_y
63,1,CA1-RSC,105.5,0.3297,0.5939,-1.5,6000,0.1108,0,0.0,0.0245,4,0.1149,0.2445,0.1512,0.182,52.61,71.5,0.5,0.2381,80.19,87.8
63,1,CA1-RSC,120.5,0.377,0.6401,13.5,6000,0.0378,0,0.0,-0.0099,-5,0.0725,0.2794,0.1523,0.1408,66.79,77.1,1.0,0.1304,70.59,86.86
63,1,CA1-RSC,135.5,0.4243,0.4287,28.5,6000,0.1218,0,0.0,0.047,2,0.1814,0.2615,0.1743,0.1684,78.56,81.83,0.5,0.3684,81.68,74.93
63,1,CA1-RSC,150.5,0.4716,0.2394,43.5,6000,0.11,0,0.0,0.0305,0,0.0796,0.2995,0.1805,0.1996,69.74,87.53,0.5,0.3,86.94,88.16
63,1,CA1-RSC,165.5,0.5189,0.1324,58.5,6000,0.1531,1,0.0119,-0.0017,0,0.1094,0.2768,0.1663,0.1756,43.73,85.06,0.5,0.2381,76.75,75.13
63,1,CA1-RSC,180.5,0.5662,0.0546,73.5,6000,0.1026,0,0.0,0.0143,2,0.0879,0.2709,0.1318,0.1522,85.0,78.7,0.5,0.3,72.49,88.03
63,1,CA1-RSC,195.5,0.6136,0.1233,88.5,6000,0.1142,0,0.0,0.0109,-3,0.0708,0.2738,0.1594,0.2034,76.26,86.53,0.2,0.2381,87.85,84.86
63,1,CA1-RSC,210.5,0.6609,0.1763,103.5,6000,0.1016,0,0.0,-0.01,-3,0.0675,0.2208,0.1578,0.171,62.03,78.55,0.2,0.1818,77.59,89.29
63,1,CA1-RSC,225.5,0.7082,0.1239,118.5,6000,0.1299,1,0.0085,0.0341,2,0.0584,0.2477,0.1607,0.1923,73.36,84.25,0.2,0.3,81.98,86.99
63,1,CA1-RSC,240.5,0.7555,0.1627,133.5,6000,0.1356,1,0.0093,0.0422,0,0.0669,0.2281,0.1613,0.1699,79.07,85.07,0.2,0.2381,89.49,82.04
63,1,CA1-RSC,255.5,0.8028,0.178,148.5,6000,0.1452,1,0.0107,-0.0197,-3,0.0892,0.2279,0.1712,0.1894,72.23,86.78,0.0,0.2381,85.49,81.0
