animal,pair,window_bins,window_ms,mean_ifi,n_ccs,wmean_ifi
52,CA1-RSC,15,150,0.5125223613595707,1,0.5125223613595707
52,CA1-RSC,16,160,0.4745300617018224,1,0.4745300617018224
52,CA1-RSC,17,170,0.48019872249822587,1,0.48019872249822587
52,CA1-RSC,18,180,0.49063670411985033,1,0.49063670411985033
52,CA1-RSC,19,190,0.44164207137107614,1,0.44164207137107614
52,CA1-RSC,20,200,0.38586535981428954,1,0.3858653598142895
52,CA1-RSC,21,210,0.34678285782499724,1,0.34678285782499724
52,CA1-RSC,22,220,0.29247336464658036,1,0.29247336464658036
52,CA1-RSC,23,230,0.23828339369992316,1,0.23828339369992316
52,CA1-RSC,24,240,0.19083808317500534,1,0.19083808317500536
52,CA1-RSC,25,250,0.16393273496337565,1,0.16393273496337565
52,CA1-V1,1,10,-0.19888040712468194,2,-0.14301462753555366
52,CA1-V1,2,20,-0.19232080004275637,2,-0.15827403745135846
52,CA1-V1,3,30,-0.26121455808789196,2,-0.20737242438519382
52,CA1-V1,4,40,-0.2334907095131432,2,-0.19457526248376092
52,CA1-V1,5,50,-0.21629913501090456,2,-0.1881896478906412
52,CA1-V1,6,60,-0.2220005694477002,2,-0.19670555932928813
52,CA1-V1,7,70,-0.26910493033491906,2,-0.22753139476469791
52,CA1-V1,8,80,-0.29102775198087205,2,-0.23991471667377864
52,CA1-V1,9,90,-0.25118593432792347,2,-0.22201499981464565
52,CA1-V1,10,100,-0.1592235232061041,2,-0.17184713539712393
52,CA1-V1,11,110,-0.1329838314086312,2,-0.1618135524263191
52,CA1-V1,12,120,-0.11502700768914602,2,-0.15477632935632785
52,CA1-V1,13,130,-0.15274340659015911,2,-0.18083653590915474
52,CA1-V1,14,140,-0.19284831390005436,2,-0.2116339844593572
52,CA1-V1,15,150,-0.2140485386099929,2,-0.23060415756871516
52,CA1-V1,16,160,-0.20375934366552811,2,-0.22873063723002984
52,CA1-V1,17,170,-0.1954901828264045,2,-0.2273831779310631
52,CA1-V1,18,180,-0.17284798988501743,2,-0.21621694596779945
52,CA1-V1,19,190,-0.1675371649127385,2,-0.2140493471092036
52,CA1-V1,20,200,-0.1622280294602119,2,-0.21458603774478813
52,CA1-V1,21,210,-0.13378948323369394,2,-0.19957278328764727
52,CA1-V1,22,220,-0.10166365695746621,2,-0.18073446348093827
52,CA1-V1,23,230,-0.0812192661959161,2,-0.1678531841221959
52,CA1-V1,24,240,-0.09630136231201422,2,-0.1733190519450605
52,CA1-V1,25,250,-0.097345328131939,2,-0.172684659020755
52,CA3-DG,1,10,-0.0608818828664127,10,0.005954791086382332
52,CA3-DG,2,20,-0.03953615072250737,10,0.028427322596000292
52,CA3-DG,3,30,-0.04989754603606295,10,0.03914687185131377
52,CA3-DG,4,40,-0.015542245926674195,10,0.037937057769720686
52,CA3-DG,5,50,-0.021864809725368535,10,0.0250717756563493
52,CA3-DG,6,60,-0.041579997735092335,10,0.01775969216108681
52,CA3-DG,7,70,-0.045304821536466096,10,0.019846023508087365
52,CA3-DG,8,80,-0.04693667877115873,10,0.021885272956859412
52,CA3-DG,9,90,-0.03220369180125855,10,0.019892999309975245
52,CA3-DG,10,100,-0.031210351702579,10,0.016305758503691745
52,CA3-DG,11,110,-0.04670511328646135,10,0.012520520586374456
52,CA3-DG,12,120,-0.052585987776195664,10,0.0074984702972936395
52,CA3-DG,13,130,-0.04552037588474709,10,0.011145690265914958
52,CA3-DG,14,140,-0.03365883719615722,10,0.01564485097921706
52,CA3-DG,15,150,-0.04105625737769468,10,0.010360060674563834
52,CA3-DG,16,160,-0.01690279553009009,10,0.015728418817990097
52,CA3-DG,17,170,-0.026061654207466183,10,0.011205541109811992
52,CA3-DG,18,180,-0.02468899622876808,10,0.009869978001546981
52,CA3-DG,19,190,-0.03192627411104592,10,0.01084859377845987
52,CA3-DG,20,200,-0.032650059329286586,10,0.01326890857189791
52,CA3-DG,21,210,-0.035729004192095216,10,0.013026477628795429
52,CA3-DG,22,220,-0.034423186204278755,10,0.018033646539567707
52,CA3-DG,23,230,-0.0302568322454284,10,0.020659651935571385
52,CA3-DG,24,240,-0.039061619646041115,10,0.016715285181570148
52,CA3-DG,25,250,-0.03572944460291165,10,0.016254098986067465
52,V1-RSC,1,10,0.09261162891356126,4,0.06553307481312595
52,V1-RSC,2,20,0.07960677130475693,4,0.054026360622224774
52,V1-RSC,3,30,0.04450999446526922,4,0.03612846305649441
52,V1-RSC,4,40,0.056180012421635186,4,0.04088108142561714
52,V1-RSC,5,50,0.04614553932340741,4,0.03416643714130656
52,V1-RSC,6,60,0.0610684036070596,4,0.040614274847615
52,V1-RSC,7,70,0.06975594678226012,4,0.049089295038137325
52,V1-RSC,8,80,0.0869242362465471,4,0.06420603792032821
52,V1-RSC,9,90,0.09244569348623782,4,0.06872254363908427
52,V1-RSC,10,100,0.08973199009009611,4,0.06642762393224376
52,V1-RSC,11,110,0.09832381939133046,4,0.0715123134981642
52,V1-RSC,12,120,0.10528648469571605,4,0.07504664248207014
52,V1-RSC,13,130,0.1214908636001843,4,0.08471936660500134
52,V1-RSC,14,140,0.13038024311442054,4,0.08953284763520654
52,V1-RSC,15,150,0.14191579943479826,4,0.09819846959414862
52,V1-RSC,16,160,0.15677692152465267,4,0.10786869705865369
52,V1-RSC,17,170,0.15449890467007266,4,0.10867864867277345
52,V1-RSC,18,180,0.15887529555466023,4,0.11314957743461074
52,V1-RSC,19,190,0.1687029823935514,4,0.12091136813175331
52,V1-RSC,20,200,0.1776233787937525,4,0.12797041965178524
52,V1-RSC,21,210,0.17168373922145921,4,0.12946304490712973
52,V1-RSC,22,220,0.17020465341484053,4,0.13299001143585898
52,V1-RSC,23,230,0.17827945601450643,4,0.13983290739344514
52,V1-RSC,24,240,0.18516572616476357,4,0.14676544996434313
52,V1-RSC,25,250,0.18734162253575598,4,0.14880061093627805
61,CA1-CA3,1,10,0.0762009640139013,4,0.0758846928579931
61,CA1-CA3,2,20,0.1550764048144793,4,0.1454590624431427
61,CA1-CA3,3,30,0.20424809950787876,4,0.1696133584080774
61,CA1-CA3,4,40,0.0014792544856674639,4,-0.10033194238955666
61,CA1-CA3,5,50,-0.06314863407546004,4,-0.10289306669736636
61,CA1-CA3,6,60,-0.12486893923792416,4,-0.14046529033516067
61,CA1-CA3,7,70,-0.10744797701726709,4,-0.13037199448873715
61,CA1-CA3,8,80,-0.110175595985615,4,-0.12789540468041083
61,CA1-CA3,9,90,-0.10600875788617836,4,-0.1190328175677449
61,CA1-CA3,10,100,-0.09635345149738365,4,-0.1239859213919976
61,CA1-CA3,11,110,-0.12199025828114653,4,-0.13863776159466099
