animal,area,epoch,partner1,partner2,n_units,rho_conn,rho_intr,rho_resid,jaccard,jaccard_excess
61,CA1,naive,CA1-RSC,CA1-V1,64,0.7848443223443222,0.9989010989010987,-0.142353347640101,0.3333333333333333,0.19047619047619047
61,CA3,expert,CA1-CA3,CA3-DG,33,0.7028743315508021,0.9946524064171123,0.488135968691009,0.2857142857142857,0.12781954887218042
61,CA3,intermediate,CA1-CA3,CA3-DG,33,0.6460561497326204,0.9959893048128343,0.3978858023103322,0.38461538461538464,0.22672064777327935
61,CA3,naive,CA1-CA3,CA3-DG,33,0.6133021390374331,0.991644385026738,0.32852916053739856,0.2,0.04210526315789473
61,DG,expert,CA1-DG,CA3-DG,25,0.7984615384615384,0.9938461538461538,0.7044959524728808,0.4,0.2372093023255814
61,DG,intermediate,CA1-DG,CA3-DG,25,0.8407692307692308,0.9761538461538463,0.8179589632290817,0.2727272727272727,0.10993657505285409
61,DG,naive,CA1-DG,CA3-DG,25,0.7699999999999999,0.9823076923076923,0.5652727949163012,0.5555555555555556,0.39276485788113696
61,RSC,expert,CA1-RSC,V1-RSC,115,0.6649017596464926,0.9968279018385545,0.17033614591830487,0.48717948717948717,0.3429008802143131
61,RSC,intermediate,CA1-RSC,V1-RSC,115,0.6893369552150933,0.9921644440937427,0.2992211213930459,0.45,0.30572139303482593
61,RSC,naive,CA1-RSC,V1-RSC,115,0.5331978734366671,0.9905468318472345,-0.14976814560105442,0.3488372093023256,0.20455860233715148
61,V1,expert,CA1-V1,V1-RSC,93,0.9091343141058158,0.9987765211423113,0.6673266723335812,0.5483870967741935,0.40023894862604537
61,V1,intermediate,CA1-V1,V1-RSC,93,0.7950374503894242,0.9970308256990241,0.3594659566625308,0.5483870967741935,0.40023894862604537
61,V1,naive,CA1-V1,V1-RSC,93,0.8899167437557816,0.9984482707170778,0.2516567192695087,0.6,0.45185185185185184
66,CA1,expert,CA1-DG,CA1-RSC,29,0.7241379310344827,0.9758620689655171,0.5540160801439293,0.3333333333333333,0.1733333333333333
66,CA1,expert,CA1-DG,CA1-SUB,29,0.8059113300492609,0.8990147783251231,0.5611906594047592,0.45454545454545453,0.29454545454545455
66,CA1,expert,CA1-DG,CA1-V1,29,0.7216748768472905,0.9995073891625613,0.5847606662137153,0.45454545454545453,0.29454545454545455
66,CA1,expert,CA1-RSC,CA1-SUB,29,0.824630541871921,0.8921182266009852,0.6778343036875498,0.45454545454545453,0.29454545454545455
66,CA1,expert,CA1-RSC,CA1-V1,29,0.7694581280788175,0.9729064039408865,0.6661288021794525,0.45454545454545453,0.29454545454545455
66,CA1,expert,CA1-SUB,CA1-V1,29,0.7783251231527091,0.902463054187192,0.6184271310022196,0.45454545454545453,0.29454545454545455
66,CA1,intermediate,CA1-DG,CA1-RSC,29,0.7177339901477832,0.9645320197044334,0.5803915065795018,0.45454545454545453,0.29454545454545455
66,CA1,intermediate,CA1-DG,CA1-SUB,29,0.6182266009852215,0.8788177339901475,0.41361453464102255,0.23076923076923078,0.07076923076923078
66,CA1,intermediate,CA1-DG,CA1-V1,29,0.576847290640394,0.9985221674876845,0.42844663870951105,0.23076923076923078,0.07076923076923078
66,CA1,intermediate,CA1-RSC,CA1-SUB,29,0.6236453201970442,0.9078817733990147,0.43062403308577013,0.3333333333333333,0.1733333333333333
66,CA1,intermediate,CA1-RSC,CA1-V1,29,0.6384236453201969,0.9600985221674873,0.5004411891324243,0.3333333333333333,0.1733333333333333
66,CA1,intermediate,CA1-SUB,CA1-V1,29,0.8024630541871919,0.8798029556650244,0.7320158778822917,0.45454545454545453,0.29454545454545455
66,CA1,naive,CA1-DG,CA1-RSC,29,0.6806256979819696,0.9743842364532018,0.4985399775545832,0.45454545454545453,0.29454545454545455
66,CA1,naive,CA1-DG,CA1-SUB,29,0.7461510094778812,0.9428571428571426,0.6297036655119975,0.3333333333333333,0.1733333333333333
66,CA1,naive,CA1-DG,CA1-V1,29,0.6599334943516817,0.9999999999999998,0.4479633591496638,0.23076923076923078,0.07076923076923078
66,CA1,naive,CA1-RSC,CA1-SUB,29,0.7206896551724137,0.9059113300492609,0.3839116489258639,0.3333333333333333,0.1733333333333333
66,CA1,naive,CA1-RSC,CA1-V1,29,0.6103448275862068,0.9743842364532018,0.252528192725884,0.14285714285714285,-0.017142857142857154
66,CA1,naive,CA1-SUB,CA1-V1,29,0.793103448275862,0.9428571428571426,0.4779155621117048,0.23076923076923078,0.07076923076923078
66,RSC,expert,CA1-RSC,RSC-SUB,18,0.4613003095975232,0.7069143446852425,-0.14052310721572414,0.6666666666666666,0.5053763440860215
66,RSC,expert,CA1-RSC,V1-RSC,18,0.696594427244582,1.0,0.5947277325137881,0.42857142857142855,0.26728110599078336
66,RSC,expert,RSC-SUB,V1-RSC,18,0.479876160990712,0.7069143446852425,-0.18078526651758067,0.25,0.08870967741935484
66,RSC,intermediate,CA1-RSC,RSC-SUB,18,0.5170278637770898,0.933952528379773,0.07571438434316806,0.1111111111111111,-0.05017921146953405
66,RSC,intermediate,CA1-RSC,V1-RSC,18,0.4447884416924664,1.0,0.1429047590651691,0.25,0.08870967741935484
66,RSC,intermediate,RSC-SUB,V1-RSC,18,0.23632610939112486,0.933952528379773,-0.21781699037622398,0.25,0.08870967741935484
66,RSC,naive,CA1-RSC,RSC-SUB,18,0.7997936016511867,0.9566563467492261,0.6730231376657021,0.6666666666666666,0.5053763440860215
66,RSC,naive,CA1-RSC,V1-RSC,18,0.6016511867905057,1.0,0.3915964242302487,0.42857142857142855,0.26728110599078336
66,RSC,naive,RSC-SUB,V1-RSC,18,0.7461300309597524,0.9566563467492261,0.4438226710735198,0.6666666666666666,0.5053763440860215
66,SUB,expert,CA1-SUB,RSC-SUB,13,0.39010989010989006,1.0,0.3618354102487674,0.14285714285714285,-0.038961038961038974
66,SUB,intermediate,CA1-SUB,RSC-SUB,13,0.010989010989010988,1.0,-0.10677201525887828,0.14285714285714285,-0.038961038961038974
66,SUB,naive,CA1-SUB,RSC-SUB,13,0.43956043956043955,1.0,0.4557078764809572,0.3333333333333333,0.1515151515151515
66,V1,expert,CA1-V1,V1-RSC,22,0.4025974025974026,0.7989836250705817,0.3427960671430686,0.3333333333333333,0.17543859649122803
66,V1,intermediate,CA1-V1,V1-RSC,22,0.8001129305477132,0.8543195934500282,0.7875031410335358,0.7142857142857143,0.556390977443609
66,V1,naive,CA1-V1,V1-RSC,22,0.3190287972896669,0.8430265386787127,0.2528558906565517,0.3333333333333333,0.17543859649122803
68,CA1,expert,CA1-CA3,CA1-DG,18,0.6119711042311662,0.7048503611971104,0.574784566561328,0.6666666666666666,0.5053763440860215
68,CA1,expert,CA1-CA3,CA1-RSC,18,0.2693498452012384,0.7048503611971104,0.09383878854774019,0.42857142857142855,0.26728110599078336
68,CA1,expert,CA1-DG,CA1-RSC,18,0.48813209494324045,1.0,0.5229645755219348,0.42857142857142855,0.26728110599078336
68,CA1,intermediate,CA1-CA3,CA1-DG,18,0.8493292053663571,0.7440660474716203,0.7988818211876108,0.6666666666666666,0.5053763440860215
68,CA1,intermediate,CA1-CA3,CA1-RSC,18,0.25902992776057787,0.7440660474716203,0.05493659119926818,0.25,0.08870967741935484
