animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
71,0,CA1-RSC,t1-7,7,19427,0.2112,11,0.144,0.0159,0,0.2671,0.5384,85.77,89.14,87.9,89.68,,,
71,0,CA1-RSC,t1-10,10,27314,-0.1627,7,0.1384,-0.0055,0,0.273,0.554,79.48,76.61,88.69,89.35,,,
71,0,CA1-RSC,late,10,27236,-0.3449,7,0.4565,0.0343,0,0.1599,0.4825,87.08,81.07,,,,,
71,0,CA1-CA3,t1-5,5,14277,-0.3086,12,1.4268,-0.027,0,0.2968,0.3508,89.19,70.94,81.99,86.3,,,
71,0,CA1-CA3,t1-7,7,19427,0.4582,13,0.7641,-0.0244,0,0.2686,0.3569,84.16,71.63,78.85,87.98,,,
71,0,CA1-CA3,t1-10,10,27314,0.5194,8,0.6612,-0.0325,0,0.274,0.3803,56.32,47.53,77.62,87.97,,,
71,0,CA1-CA3,late,10,27236,0.592,11,0.9945,0.03,0,0.1594,0.3754,56.91,47.44,,,,,
71,0,CA1-DG,t1-5,5,14277,0.3725,10,0.2982,0.0106,0,0.2953,0.5349,65.37,87.63,73.32,89.87,,,
71,0,CA1-DG,t1-7,7,19427,0.3833,11,0.2973,0.0252,0,0.2677,0.5541,85.71,75.38,87.4,89.14,,,
71,0,CA1-DG,t1-10,10,27314,0.3905,11,0.3177,0.0404,0,0.2738,0.5441,54.04,60.88,88.11,87.56,,,
71,0,CA1-DG,late,10,27236,0.1851,3,0.0332,0.0482,0,0.1588,0.4435,69.91,65.28,,,,,
71,0,CA1-V1,t1-5,5,14277,-0.0129,5,0.697,-0.0063,0,0.2958,0.3249,86.64,89.77,86.72,88.27,,,
71,0,CA1-V1,t1-7,7,19427,-0.1067,2,0.1419,0.0089,4,0.2679,0.321,78.25,88.31,89.75,87.23,,,
71,0,CA1-V1,t1-10,10,27314,-0.3162,8,0.3458,-0.0023,0,0.2736,0.3133,74.67,87.11,89.12,87.7,,,
71,0,CA1-V1,late,10,27236,0.4121,11,0.8016,-0.0477,0,0.1601,0.2902,87.63,85.96,,,,,
71,0,CA3-DG,t1-5,5,14277,0.4989,14,0.5863,0.022,0,0.3512,0.5369,41.85,57.83,73.49,77.1,,,
71,0,CA3-DG,t1-7,7,19427,0.485,13,0.4109,0.0147,0,0.3542,0.5503,30.26,42.6,67.61,72.97,,,
71,0,CA3-DG,t1-10,10,27314,0.502,13,0.3628,-0.0035,0,0.3778,0.5412,43.81,46.27,63.56,73.01,,,
71,0,CA3-DG,late,10,27236,0.5123,7,0.3497,-0.026,0,0.3698,0.452,38.97,42.43,,,,,
71,0,CA1-SUB,t1-5,5,14277,-0.5478,6,0.806,0.0023,0,0.2967,0.2061,87.13,75.43,75.2,87.68,,,
71,0,CA1-SUB,t1-7,7,19427,0.0952,7,0.1605,0.0192,0,0.2684,0.2027,71.65,74.28,85.74,86.14,,,
71,0,CA1-SUB,t1-10,10,27314,0.2376,9,0.3368,0.0225,0,0.2739,0.1804,88.8,84.34,88.89,86.36,,,
71,0,CA1-SUB,late,10,27236,0.4369,5,0.4288,0.0378,0,0.16,0.2157,75.77,68.82,,,,,
71,0,RSC-SUB,t1-5,5,14277,0.8205,8,0.9359,-0.0135,0,0.5474,0.1951,74.97,87.54,81.5,87.61,,,
71,0,RSC-SUB,t1-7,7,19427,0.3294,7,0.1254,0.0024,0,0.539,0.1877,62.35,66.27,82.88,88.49,,,
71,0,RSC-SUB,t1-10,10,27314,0.3557,11,0.2701,-0.0034,0,0.5517,0.1736,55.81,36.6,87.16,88.85,,,
