pair,dim,n_animals,mean_ifi,t,p,cc_peak,fdr_pass
CA1-SUB,17,5,0.11707477384405288,0.7737531533916473,0.48226365045652236,0.00862,False
CA1-SUB,18,5,0.0005021147196071412,0.012125348684998382,0.9909062670252269,0.007619999999999999,False
CA1-SUB,19,5,-0.023405434778172345,-0.13381690353863476,0.9000099855365028,0.00732,False
CA1-SUB,20,5,-0.23299240122550655,-2.1873558570378875,0.09396908145532036,0.00682,False
CA1-SUB,21,5,0.14898195351450033,0.9594044828396353,0.3916852328666886,0.0067,False
CA1-SUB,22,5,0.009895971242367851,0.16597127184862817,0.8762307811662406,0.00592,False
CA1-SUB,23,5,0.25503804257205387,1.5967545822887184,0.18555722445564898,0.0060999999999999995,False
CA1-SUB,24,4,0.3607242056224732,2.202716359000843,0.11488001762685822,0.006999999999999999,False
CA1-SUB,25,4,0.05230854122624989,0.37119271269721205,0.7351582080026884,0.0058000000000000005,False
CA1-SUB,26,3,0.31254384841889643,4.428054310623501,0.0474034153079194,0.0047666666666666664,False
CA1-V1,1,13,-0.005600909322326657,-1.4025577357970045,0.1860866316773139,0.12437692307692307,False
CA1-V1,2,13,-0.006949804521056452,-1.2724334148756,0.22732207748819616,0.09296153846153847,False
CA1-V1,3,13,0.018847344301068027,1.666332489782227,0.12151466086557859,0.06886923076923077,False
CA1-V1,4,13,-0.02411264132234849,-1.8298965673828955,0.09220388258415509,0.05752307692307691,False
CA1-V1,5,13,-0.01229096833551976,-0.46953738299927794,0.6471024904251772,0.0474,False
CA1-V1,6,13,-0.03494587094886839,-1.1873596932421198,0.2580582076368213,0.043853846153846146,False
CA1-V1,7,13,-0.02656129350266365,-0.9070404960504801,0.3822385597309387,0.0354,False
CA1-V1,8,13,-0.0359424013959492,-1.609851113639853,0.13340550034180848,0.029661538461538465,False
CA1-V1,9,13,0.04682615065468428,1.4178591801649858,0.18167329298298637,0.02473076923076923,False
CA1-V1,10,12,-0.013869201326521747,-0.45175342058369294,0.6602241189912438,0.02266666666666667,False
CA1-V1,11,12,0.05663080354718306,1.3276015983602194,0.21120245114879,0.019983333333333336,False
CA1-V1,12,12,0.0392651624738334,0.6829853052956164,0.5087452693604079,0.017775000000000003,False
CA1-V1,13,12,-0.07080405392655303,-1.2959886286016433,0.2215118178585692,0.015866666666666668,False
CA1-V1,14,12,-0.12154077142711452,-2.369443237698608,0.03718843117508474,0.014900000000000002,False
CA1-V1,15,12,-0.02911757480933322,-0.39651995935853096,0.6993055114260047,0.012699999999999998,False
CA1-V1,16,12,-0.01502380865344431,-0.2612935742248303,0.7986936945994332,0.011975,False
CA1-V1,17,12,0.054431627283064575,0.7806202899417226,0.45149791699176944,0.010266666666666667,False
CA1-V1,18,12,-0.09946343906793344,-1.3930711055365748,0.19111019307528443,0.010341666666666667,False
CA1-V1,19,12,0.10805872533589995,0.9474849769219077,0.363741996970925,0.009133333333333334,False
CA1-V1,20,11,-0.02165865962671495,-0.2813984332403215,0.7841417377444716,0.009118181818181819,False
CA1-V1,21,11,0.027693930743227305,0.2811851266422938,0.7843006946080439,0.008036363636363637,False
CA1-V1,22,11,-0.004437182367791842,-0.03871209374275723,0.9698818742818252,0.007572727272727273,False
CA1-V1,23,9,0.009674607245152086,0.06836590786320827,0.9471722325828198,0.008088888888888889,False
CA1-V1,24,8,0.21504085349491642,1.5445389409509385,0.1663715653236652,0.008125,False
CA1-V1,25,8,-0.020474019968596838,-0.17745573608707804,0.864176203268641,0.006750000000000001,False
CA1-V1,26,7,0.018864699503537953,0.11997022490929139,0.9084231017944364,0.006771428571428572,False
CA1-V1,27,7,0.01812591157599094,0.09111025185588958,0.9303706016388249,0.006699999999999999,False
CA1-V1,28,6,-0.2733660581387957,-1.4089396616924974,0.2179010904624441,0.006566666666666668,False
CA1-V1,29,6,0.027209190199424773,0.1619732752101484,0.8776689287216966,0.0061333333333333335,False
CA1-V1,30,5,0.23925423235519525,1.1317574325570614,0.32098697358789063,0.005200000000000001,False
CA3-DG,1,5,-0.02715648370711323,-0.9412102779295501,0.3998882332206492,0.43414,False
CA3-DG,2,5,-0.022614072220649324,-1.16610025298154,0.30836069845751457,0.33277999999999996,False
CA3-DG,3,5,-0.017682876484245404,-1.0095582981029778,0.36981693602612664,0.2263,False
CA3-DG,4,5,-0.060461059510397874,-2.5629757511164226,0.062441052499624936,0.15714,False
CA3-DG,5,5,-0.1270978223502784,-5.6678233097978605,0.0047789685981980135,0.10888,False
CA3-DG,6,5,-0.09056268163049659,-1.51359039417104,0.20468713476959235,0.07652,False
CA3-DG,7,5,-0.12741638009183445,-3.316384928550748,0.02947792324012335,0.05992000000000001,False
CA3-DG,8,5,-0.048449455644597836,-0.8445377979849483,0.4459210743364433,0.049640000000000004,False
CA3-DG,9,5,-0.12873797034498596,-2.729236656002241,0.052484259872843116,0.03762,False
CA3-DG,10,5,-0.1679287329887181,-1.3159777426371257,0.25853140402120417,0.028239999999999998,False
CA3-DG,11,5,-0.0826020087017875,-0.5996476665738444,0.5810542175451086,0.02708,False
CA3-DG,12,5,-0.02409346874072061,-0.33139189095331045,0.756983344354347,0.020239999999999998,False
CA3-DG,13,4,-0.2366294196398503,-1.7913088849623622,0.17116407914805148,0.01825,False
CA3-DG,14,3,-0.042467437450999436,-0.5321034307212436,0.6478478433267383,0.019133333333333332,False
CA3-DG,15,3,-0.1538695679536801,-3.7144277330181743,0.0654447747581493,0.023799999999999998,False
CA3-DG,16,3,-0.17522470361180043,-2.2630224424542047,0.15197214580393403,0.01526666666666667,False
CA3-DG,17,3,0.022993470237452397,0.1310526210189071,0.9077271477571065,0.014033333333333333,False
CA3-DG,18,3,0.188783017914132,0.7715229283244701,0.5210839017801296,0.0143,False
CA3-DG,19,3,-0.2569840163837665,-1.7314773692233254,0.22550594110040612,0.011233333333333333,False
CA3-DG,20,3,0.06392038724636222,0.39556138648631745,0.7306342960586686,0.009233333333333335,False
CA3-DG,21,3,0.04618529145866903,0.18613037013916273,0.8695112803028047,0.010333333333333333,False
CA3-DG,22,3,0.24577891190955647,3.5346447560635412,0.07155552679083263,0.008766666666666667,False
CA3-DG,23,3,-0.2780746310297832,-1.6903263649853648,0.233031675142679,0.007166666666666666,False
CA3-DG,24,3,0.371229234441945,1.1486697515297217,0.36953260828791734,0.007166666666666666,False
CA3-DG,25,3,-0.11803228817946754,-0.4998555021662046,0.6667522991368131,0.005733333333333333,False
RSC-SUB,1,7,0.0006215946933506003,0.04714438278456278,0.9639281874823789,0.1486,False
RSC-SUB,2,7,-0.0021524544880171365,-0.15715966178149257,0.8802742563224739,0.12592857142857142,False
RSC-SUB,3,7,0.004151960930900365,0.3041659550995232,0.7712744270704535,0.0863,False
RSC-SUB,4,7,-0.06144754553295706,-1.609779821222829,0.1585714013332503,0.06937142857142857,False
RSC-SUB,5,7,-0.05857851465087142,-0.953517600415105,0.37714615748734714,0.05397142857142857,False
RSC-SUB,6,7,0.010524065731222861,0.3284237573788731,0.7537505151070761,0.04158571428571428,False
RSC-SUB,7,6,0.06713100409808022,1.5279326304148435,0.18706698029361032,0.0443,False
RSC-SUB,8,6,-0.03998756920560544,-1.3786925606444809,0.22647908494124755,0.035350000000000006,False
RSC-SUB,9,6,-0.015202250246154287,-0.3163113667314561,0.7645449677843634,0.02996666666666667,False
RSC-SUB,10,6,-0.03558563905138906,-0.9093240073043023,0.4048789602127769,0.026216666666666666,False
RSC-SUB,11,6,-0.0982936099141094,-3.226303165689788,0.02330149898990378,0.022083333333333333,False
RSC-SUB,12,6,0.014346902636364836,0.3117920562096637,0.7677807969060146,0.018666666666666668,False
RSC-SUB,13,6,-0.07873218334554676,-1.0296094177429547,0.3504002247786517,0.018333333333333333,False
RSC-SUB,14,5,-0.04266326919066472,-0.7865147911499512,0.47554638130151633,0.01764,False
RSC-SUB,15,5,0.01617372976272773,0.24894227457319212,0.8156652693941863,0.0174,False
RSC-SUB,16,5,0.01875902952294587,0.24914447662383132,0.8155193406122728,0.016300000000000002,False
RSC-SUB,17,5,-0.06430993157856954,-0.4228520390813733,0.6941455111990639,0.01394,False
RSC-SUB,18,5,-0.008808244752718037,-0.3379717340369147,0.7523777032099106,0.01258,False
RSC-SUB,19,5,0.13460794257458208,0.8150431748726158,0.4607926731571396,0.01048,False
RSC-SUB,20,5,-0.15080253719161754,-1.3350404798221065,0.25277810104348625,0.010280000000000001,False
RSC-SUB,21,5,-0.0007273667480335033,-0.0077619082892180285,0.9941786418496494,0.009,False
RSC-SUB,22,5,-0.007821034711489705,-0.061763490014338486,0.953714159874536,0.009660000000000002,False
RSC-SUB,23,5,-0.08355163519203093,-0.5701673485229404,0.599062883099168,0.00826,False
RSC-SUB,24,5,0.18005741251328944,1.1727264431912143,0.30597815951086665,0.00812,False
