animal,learner,pair,dim,bin_ms,lag_bins,lag_ms,cos_same_x,cos_best_x,best_dim_x,cos_same_y,cos_best_y,best_dim_y,cos_split_x,cos_split_y,split_best_x,split_best_y,r_lag,sig,p_perdim,r_zero,n_pairs
28,1,CA1-CA3,3,10,-13,-130,0.53649,0.70969,4,0.05743,0.37585,12,0.12934,0.31732,0.23707,0.49787,0.08718,1,0.00498,0.10519,11740
28,1,CA1-CA3,4,10,-13,-130,0.26806,0.54309,2,0.14783,0.38637,13,0.12217,0.07282,0.34186,0.83086,0.07121,1,0.00995,0.08405,11740
28,1,CA1-CA3,5,10,-13,-130,0.56201,0.62927,4,0.20609,0.94128,13,0.0048,0.36181,0.34672,0.79334,0.06127,0,0.02985,0.06761,11740
28,1,CA1-CA3,6,10,-13,-130,0.11916,0.48832,5,0.07424,0.49081,11,0.21236,0.10323,0.37508,0.82414,0.05975,0,0.16915,0.05625,11740
28,1,CA1-CA3,7,10,-13,-130,0.36879,0.6323,9,0.22105,0.67153,12,0.00326,0.22893,0.23386,0.86461,0.05349,0,0.25373,0.04767,11740
28,1,CA1-CA3,8,10,-13,-130,0.02252,0.3154,2,0.11031,0.63769,13,0.08081,0.05792,0.20542,0.61971,0.04403,0,0.90547,0.03979,11740
28,1,CA1-CA3,9,10,-13,-130,0.04181,0.66977,1,0.0223,0.61707,11,0.1705,0.16663,0.34815,0.91956,0.03497,0,0.73134,0.03401,11740
28,1,CA1-CA3,10,10,-13,-130,0.37994,0.7016,3,0.04845,0.93446,13,0.09918,0.20335,0.27486,0.87434,0.0301,0,0.86567,0.02964,11740
28,1,CA1-CA3,1,10,-12,-120,0.47498,0.47498,1,0.1583,0.42568,13,0.12107,0.6072,0.12107,0.94203,0.1601,1,0.01493,0.26442,11760
28,1,CA1-CA3,2,10,-12,-120,0.09117,0.44604,9,0.04034,0.7734,13,0.00694,0.01329,0.33805,0.62891,0.1002,1,0.00498,0.17811,11760
28,1,CA1-CA3,3,10,-12,-120,0.59899,0.59899,3,0.10306,0.53231,13,0.089,0.28688,0.25025,0.70434,0.07906,1,0.00498,0.10519,11760
28,1,CA1-CA3,4,10,-12,-120,0.09132,0.4854,3,0.00661,0.38051,9,0.00011,0.05113,0.24048,0.83064,0.06898,1,0.00995,0.08405,11760
28,1,CA1-CA3,5,10,-12,-120,0.52684,0.62749,4,0.18974,0.72128,13,0.00069,0.08347,0.11176,0.72399,0.06711,0,0.02985,0.06761,11760
28,1,CA1-CA3,6,10,-12,-120,0.13745,0.47287,8,0.04087,0.33188,13,0.08034,0.17577,0.25796,0.77501,0.06468,0,0.16915,0.05625,11760
28,1,CA1-CA3,7,10,-12,-120,0.14919,0.53335,4,0.01582,0.89013,13,0.26002,0.17585,0.29783,0.81384,0.05691,0,0.25373,0.04767,11760
28,1,CA1-CA3,8,10,-12,-120,0.57734,0.57734,8,0.00653,0.67154,13,0.06773,0.07247,0.26647,0.56567,0.0431,0,0.90547,0.03979,11760
28,1,CA1-CA3,9,10,-12,-120,0.4468,0.74896,11,0.27723,0.56193,13,0.22088,0.19253,0.33601,0.76184,0.03327,0,0.73134,0.03401,11760
28,1,CA1-CA3,10,10,-12,-120,0.36511,0.65072,3,0.06135,0.93085,13,0.20246,0.10876,0.33427,0.77281,0.02817,0,0.86567,0.02964,11760
28,1,CA1-CA3,1,10,-11,-110,0.03353,0.45749,3,0.07084,0.37854,5,0.00046,0.09768,0.25951,0.85026,0.15036,1,0.01493,0.26442,11780
28,1,CA1-CA3,2,10,-11,-110,0.15417,0.66145,1,0.06285,0.6457,12,0.00794,0.03117,0.42947,0.76863,0.09651,1,0.00498,0.17811,11780
28,1,CA1-CA3,3,10,-11,-110,0.33587,0.51263,2,0.0477,0.52307,12,0.05551,0.19913,0.46247,0.78966,0.09003,1,0.00498,0.10519,11780
28,1,CA1-CA3,4,10,-11,-110,0.68592,0.68592,4,0.07624,0.62393,13,0.00187,0.13378,0.27453,0.77775,0.07853,1,0.00995,0.08405,11780
28,1,CA1-CA3,5,10,-11,-110,0.1524,0.43815,9,0.4999,0.5961,8,0.0877,0.28019,0.12291,0.80138,0.07369,0,0.02985,0.06761,11780
28,1,CA1-CA3,6,10,-11,-110,0.32168,0.58224,2,0.38154,0.56939,12,0.00211,0.68955,0.32275,0.7615,0.06302,0,0.16915,0.05625,11780
28,1,CA1-CA3,7,10,-11,-110,0.32094,0.66243,3,0.05183,0.92928,12,0.0162,0.15287,0.38966,0.9556,0.05567,0,0.25373,0.04767,11780
28,1,CA1-CA3,8,10,-11,-110,0.01966,0.55591,12,0.35699,0.74478,12,0.0019,0.22199,0.41152,0.79352,0.05012,0,0.90547,0.03979,11780
28,1,CA1-CA3,9,10,-11,-110,0.18635,0.81534,11,0.27309,0.65762,12,0.21937,0.50419,0.31946,0.91218,0.04392,0,0.73134,0.03401,11780
28,1,CA1-CA3,10,10,-11,-110,0.31955,0.61592,11,0.03193,0.80845,12,0.15146,0.13937,0.23668,0.85796,0.03836,0,0.86567,0.02964,11780
28,1,CA1-CA3,1,10,-10,-100,0.09288,0.63088,2,0.03784,0.43556,11,0.09796,0.68734,0.12881,0.99275,0.14865,1,0.01493,0.26442,11800
28,1,CA1-CA3,2,10,-10,-100,0.39334,0.67293,1,0.04579,0.75053,11,0.02619,0.0542,0.27965,0.47268,0.10602,1,0.00498,0.17811,11800
28,1,CA1-CA3,3,10,-10,-100,0.53314,0.63439,11,0.1829,0.41549,11,0.02254,0.30892,0.21872,0.63994,0.0891,1,0.00498,0.10519,11800
28,1,CA1-CA3,4,10,-10,-100,0.48986,0.48986,4,0.08391,0.50999,12,0.04782,0.11615,0.15106,0.71445,0.07928,1,0.00995,0.08405,11800
28,1,CA1-CA3,5,10,-10,-100,0.17753,0.60078,3,0.10286,0.6855,13,0.04891,0.05756,0.09353,0.63283,0.06831,0,0.02985,0.06761,11800
28,1,CA1-CA3,6,10,-10,-100,0.06396,0.41864,11,0.27088,0.89869,13,0.02512,0.11211,0.13265,0.67219,0.05531,0,0.16915,0.05625,11800
28,1,CA1-CA3,7,10,-10,-100,0.20359,0.58712,10,0.07481,0.79053,11,0.02632,0.28445,0.27214,0.64556,0.04691,0,0.25373,0.04767,11800
