pair,dim,n_animals,mean_ifi,t,p,cc_peak,fdr_pass
CA3-DG,22,3,-0.2926829703786205,-2.9477300852569512,0.09839380555161513,0.027833333333333335,False
CA3-DG,23,3,-0.03113100094038797,-0.08600349536154481,0.9392984878551146,0.0237,False
RSC-SUB,1,7,0.07795289204433774,0.711202316660444,0.5036560979505447,0.13131428571428572,False
RSC-SUB,2,7,-0.038120667098455345,-0.42085025956757177,0.6885223848294457,0.08094285714285714,False
RSC-SUB,3,7,-0.0608880539486798,-0.6730080797385173,0.5260002116971484,0.05642857142857143,False
RSC-SUB,4,7,-0.06970947747512518,-0.980829637891723,0.36455527126467485,0.042814285714285714,False
RSC-SUB,5,7,0.0998752475566627,0.8974449031345899,0.40405230709322093,0.036585714285714284,False
RSC-SUB,6,7,0.14392365777085153,1.1259747325356002,0.303187734835131,0.030342857142857144,False
RSC-SUB,7,6,0.09303291562052629,0.3845609728694568,0.7163756351494774,0.03141666666666667,False
RSC-SUB,8,6,0.0908839629950986,1.12020682707505,0.3135290024079872,0.0261,False
RSC-SUB,9,6,-0.023521761886249493,-0.17662647636809284,0.8667332812843035,0.025683333333333336,False
RSC-SUB,10,6,-0.20181407262132497,-0.9284529653621999,0.39578493316976254,0.02891666666666667,False
RSC-SUB,11,6,-0.12757757777298243,-0.5711477680780307,0.592612364227262,0.03490000000000001,False
RSC-SUB,12,6,-0.2971772683734569,-3.589293020761167,0.015719788452708352,0.025900000000000003,False
RSC-SUB,13,6,0.09318826293450233,0.6021378972364015,0.5733436862072281,0.026966666666666667,False
RSC-SUB,14,5,-0.032436754035005164,-0.14317699759632388,0.8930734034972247,0.02388,False
RSC-SUB,15,5,0.050638755663435196,1.0806188967514392,0.340668231671679,0.02454,False
RSC-SUB,16,5,-0.2080173389143371,-1.806885016516636,0.14507180692944213,0.024560000000000002,False
RSC-SUB,17,5,0.2947364233839343,1.5777314962468876,0.18976440957481147,0.02902,False
RSC-SUB,18,5,0.03687907801529684,0.26194255172063463,0.8063016846179818,0.02484,False
RSC-SUB,19,5,0.07658581863273536,0.3343631145970216,0.7549020735413294,0.023300000000000005,False
RSC-SUB,20,5,0.013209953260017554,0.15771837072451,0.8823202547099568,0.02228,False
RSC-SUB,21,5,-0.3190841501711315,-1.5306090808636272,0.2006142408398318,0.0247,False
RSC-SUB,22,5,-0.12976981876617194,-0.974388621625673,0.38503784665100627,0.023740000000000004,False
RSC-SUB,23,5,-0.1371031729311717,-0.4152854241728003,0.6992424561027142,0.027239999999999997,False
RSC-SUB,24,5,0.08189464851570989,0.31385622854045503,0.7693168527939649,0.019020000000000002,False
RSC-SUB,25,5,-0.23161780237321353,-1.3173620314975008,0.25810935216858566,0.02262,False
RSC-SUB,26,5,0.2666816699437472,0.9528793076470098,0.39461052988149914,0.028000000000000004,False
RSC-SUB,27,5,-0.18820517316612306,-0.8265039043962537,0.45496790556170835,0.02176,False
RSC-SUB,28,4,-0.43588080088105036,-3.8749205515219023,0.030426767680665795,0.0223,False
RSC-SUB,29,4,-0.42857469936385606,-1.420630411132533,0.25052350623485203,0.02765,False
RSC-SUB,30,4,-0.04573987650205564,-0.1272678788811242,0.9067798323108078,0.022925,False
V1-RSC,1,9,0.13898587120782585,2.2203232192579163,0.05715328290228047,0.3121222222222222,False
V1-RSC,2,9,0.12556409147859077,2.58826798775257,0.032199695658213415,0.1952111111111111,False
V1-RSC,3,9,0.12536333513290282,2.045371065520497,0.07504556242599383,0.09987777777777777,False
V1-RSC,4,9,0.02116904151878925,0.17786939357313578,0.8632469004296317,0.07847777777777779,False
V1-RSC,5,9,0.06256685593172415,0.6830385113956688,0.5138729662512176,0.06283333333333334,False
V1-RSC,6,9,-0.03174827930116163,-0.3799036420618049,0.713904077724282,0.04644444444444445,False
V1-RSC,7,9,0.12335404040384608,1.2722907446693543,0.23900233858573489,0.0403111111111111,False
V1-RSC,8,8,0.07313113630832185,0.834778371633323,0.43140656011548184,0.0385125,False
