animal,learner,pair,center_trial,trial_frac,performance,lp_rel,dim,cc,ifi,lag,sig
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,10,-0.1428,-0.0076,9,0
28,1,CA1-CA3,93.0,0.6765,0.9833,24.0,11,-0.1696,0.0178,9,0
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,0,0.3109,0.0257,0,1
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,1,0.0924,0.0992,10,0
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,2,0.1095,0.0217,0,0
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,3,0.0615,0.0085,1,0
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,4,0.1045,-0.0163,0,0
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,5,0.0359,-0.019,-1,0
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,6,0.0214,-0.0218,-1,0
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,7,0.0155,-0.0001,-1,0
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,8,0.0405,-0.0041,-1,0
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,9,0.0002,0.0031,-1,0
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,10,-0.0026,-0.0319,-1,0
28,1,CA1-CA3,98.0,0.7132,1.0,29.0,11,0.0027,-0.0632,-1,0
28,1,CA1-CA3,103.0,0.75,0.9333,34.0,0,-0.0601,-0.005,0,0
28,1,CA1-CA3,103.0,0.75,0.9333,34.0,1,-0.155,0.0215,0,0
28,1,CA1-CA3,103.0,0.75,0.9333,34.0,2,-0.0606,0.0147,0,0
28,1,CA1-CA3,103.0,0.75,0.9333,34.0,3,-0.105,-0.0026,-1,0
28,1,CA1-CA3,103.0,0.75,0.9333,34.0,4,-0.1199,-0.0031,0,0
28,1,CA1-CA3,103.0,0.75,0.9333,34.0,5,0.1594,-0.0143,0,0
28,1,CA1-CA3,103.0,0.75,0.9333,34.0,6,0.1879,0.0053,0,1
28,1,CA1-CA3,103.0,0.75,0.9333,34.0,7,-0.1109,0.0037,0,0
28,1,CA1-CA3,103.0,0.75,0.9333,34.0,8,-0.1631,-0.0084,0,0
28,1,CA1-CA3,103.0,0.75,0.9333,34.0,9,0.0047,0.0312,5,0
28,1,CA1-CA3,103.0,0.75,0.9333,34.0,10,-0.1844,0.0107,5,0
28,1,CA1-CA3,103.0,0.75,0.9333,34.0,11,-0.002,0.0258,8,0
28,1,CA1-CA3,108.0,0.7868,0.8565,39.0,0,0.0749,-0.0126,-1,0
28,1,CA1-CA3,108.0,0.7868,0.8565,39.0,1,0.1498,-0.0392,0,0
28,1,CA1-CA3,108.0,0.7868,0.8565,39.0,2,0.1461,-0.0437,0,0
28,1,CA1-CA3,108.0,0.7868,0.8565,39.0,3,0.0408,-0.0438,-1,0
28,1,CA1-CA3,108.0,0.7868,0.8565,39.0,4,0.0074,-0.0056,-1,0
28,1,CA1-CA3,108.0,0.7868,0.8565,39.0,5,0.0357,-0.0364,-1,0
28,1,CA1-CA3,108.0,0.7868,0.8565,39.0,6,0.058,-0.0491,-1,0
28,1,CA1-CA3,108.0,0.7868,0.8565,39.0,7,0.0043,-0.0367,-7,0
28,1,CA1-CA3,108.0,0.7868,0.8565,39.0,8,-0.0032,-0.0594,-7,0
28,1,CA1-CA3,108.0,0.7868,0.8565,39.0,9,-0.0046,-0.0735,-7,0
28,1,CA1-CA3,108.0,0.7868,0.8565,39.0,10,0.0174,-0.0707,-7,0
28,1,CA1-CA3,108.0,0.7868,0.8565,39.0,11,0.0006,-0.1199,-7,0
28,1,CA1-CA3,113.0,0.8235,0.7989,44.0,0,0.1143,-0.0143,-1,0
28,1,CA1-CA3,113.0,0.8235,0.7989,44.0,1,0.1521,-0.0508,0,1
28,1,CA1-CA3,113.0,0.8235,0.7989,44.0,2,0.0787,-0.051,0,0
28,1,CA1-CA3,113.0,0.8235,0.7989,44.0,3,0.0258,-0.0499,-1,0
28,1,CA1-CA3,113.0,0.8235,0.7989,44.0,4,0.0408,-0.0279,-1,0
28,1,CA1-CA3,113.0,0.8235,0.7989,44.0,5,0.0328,-0.0162,0,0
28,1,CA1-CA3,113.0,0.8235,0.7989,44.0,6,0.0163,-0.0256,-1,0
28,1,CA1-CA3,113.0,0.8235,0.7989,44.0,7,0.0226,-0.0273,-8,0
28,1,CA1-CA3,113.0,0.8235,0.7989,44.0,8,0.013,0.0162,5,0
28,1,CA1-CA3,113.0,0.8235,0.7989,44.0,9,0.0327,-0.0017,5,0
28,1,CA1-CA3,113.0,0.8235,0.7989,44.0,10,0.0099,0.0152,5,0
28,1,CA1-CA3,113.0,0.8235,0.7989,44.0,11,0.0102,-0.002,5,0
28,1,CA1-CA3,118.0,0.8603,0.7434,49.0,0,0.1713,-0.0368,-7,1
28,1,CA1-CA3,118.0,0.8603,0.7434,49.0,1,0.1313,-0.0159,0,0
28,1,CA1-CA3,118.0,0.8603,0.7434,49.0,2,0.0635,-0.0285,0,0
28,1,CA1-CA3,118.0,0.8603,0.7434,49.0,3,0.1004,-0.0197,0,0
28,1,CA1-CA3,118.0,0.8603,0.7434,49.0,4,0.045,-0.0031,0,0
28,1,CA1-CA3,118.0,0.8603,0.7434,49.0,5,0.0074,-0.0122,0,0
28,1,CA1-CA3,118.0,0.8603,0.7434,49.0,6,0.0015,-0.0116,0,0
28,1,CA1-CA3,118.0,0.8603,0.7434,49.0,7,0.0031,-0.0111,-6,0
28,1,CA1-CA3,118.0,0.8603,0.7434,49.0,8,-0.0037,-0.0206,-1,0
28,1,CA1-CA3,118.0,0.8603,0.7434,49.0,9,-0.0007,-0.0132,-1,0
28,1,CA1-CA3,118.0,0.8603,0.7434,49.0,10,-0.0184,0.0168,-1,0
28,1,CA1-CA3,118.0,0.8603,0.7434,49.0,11,-0.0224,0.0026,3,0
28,1,CA1-CA3,123.0,0.8971,0.7314,54.0,0,-0.0758,-0.0245,0,0
28,1,CA1-CA3,123.0,0.8971,0.7314,54.0,1,0.229,0.0074,0,1
28,1,CA1-CA3,123.0,0.8971,0.7314,54.0,2,0.2609,-0.0051,0,1
28,1,CA1-CA3,123.0,0.8971,0.7314,54.0,3,0.2321,-0.0105,0,1
28,1,CA1-CA3,123.0,0.8971,0.7314,54.0,4,0.2061,-0.0009,0,1
28,1,CA1-CA3,123.0,0.8971,0.7314,54.0,5,-0.1296,-0.0073,0,0
28,1,CA1-CA3,123.0,0.8971,0.7314,54.0,6,-0.0295,-0.0104,5,0
28,1,CA1-CA3,123.0,0.8971,0.7314,54.0,7,-0.1556,-0.0062,5,0
28,1,CA1-CA3,123.0,0.8971,0.7314,54.0,8,0.2426,-0.0128,6,1
28,1,CA1-CA3,123.0,0.8971,0.7314,54.0,9,-0.1566,-0.0108,-5,0
28,1,CA1-CA3,123.0,0.8971,0.7314,54.0,10,-0.2148,0.0337,6,0
28,1,CA1-CA3,123.0,0.8971,0.7314,54.0,11,0.1984,0.0677,6,1
28,1,CA1-CA3,128.0,0.9338,0.6867,59.0,0,0.0683,0.0185,2,0
28,1,CA1-CA3,128.0,0.9338,0.6867,59.0,1,0.0695,-0.0203,0,0
28,1,CA1-CA3,128.0,0.9338,0.6867,59.0,2,0.1489,-0.0211,0,0
28,1,CA1-CA3,128.0,0.9338,0.6867,59.0,3,0.0972,-0.0186,0,0
28,1,CA1-CA3,128.0,0.9338,0.6867,59.0,4,0.0309,-0.0102,0,0
28,1,CA1-CA3,128.0,0.9338,0.6867,59.0,5,0.0482,-0.0269,0,0
28,1,CA1-CA3,128.0,0.9338,0.6867,59.0,6,-0.0027,-0.0201,-1,0
28,1,CA1-CA3,128.0,0.9338,0.6867,59.0,7,0.0155,-0.0437,-1,0
28,1,CA1-CA3,128.0,0.9338,0.6867,59.0,8,-0.0203,-0.0273,-1,0
28,1,CA1-CA3,128.0,0.9338,0.6867,59.0,9,-0.0,0.0085,-1,0
28,1,CA1-CA3,128.0,0.9338,0.6867,59.0,10,0.0147,-0.0184,-1,0
28,1,CA1-CA3,128.0,0.9338,0.6867,59.0,11,-0.0126,-0.0583,-1,0
28,1,CA1-DG,8.0,0.0515,0.0162,-61.0,0,0.2307,0.001,1,1
28,1,CA1-DG,8.0,0.0515,0.0162,-61.0,1,0.1775,-0.0234,0,1
28,1,CA1-DG,8.0,0.0515,0.0162,-61.0,2,0.0691,-0.0736,-1,0
