animal,learner,pair,bin,trial_lo,trial_hi,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
68,1,CA3-DG,6,26,30,8000,0.3448,2,0.0989,0.0138,0,0.1087,0.1636
70,0,CA1-RSC,1,1,5,8000,0.0175,4,0.3299,-0.0013,3,0.3736,0.4838
70,0,CA1-RSC,2,6,10,8000,0.0033,8,0.4466,0.0095,-2,0.3428,0.3728
70,0,CA1-RSC,3,11,15,8000,-0.3869,9,0.7631,0.0393,0,0.3058,0.381
70,0,CA1-RSC,4,16,20,8000,0.4586,14,1.3788,0.0029,0,0.3425,0.4026
70,0,CA1-RSC,5,21,25,8000,0.3856,11,1.5718,0.0653,1,0.3329,0.3836
70,0,CA1-RSC,6,26,30,8000,0.32,9,0.768,0.0086,3,0.3567,0.4111
70,0,CA1-DG,1,1,5,8000,0.0814,7,0.5532,-0.1554,-1,0.3734,0.3643
70,0,CA1-DG,2,6,10,8000,0.2726,7,0.3928,-0.079,0,0.3441,0.3483
70,0,CA1-DG,3,11,15,8000,0.4916,6,0.403,-0.0836,0,0.3032,0.3105
70,0,CA1-DG,4,16,20,8000,0.6303,9,0.7939,-0.0831,0,0.3402,0.2819
70,0,CA1-DG,5,21,25,8000,0.0438,5,0.6179,-0.022,0,0.3314,0.3174
70,0,CA1-DG,6,26,30,8000,0.4127,18,2.6179,-0.0369,0,0.3554,0.2894
70,0,CA1-V1,1,1,5,8000,0.2831,15,1.9626,0.0079,0,0.373,0.3222
70,0,CA1-V1,2,6,10,8000,0.1412,7,0.2208,0.0034,0,0.3429,0.2829
70,0,CA1-V1,3,11,15,8000,0.2743,10,0.3801,0.0111,0,0.3013,0.2557
70,0,CA1-V1,4,16,20,8000,0.8634,7,1.6198,-0.0155,0,0.3413,0.2812
70,0,CA1-V1,5,21,25,8000,0.8223,12,1.7274,-0.0202,0,0.335,0.296
70,0,CA1-V1,6,26,30,8000,0.5132,13,1.3171,0.0125,0,0.3554,0.3247
70,0,CA1-SUB,1,1,5,8000,0.2241,13,0.8347,-0.0247,0,0.3736,0.4172
70,0,CA1-SUB,2,6,10,8000,0.3253,4,0.1509,-0.0056,0,0.3434,0.3047
70,0,CA1-SUB,3,11,15,8000,0.6573,13,0.7946,0.1804,2,0.303,0.3421
70,0,CA1-SUB,4,16,20,8000,-0.2923,8,0.7737,-0.003,0,0.3414,0.3238
70,0,CA1-SUB,5,21,25,8000,0.2599,4,0.1179,-0.0081,0,0.3324,0.3001
70,0,CA1-SUB,6,26,30,8000,0.5438,7,0.4739,-0.0345,-1,0.354,0.3368
70,0,RSC-SUB,1,1,5,8000,0.2784,7,0.6697,0.1158,3,0.4837,0.4171
70,0,RSC-SUB,2,6,10,8000,0.3115,7,0.5252,0.0449,0,0.3715,0.2997
70,0,RSC-SUB,3,11,15,8000,0.2098,11,0.5226,-0.0459,-5,0.3813,0.3406
70,0,RSC-SUB,4,16,20,8000,-0.0821,10,0.8824,0.0586,0,0.4016,0.3234
70,0,RSC-SUB,5,21,25,8000,0.0039,5,0.1476,0.0205,0,0.385,0.3002
70,0,RSC-SUB,6,26,30,8000,0.0729,2,0.0739,0.1829,2,0.4132,0.337
70,0,V1-RSC,1,1,5,8000,-0.0645,10,0.7318,0.0438,0,0.3238,0.4771
