animal,learner,pair,dim,ordinal,trial_id,matched,r0,sig,p_perdim,r_frozen,n_bins,n_gaps,vel_mean,vel_median,n_fit_trials
28,1,CA1-DG,6,1,1,0,0.00048,1,0.00498,0.02813,2626,3,19.131,19.779,127
28,1,CA1-DG,7,1,1,0,0.01263,1,0.00498,0.02472,2626,3,19.131,19.779,127
28,1,CA1-DG,8,1,1,0,-0.00862,1,0.00498,0.0234,2626,3,19.131,19.779,127
28,1,CA1-DG,9,1,1,0,-0.02581,1,0.00498,0.01869,2626,3,19.131,19.779,127
28,1,CA1-DG,10,1,1,0,-0.01117,1,0.00498,0.01171,2626,3,19.131,19.779,127
28,1,CA1-DG,1,1,1,1,0.19246,1,0.00498,0.19743,2626,3,19.131,19.779,127
28,1,CA1-DG,2,1,1,1,0.10098,1,0.00498,0.12473,2626,3,19.131,19.779,127
28,1,CA1-DG,3,1,1,1,0.02398,1,0.00498,0.05848,2626,3,19.131,19.779,127
28,1,CA1-DG,4,1,1,1,-0.01372,1,0.00498,0.04447,2626,3,19.131,19.779,127
28,1,CA1-DG,5,1,1,1,-0.00049,1,0.00498,0.03646,2626,3,19.131,19.779,127
28,1,CA1-DG,6,1,1,1,0.00048,1,0.00498,0.02813,2626,3,19.131,19.779,127
28,1,CA1-DG,7,1,1,1,0.01263,1,0.00498,0.02472,2626,3,19.131,19.779,127
28,1,CA1-DG,8,1,1,1,-0.00862,1,0.00498,0.0234,2626,3,19.131,19.779,127
28,1,CA1-DG,9,1,1,1,-0.02581,1,0.00498,0.01869,2626,3,19.131,19.779,127
28,1,CA1-DG,10,1,1,1,-0.01117,1,0.00498,0.01171,2626,3,19.131,19.779,127
28,1,CA1-DG,1,1,1,2,0.18976,1,0.00498,0.19743,2612,3,19.1,19.722,127
28,1,CA1-DG,2,1,1,2,0.10094,1,0.00498,0.12473,2612,3,19.1,19.722,127
28,1,CA1-DG,3,1,1,2,0.02185,1,0.00498,0.05848,2612,3,19.1,19.722,127
28,1,CA1-DG,4,1,1,2,-0.01242,1,0.00498,0.04447,2612,3,19.1,19.722,127
28,1,CA1-DG,5,1,1,2,-0.00099,1,0.00498,0.03646,2612,3,19.1,19.722,127
28,1,CA1-DG,6,1,1,2,0.00055,1,0.00498,0.02813,2612,3,19.1,19.722,127
28,1,CA1-DG,7,1,1,2,0.01136,1,0.00498,0.02472,2612,3,19.1,19.722,127
28,1,CA1-DG,8,1,1,2,-0.00816,1,0.00498,0.0234,2612,3,19.1,19.722,127
28,1,CA1-DG,9,1,1,2,-0.01948,1,0.00498,0.01869,2612,3,19.1,19.722,127
28,1,CA1-DG,10,1,1,2,-0.00856,1,0.00498,0.01171,2612,3,19.1,19.722,127
28,1,CA1-DG,1,2,2,0,0.13678,1,0.00498,0.19743,2822,0,22.195,23.81,127
28,1,CA1-DG,2,2,2,0,0.11581,1,0.00498,0.12473,2822,0,22.195,23.81,127
28,1,CA1-DG,3,2,2,0,0.01051,1,0.00498,0.05848,2822,0,22.195,23.81,127
28,1,CA1-DG,4,2,2,0,-0.0015,1,0.00498,0.04447,2822,0,22.195,23.81,127
28,1,CA1-DG,5,2,2,0,0.01365,1,0.00498,0.03646,2822,0,22.195,23.81,127
28,1,CA1-DG,6,2,2,0,0.02596,1,0.00498,0.02813,2822,0,22.195,23.81,127
28,1,CA1-DG,7,2,2,0,-0.00967,1,0.00498,0.02472,2822,0,22.195,23.81,127
28,1,CA1-DG,8,2,2,0,-0.05502,1,0.00498,0.0234,2822,0,22.195,23.81,127
28,1,CA1-DG,9,2,2,0,0.03636,1,0.00498,0.01869,2822,0,22.195,23.81,127
28,1,CA1-DG,10,2,2,0,-0.00467,1,0.00498,0.01171,2822,0,22.195,23.81,127
28,1,CA1-DG,1,2,2,1,0.12577,1,0.00498,0.19743,2626,0,22.102,23.822,127
28,1,CA1-DG,2,2,2,1,0.1129,1,0.00498,0.12473,2626,0,22.102,23.822,127
