family,metric,cell,contrast,n,med_delta,t_p,w_p
pair,rho_contrib_conn_tune_ratepart,CA1-V1 V1,intermediate-naive,10,0.154,0.1116,0.13086
pair,rho_contrib_conn_tune_ratepart,CA1-V1 V1,expert-intermediate,10,-0.0143,0.29792,0.49219
pair,rho_contrib_conn_tune_ratepart,CA3-DG CA3,expert-naive,4,-0.0649,0.37412,0.375
pair,rho_contrib_conn_tune_ratepart,CA3-DG CA3,intermediate-naive,4,-0.2692,0.25084,0.25
pair,rho_contrib_conn_tune_ratepart,CA3-DG CA3,expert-intermediate,4,0.2043,0.18681,0.25
pair,rho_contrib_conn_tune_ratepart,CA3-DG DG,expert-naive,4,-0.2146,0.70625,0.875
pair,rho_contrib_conn_tune_ratepart,CA3-DG DG,intermediate-naive,4,-0.2341,0.15362,0.25
pair,rho_contrib_conn_tune_ratepart,CA3-DG DG,expert-intermediate,4,0.2386,0.16579,0.25
pair,rho_contrib_conn_tune_ratepart,RSC-SUB RSC,expert-naive,4,-0.021,0.61223,0.625
pair,rho_contrib_conn_tune_ratepart,RSC-SUB RSC,intermediate-naive,4,-0.0708,0.26049,0.25
pair,rho_contrib_conn_tune_ratepart,RSC-SUB RSC,expert-intermediate,4,0.0208,0.42893,0.625
pair,rho_contrib_conn_tune_ratepart,RSC-SUB SUB,expert-naive,4,0.3504,0.67131,0.875
pair,rho_contrib_conn_tune_ratepart,RSC-SUB SUB,intermediate-naive,4,0.1335,0.535,0.625
pair,rho_contrib_conn_tune_ratepart,RSC-SUB SUB,expert-intermediate,4,-0.0654,0.74102,0.875
pair,rho_contrib_conn_tune_ratepart,V1-RSC V1,expert-naive,6,-0.0363,0.50452,0.6875
pair,rho_contrib_conn_tune_ratepart,V1-RSC V1,intermediate-naive,6,0.1488,0.08363,0.03125
pair,rho_contrib_conn_tune_ratepart,V1-RSC V1,expert-intermediate,6,-0.1706,0.19219,0.15625
pair,rho_contrib_conn_tune_ratepart,V1-RSC RSC,expert-naive,6,-0.1525,0.07443,0.09375
pair,rho_contrib_conn_tune_ratepart,V1-RSC RSC,intermediate-naive,6,-0.0309,0.40161,0.84375
pair,rho_contrib_conn_tune_ratepart,V1-RSC RSC,expert-intermediate,6,-0.1025,0.17703,0.21875
pair,rho_contrib_conn_tomrel,CA1-CA3 CA1,expert-naive,7,0.1464,0.32202,0.46875
pair,rho_contrib_conn_tomrel,CA1-CA3 CA1,intermediate-naive,7,0.1587,0.04197,0.07812
pair,rho_contrib_conn_tomrel,CA1-CA3 CA1,expert-intermediate,7,-0.0331,0.99575,0.8125
pair,rho_contrib_conn_tomrel,CA1-CA3 CA3,expert-naive,7,0.2529,0.97874,0.9375
pair,rho_contrib_conn_tomrel,CA1-CA3 CA3,intermediate-naive,7,-0.0039,0.98772,0.9375
pair,rho_contrib_conn_tomrel,CA1-CA3 CA3,expert-intermediate,7,-0.0959,0.97882,1.0
pair,rho_contrib_conn_tomrel,CA1-DG CA1,expert-naive,8,0.0476,0.25407,0.38281
pair,rho_contrib_conn_tomrel,CA1-DG CA1,intermediate-naive,8,-0.0375,0.84817,0.94531
pair,rho_contrib_conn_tomrel,CA1-DG CA1,expert-intermediate,8,0.082,0.12328,0.10938
pair,rho_contrib_conn_tomrel,CA1-DG DG,expert-naive,8,0.0134,0.28274,0.74219
pair,rho_contrib_conn_tomrel,CA1-DG DG,intermediate-naive,8,0.0822,0.348,0.25
pair,rho_contrib_conn_tomrel,CA1-DG DG,expert-intermediate,8,-0.2284,0.05731,0.07812
pair,rho_contrib_conn_tomrel,CA1-RSC CA1,expert-naive,8,-0.0626,0.71805,1.0
pair,rho_contrib_conn_tomrel,CA1-RSC CA1,intermediate-naive,8,0.0624,0.58375,0.38281
pair,rho_contrib_conn_tomrel,CA1-RSC CA1,expert-intermediate,8,-0.1096,0.3901,0.46094
pair,rho_contrib_conn_tomrel,CA1-RSC RSC,expert-naive,8,-0.1768,0.35171,0.46094
pair,rho_contrib_conn_tomrel,CA1-RSC RSC,intermediate-naive,8,0.0133,0.44481,0.74219
pair,rho_contrib_conn_tomrel,CA1-RSC RSC,expert-intermediate,8,-0.1492,0.27091,0.3125
pair,rho_contrib_conn_tomrel,CA1-SUB CA1,expert-naive,4,0.0343,0.60017,0.875
pair,rho_contrib_conn_tomrel,CA1-SUB CA1,intermediate-naive,4,-0.1204,0.8693,0.875
pair,rho_contrib_conn_tomrel,CA1-SUB CA1,expert-intermediate,4,0.1678,0.33268,0.25
pair,rho_contrib_conn_tomrel,CA1-SUB SUB,expert-naive,4,0.0315,0.47457,0.625
pair,rho_contrib_conn_tomrel,CA1-SUB SUB,intermediate-naive,4,0.0243,0.7747,1.0
pair,rho_contrib_conn_tomrel,CA1-SUB SUB,expert-intermediate,4,-0.0203,0.63599,1.0
pair,rho_contrib_conn_tomrel,CA1-V1 CA1,expert-naive,10,0.0244,0.90589,0.76953
pair,rho_contrib_conn_tomrel,CA1-V1 CA1,intermediate-naive,10,0.0692,0.33703,0.375
