animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_x_conn,gini_y_conn,gini_x_sig,gini_y_sig,gini_pearson_x,gini_pearson_y,rot_x,rot_y,rot_x_cc1,rot_y_cc1,jac_x,jac_y,sh_x,sh_y,sh_x_cc1,sh_y_cc1
28,1,CA3-DG,18.0,0.125,0.0833,-51.0,14000,0.5455,2,0.1928,-0.0156,0,0.6792,0.2472,0.6234,0.6464,0.568,0.5619,0.7157,0.561,53.03,34.33,15.15,10.23,0.6,0.6,82.58,51.24,68.98,10.27
28,1,CA3-DG,23.0,0.1618,0.1389,-46.0,12000,0.4791,3,0.1929,0.0035,0,0.6284,0.4327,0.5629,0.7725,0.5903,0.8201,0.6631,0.4593,84.96,89.74,7.01,43.97,1.0,0.3333,88.8,25.49,87.66,32.56
28,1,CA3-DG,28.0,0.1985,0.2667,-41.0,12000,0.5029,2,0.1601,-0.0074,0,0.5489,0.1796,0.5392,0.6289,0.5196,0.6054,0.6954,0.5274,86.49,89.9,13.7,43.28,0.6,0.3333,85.13,73.61,66.97,14.12
28,1,CA3-DG,33.0,0.2353,0.27,-36.0,14000,0.5189,6,0.2161,0.0098,0,0.6378,0.2592,0.5717,0.2963,0.6469,0.1932,0.6938,0.4471,80.18,87.95,10.58,7.77,1.0,0.3333,84.3,77.88,42.56,14.88
28,1,CA3-DG,38.0,0.2721,0.3182,-31.0,12000,0.5292,3,0.1801,-0.1432,0,0.6012,0.4343,0.5812,0.4543,0.5634,0.3825,0.6267,0.4211,34.74,13.81,13.05,19.75,0.3333,0.6,86.85,86.78,87.22,72.87
28,1,CA3-DG,43.0,0.3088,0.3746,-26.0,14000,0.5281,3,0.2031,-0.0443,0,0.5961,0.46,0.6615,0.7336,0.7599,0.8199,0.7184,0.4918,89.86,14.58,7.27,6.06,0.3333,0.3333,43.58,17.88,15.27,61.74
28,1,CA3-DG,48.0,0.3456,0.3465,-21.0,14000,0.5646,3,0.2189,0.0312,0,0.6136,0.5076,0.665,0.4793,0.7046,0.4467,0.6714,0.4499,89.4,17.88,9.04,26.02,0.3333,0.3333,88.23,23.67,23.74,84.61
28,1,CA3-DG,53.0,0.3824,0.3593,-16.0,14000,0.5984,2,0.2418,-0.0095,0,0.6469,0.2006,0.6913,0.6342,0.6245,0.5578,0.7098,0.5111,88.49,89.73,14.37,12.42,0.6,0.1429,81.67,80.69,13.14,6.62
28,1,CA3-DG,58.0,0.4191,0.3158,-11.0,14000,0.5112,5,0.4645,-0.0074,0,0.9612,0.5067,0.9612,0.7829,0.9612,0.6756,0.5757,0.4227,89.54,90.0,85.86,59.15,0.3333,0.6,83.19,11.1,0.08,57.02
28,1,CA3-DG,63.0,0.4559,0.3796,-6.0,14000,0.2099,5,0.3951,0.0194,0,0.9106,0.514,0.9201,0.74,0.9202,0.7187,0.4627,0.4447,87.64,11.66,70.61,32.62,1.0,0.6,2.34,18.74,72.32,24.22
