animal,learner,pair,epoch,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
75,1,V1-RSC,intermediate,10850,0.4797,4,0.2866,0.0366,0,0.2313,0.5083
75,1,V1-RSC,expert,10269,0.5145,3,0.2956,0.0115,0,0.2551,0.4904
77,1,CA1-RSC,naive,13879,0.1603,1,0.013,-0.0298,0,0.1802,0.5054
77,1,CA1-RSC,intermediate,10550,0.0881,0,0.0,-0.0065,7,0.0715,0.3867
77,1,CA1-RSC,expert,10350,0.1798,1,0.0164,-0.0208,0,0.0571,0.3758
77,1,CA1-DG,naive,13879,0.1886,1,0.0181,-0.0308,0,0.2094,0.6534
77,1,CA1-DG,intermediate,10550,0.0504,0,0.0,0.0232,1,0.1141,0.1017
77,1,CA1-DG,expert,10350,0.0594,1,0.0018,-0.0181,-1,0.1939,0.1088
77,1,CA1-V1,naive,13879,0.0468,0,0.0,-0.0268,0,0.1813,0.1516
77,1,CA1-V1,intermediate,10550,0.064,0,0.0,0.0183,0,0.0704,0.1038
77,1,CA1-V1,expert,10350,0.1196,1,0.0072,0.051,0,0.0552,0.1133
77,1,CA1-SUB,naive,13879,-0.0119,0,0.0,-0.0412,-3,0.2055,0.2367
77,1,CA1-SUB,intermediate,10550,0.0388,0,0.0,0.0332,3,0.1101,0.1085
77,1,CA1-SUB,expert,10350,0.0039,0,0.0,0.0369,6,0.0683,0.1801
77,1,RSC-SUB,naive,13879,0.0667,1,0.004,0.0138,-1,0.5151,0.2346
77,1,RSC-SUB,intermediate,10550,0.1604,2,0.022,0.1274,4,0.3878,0.1067
77,1,RSC-SUB,expert,10350,0.1818,2,0.0221,0.02,0,0.3784,0.1824
77,1,V1-RSC,naive,13879,0.3452,2,0.1011,0.0177,0,0.1292,0.5153
77,1,V1-RSC,intermediate,10550,0.4055,2,0.1444,0.043,0,0.068,0.3887
77,1,V1-RSC,expert,10350,0.4189,2,0.1469,0.0537,0,0.0558,0.3529
