animal,learner,pair,ordinal,trial_id,n_bins,cc1,ifi,optimal_lag,gini_part_x,gini_part_y
71,0,V1-RSC,2,2,2898,0.3097,0.0252,0,0.4666,0.5198
71,0,V1-RSC,4,4,2619,0.2007,0.1193,0,0.4474,0.5052
71,0,V1-RSC,7,7,2459,0.2946,0.0234,0,0.426,0.5203
71,0,V1-RSC,10,10,2665,0.1387,0.087,1,0.4905,0.4861
73,1,CA1-RSC,1,1,5662,0.0057,0.4149,7,0.5245,0.5153
73,1,CA1-RSC,2,2,4390,-0.0001,0.4371,5,0.536,0.5095
73,1,CA1-RSC,4,4,4438,0.0125,0.8938,4,0.4226,0.5175
73,1,CA1-RSC,7,7,4151,0.0094,0.368,3,0.4058,0.5133
73,1,CA1-RSC,10,10,4119,0.0221,1.0,4,0.5301,0.4832
73,1,CA1-DG,1,1,5662,0.0323,-0.6898,-2,0.4792,0.5525
73,1,CA1-DG,2,2,4390,0.042,-0.0508,0,0.5818,0.5382
73,1,CA1-DG,4,4,4438,0.0511,-0.3299,0,0.5035,0.5998
73,1,CA1-DG,7,7,4151,0.0441,-0.0944,0,0.5851,0.5702
73,1,CA1-DG,10,10,4119,0.0478,-0.3245,0,0.5091,0.6057
73,1,CA1-V1,1,1,5662,-0.0129,0.1938,2,0.5602,0.582
73,1,CA1-V1,2,2,4390,0.0198,-0.0412,-9,0.6006,0.5766
73,1,CA1-V1,4,4,4438,-0.0017,1.0,3,0.5994,0.585
73,1,CA1-V1,7,7,4151,0.0226,-0.6911,-5,0.5017,0.5991
73,1,CA1-V1,10,10,4119,0.0497,0.1047,0,0.4923,0.5955
73,1,CA1-SUB,1,1,5662,0.0457,0.0931,0,0.4875,0.4717
73,1,CA1-SUB,2,2,4390,0.0593,-0.1031,0,0.5405,0.4836
73,1,CA1-SUB,4,4,4438,0.0438,0.032,1,0.4787,0.4527
73,1,CA1-SUB,7,7,4151,0.0271,-0.1684,-2,0.5112,0.447
73,1,CA1-SUB,10,10,4119,0.0378,0.027,2,0.5609,0.4451
73,1,RSC-SUB,1,1,5662,0.0514,0.0288,-2,0.4384,0.577
73,1,RSC-SUB,2,2,4390,0.074,-0.0161,1,0.4845,0.6015
73,1,RSC-SUB,4,4,4438,0.0668,-0.032,7,0.4926,0.5634
73,1,RSC-SUB,7,7,4151,0.0823,0.0143,0,0.4623,0.6053
73,1,RSC-SUB,10,10,4119,0.0818,0.0549,0,0.4594,0.6196
73,1,V1-RSC,1,1,5662,0.0378,0.1328,1,0.5607,0.4644
73,1,V1-RSC,2,2,4390,0.0815,-0.0045,-2,0.5082,0.4658
73,1,V1-RSC,4,4,4438,0.0972,-0.086,0,0.5695,0.4586
73,1,V1-RSC,7,7,4151,0.0523,0.1585,3,0.6154,0.5285
73,1,V1-RSC,10,10,4119,0.0963,0.036,0,0.6035,0.5217
75,1,CA1-RSC,1,1,2905,0.0752,-0.1266,0,0.5729,0.5036
75,1,CA1-RSC,2,2,2455,0.0616,-0.0861,0,0.6343,0.4801
75,1,CA1-RSC,4,4,2568,0.0644,-0.2934,0,0.6837,0.5002
75,1,CA1-RSC,7,7,2216,0.0295,0.2893,0,0.6413,0.4873
75,1,CA1-RSC,10,10,3129,0.0583,-0.0402,0,0.5701,0.47
75,1,CA1-DG,1,1,2905,0.1976,0.0078,0,0.6287,0.6395
75,1,CA1-DG,2,2,2455,0.2456,0.0976,0,0.6708,0.6597
75,1,CA1-DG,4,4,2568,0.2349,-0.0631,0,0.6484,0.6668
75,1,CA1-DG,7,7,2216,0.2686,-0.1415,0,0.6368,0.6695
75,1,CA1-DG,10,10,3129,0.2113,-0.2781,0,0.62,0.6691
75,1,CA1-V1,1,1,2905,0.0692,-0.0273,-5,0.6188,0.428
75,1,CA1-V1,2,2,2455,0.0238,0.0797,-4,0.6235,0.4248
75,1,CA1-V1,4,4,2568,0.026,-0.2805,-3,0.5534,0.4061
75,1,CA1-V1,7,7,2216,0.0013,0.8819,4,0.6056,0.4422
75,1,CA1-V1,10,10,3129,-0.0148,1.0,7,0.599,0.4138
75,1,CA1-SUB,1,1,2905,0.0505,0.0411,0,0.6481,0.3921
75,1,CA1-SUB,2,2,2455,0.0824,-0.1092,0,0.6745,0.3626
75,1,CA1-SUB,4,4,2568,0.1053,-0.7953,0,0.6321,0.3957
75,1,CA1-SUB,7,7,2216,0.0933,0.1491,0,0.6469,0.3836
75,1,CA1-SUB,10,10,3129,0.1197,0.1212,0,0.674,0.3788
75,1,RSC-SUB,1,1,2905,0.0812,-0.1894,0,0.5192,0.4811
75,1,RSC-SUB,2,2,2455,0.1716,-0.2152,0,0.5382,0.5143
75,1,RSC-SUB,4,4,2568,0.1718,-0.1261,0,0.5461,0.4842
75,1,RSC-SUB,7,7,2216,0.1315,-0.0467,-5,0.5148,0.4735
75,1,RSC-SUB,10,10,3129,0.1934,-0.1114,0,0.525,0.4785
75,1,V1-RSC,1,1,2905,0.2082,-0.001,0,0.4423,0.4807
75,1,V1-RSC,2,2,2455,0.3443,0.0412,0,0.4523,0.538
75,1,V1-RSC,4,4,2568,0.4278,0.0078,0,0.4822,0.5432
75,1,V1-RSC,7,7,2216,0.3863,-0.0096,0,0.4876,0.5239
75,1,V1-RSC,10,10,3129,0.3307,0.0206,0,0.458,0.5318
77,1,CA1-RSC,1,1,3519,0.0769,0.0104,0,0.3253,0.4691
77,1,CA1-RSC,2,2,2820,0.0563,-0.0124,-1,0.3536,0.4576
77,1,CA1-RSC,4,4,3391,0.0364,0.3422,8,0.333,0.4788
77,1,CA1-RSC,7,7,3452,0.0375,0.1948,5,0.348,0.4603
77,1,CA1-RSC,10,10,3681,0.0583,0.0287,-1,0.413,0.425
77,1,CA1-DG,1,1,3519,0.0067,-1.0,-1,0.4367,0.6746
77,1,CA1-DG,2,2,2820,-0.0417,0.2297,8,0.4367,0.7203
77,1,CA1-DG,4,4,3391,0.0208,-0.5289,-2,0.463,0.7786
77,1,CA1-DG,7,7,3452,0.0104,0.0679,10,0.4808,0.7822
77,1,CA1-DG,10,10,3681,0.0331,-0.5783,0,0.4994,0.7285
77,1,CA1-V1,1,1,3519,0.053,0.1436,1,0.6085,0.5799
77,1,CA1-V1,2,2,2820,0.073,0.0825,2,0.5741,0.5344
77,1,CA1-V1,4,4,3391,0.0508,0.0034,-7,0.562,0.5705
77,1,CA1-V1,7,7,3452,0.0502,-0.0301,-6,0.6223,0.5812
77,1,CA1-V1,10,10,3681,0.0615,0.2093,0,0.571,0.5187
77,1,CA1-SUB,1,1,3519,0.017,-0.2353,-9,0.1404,0.5078
77,1,CA1-SUB,2,2,2820,0.0151,0.3654,1,0.1366,0.5999
77,1,CA1-SUB,4,4,3391,0.012,0.4508,-4,0.1095,0.5276
