animal,learner,pair,bin,dim,cc,sig,ifi
28,1,CA3-DG,1,4,0.0393,0,-0.0222
28,1,CA3-DG,1,5,0.0104,0,-0.0317
28,1,CA3-DG,1,6,0.0259,0,-0.0427
28,1,CA3-DG,1,7,0.0178,0,-0.0672
28,1,CA3-DG,1,8,-0.0114,0,-0.0854
28,1,CA3-DG,1,9,-0.0306,0,-0.0626
28,1,CA3-DG,1,10,0.0205,0,-0.0442
28,1,CA3-DG,2,1,0.5195,1,0.0163
28,1,CA3-DG,2,2,0.0988,0,-0.0575
28,1,CA3-DG,2,3,0.1515,1,0.0061
28,1,CA3-DG,2,4,0.0578,0,0.0004
28,1,CA3-DG,2,5,-0.0561,0,-0.0481
28,1,CA3-DG,2,6,-0.0975,0,0.0276
28,1,CA3-DG,2,7,-0.0425,0,0.048
28,1,CA3-DG,2,8,-0.0659,0,-0.0352
28,1,CA3-DG,2,9,-0.0676,0,-0.0279
28,1,CA3-DG,3,1,0.5375,1,0.0158
28,1,CA3-DG,3,2,0.1364,1,-0.0482
28,1,CA3-DG,3,3,0.0937,0,0.0092
28,1,CA3-DG,3,4,0.0078,0,0.0189
28,1,CA3-DG,3,5,-0.0021,0,0.0661
28,1,CA3-DG,3,6,0.0416,0,0.0359
28,1,CA3-DG,3,7,0.0681,0,0.1116
28,1,CA3-DG,3,8,-0.0116,0,0.013
28,1,CA3-DG,3,9,0.0209,0,0.0756
28,1,CA3-DG,3,10,-0.0099,0,0.1472
28,1,CA3-DG,4,1,0.4395,1,-0.0203
28,1,CA3-DG,4,2,0.2816,1,-0.1293
28,1,CA3-DG,4,3,0.2545,1,-0.0604
28,1,CA3-DG,4,4,0.0772,0,0.04
28,1,CA3-DG,4,5,0.0298,0,-0.0572
28,1,CA3-DG,4,6,0.1429,1,-0.0244
28,1,CA3-DG,4,7,0.0859,0,-0.0335
28,1,CA3-DG,4,8,0.0034,0,-0.0022
28,1,CA3-DG,4,9,-0.0521,0,-0.0283
28,1,CA3-DG,4,10,-0.0671,0,-0.1014
28,1,CA3-DG,4,11,-0.127,0,-0.104
28,1,CA3-DG,5,1,0.5148,1,-0.004
28,1,CA3-DG,5,2,0.1759,1,-0.026
28,1,CA3-DG,5,3,0.068,0,0.0201
28,1,CA3-DG,5,4,0.0268,0,0.0377
28,1,CA3-DG,5,5,-0.0058,0,0.0027
28,1,CA3-DG,5,6,0.0347,0,-0.0685
28,1,CA3-DG,5,7,0.0055,0,-0.0725
28,1,CA3-DG,5,8,0.069,0,-0.106
28,1,CA3-DG,5,9,-0.0239,0,-0.0478
28,1,CA3-DG,5,10,0.0822,0,-0.0919
28,1,CA3-DG,5,11,-0.0406,0,-0.0828
28,1,CA3-DG,6,1,0.481,1,0.0104
28,1,CA3-DG,6,2,0.1344,1,-0.005
