animal,learner,pair,dim,ifi,peak_lag_ms,cc_max,cc_at_zero,sig,n_sig
52,1,CA3-DG,22,0.17452440033085187,0.0,0.0241,0.0241,0,6
52,1,CA3-DG,23,0.07430617726051922,-70.0,0.0206,-0.0026,0,6
52,1,CA3-DG,24,-0.25505050505050514,-130.0,0.0257,0.02,0,6
52,1,CA3-DG,25,-0.029736618521665325,-60.0,0.0261,0.0029,0,6
52,1,CA3-DG,26,0.03160270880361169,50.0,0.0323,-0.0051,0,6
52,1,CA3-DG,27,-0.2169117647058823,-90.0,0.0272,-0.0042,0,6
52,1,CA3-DG,28,-0.18742343813801554,-20.0,0.0241,0.0134,0,6
52,1,CA3-DG,29,-0.2912880812399787,-90.0,0.0198,-0.0442,0,6
52,1,CA3-DG,30,-0.008350730688935258,-80.0,0.0203,-0.0035,0,6
52,1,V1-RSC,1,0.102089519105364,0.0,0.2992,0.2992,1,2
52,1,V1-RSC,2,0.07955682630450317,20.0,0.1011,0.0831,1,2
52,1,V1-RSC,3,0.24839400428265512,0.0,0.0983,0.0983,0,2
52,1,V1-RSC,4,0.31932614045050167,-30.0,0.0656,0.0409,0,2
52,1,V1-RSC,5,0.06314684265786709,-170.0,0.039,0.0226,0,2
52,1,V1-RSC,6,0.07886290692342965,-170.0,0.0307,0.0118,0,2
52,1,V1-RSC,7,0.29722589167767494,170.0,0.0463,0.0206,0,2
52,1,V1-RSC,8,-0.2614727854855923,-10.0,0.0338,-0.0044,0,2
52,1,V1-RSC,9,0.05123966942148748,-120.0,0.0335,0.0065,0,2
52,1,V1-RSC,10,0.19463087248322136,110.0,0.0325,0.0122,0,2
