animal,pair,ordinal,matched,tail_abs_r,degenerate_trial
66,CA1-DG,2,2,0.027134000000000002,0
66,CA1-DG,3,0,0.016224,0
66,CA1-DG,3,2,0.014551999999999999,0
66,CA1-DG,4,0,0.016436,0
66,CA1-DG,4,2,0.018656,0
66,CA1-DG,5,0,0.037656,0
66,CA1-DG,5,2,0.043746,0
66,CA1-DG,6,0,0.018195999999999997,0
66,CA1-DG,6,2,0.018195999999999997,0
66,CA1-DG,7,0,0.022586000000000002,0
66,CA1-DG,7,2,0.019996000000000003,0
66,CA1-DG,8,0,0.019788,0
66,CA1-DG,8,2,0.01965,0
66,CA1-DG,9,0,0.019036,0
66,CA1-DG,9,2,0.022306,0
66,CA1-DG,10,0,0.016128,0
66,CA1-DG,10,2,0.01667,0
66,CA1-RSC,1,0,0.024196,0
66,CA1-RSC,1,1,0.022358,0
66,CA1-RSC,1,2,0.025006,0
66,CA1-RSC,2,0,0.018586,0
66,CA1-RSC,2,1,0.018586,0
66,CA1-RSC,2,2,0.019742000000000003,0
66,CA1-RSC,3,0,0.010962,0
66,CA1-RSC,3,2,0.012648000000000001,0
66,CA1-RSC,4,0,0.02567,0
66,CA1-RSC,4,2,0.024023999999999997,0
66,CA1-RSC,5,0,0.023819999999999997,0
66,CA1-RSC,5,2,0.027969999999999995,0
66,CA1-RSC,6,0,0.017372,0
66,CA1-RSC,6,2,0.017372,0
66,CA1-RSC,7,0,0.0225,0
66,CA1-RSC,7,2,0.024744000000000002,0
66,CA1-RSC,8,0,0.027129999999999998,0
66,CA1-RSC,8,2,0.029634,0
66,CA1-RSC,9,0,0.020002,0
66,CA1-RSC,9,2,0.024118,0
66,CA1-RSC,10,0,0.020074,0
66,CA1-RSC,10,2,0.021197999999999998,0
66,CA1-SUB,1,0,0.010812,0
66,CA1-SUB,1,1,0.014143999999999999,0
66,CA1-SUB,1,2,0.016250000000000004,0
66,CA1-SUB,2,0,0.022148,0
66,CA1-SUB,2,1,0.022148,0
