animal,learner,pair,cond,area,unit,contrib
41,1,CA1-V1,cued,V1,80,0.02164
41,1,CA1-V1,cued,V1,81,0.069111
41,1,CA1-V1,cued,V1,82,0.029773
41,1,CA1-V1,cued,V1,83,0.089759
41,1,CA1-V1,cued,V1,84,0.041724
41,1,CA1-V1,cued,V1,85,0.004769
41,1,CA1-V1,cued,V1,86,0.551998
41,1,CA1-V1,cued,V1,87,0.488383
41,1,CA1-V1,cued,V1,88,0.135622
41,1,CA1-V1,cued,V1,89,0.020603
41,1,CA1-V1,cued,V1,90,0.086336
41,1,CA1-V1,cued,V1,91,0.063155
41,1,CA1-V1,cued,V1,92,0.050829
41,1,CA1-V1,cued,V1,93,0.016608
41,1,CA1-V1,cued,V1,94,0.011508
41,1,CA1-V1,cued,V1,95,0.01292
41,1,CA1-V1,cued,V1,96,0.012784
41,1,CA1-V1,cued,V1,97,0.052409
41,1,CA1-V1,cued,V1,98,0.121228
41,1,CA1-V1,cued,V1,99,0.097861
41,1,CA1-V1,cued,V1,100,0.327729
41,1,CA1-V1,cued,V1,101,0.004609
41,1,CA1-V1,cued,V1,102,0.034005
41,1,CA1-V1,cued,V1,103,0.011602
41,1,CA1-V1,cued,V1,104,0.042295
41,1,CA1-V1,cued,V1,105,0.075866
41,1,CA1-V1,cued,V1,106,0.026943
41,1,CA1-V1,cued,V1,107,0.024031
41,1,CA1-V1,cued,V1,108,0.020678
41,1,CA1-V1,cued,V1,109,0.043689
41,1,CA1-V1,cued,V1,110,0.059976
41,1,CA1-V1,cued,V1,111,0.029416
41,1,CA1-V1,cued,V1,112,0.029417
41,1,CA1-V1,cued,V1,113,0.116029
41,1,CA1-V1,cued,V1,114,0.053152
41,1,CA1-V1,cued,V1,115,0.058743
41,1,CA1-V1,cued,V1,116,0.143396
41,1,CA1-V1,cued,V1,117,0.0308
41,1,CA1-V1,cued,V1,118,0.011744
41,1,CA1-V1,cued,V1,119,0.067877
41,1,CA1-V1,cued,V1,120,0.46464
41,1,CA1-V1,cued,V1,121,0.072856
41,1,CA1-V1,cued,V1,122,0.17194
41,1,CA1-V1,cued,V1,123,0.03446
41,1,CA1-V1,cued,V1,124,0.055119
41,1,CA1-V1,cued,V1,125,0.10066
41,1,CA1-V1,cued,V1,126,0.073983
41,1,CA1-V1,cued,V1,127,0.211772
41,1,CA1-V1,cued,V1,128,0.39689
41,1,CA1-V1,cued,V1,129,0.072691
41,1,CA1-V1,cued,V1,130,0.032617
41,1,CA1-V1,cued,V1,131,0.104632
41,1,CA1-V1,cued,V1,132,0.027911
41,1,CA1-V1,cued,V1,133,0.498909
41,1,CA1-V1,cued,V1,134,0.096802
41,1,CA1-V1,cued,V1,135,0.416533
