animal,pair,dim,epoch,label,label_loo,ifi_fit,cc_heldout,peak_r,ifi,peak_lag_ms
28,CA3-DG,8,intermediate,FB,FB,-0.11742,0.01432,0.01535,-0.6474841819825249,140.0
28,CA3-DG,8,naive,FB,FB,-0.11742,0.01432,0.0218,-0.051386071670047405,80.0
28,CA3-DG,9,expert,FF,FF,0.33057,0.01344,0.04333,0.11855324849296717,-140.0
28,CA3-DG,9,intermediate,FF,FF,0.33057,0.01344,0.02481,0.2343348830754285,30.0
28,CA3-DG,9,naive,FF,FF,0.33057,0.01344,0.01658,0.6018808777429467,150.0
28,CA3-DG,10,expert,FB,FF,-0.01777,0.00755,0.02658,-0.40224246671338476,-120.0
28,CA3-DG,10,intermediate,FB,FB,-0.01777,0.00755,0.02248,0.249736564805058,-200.0
28,CA3-DG,10,naive,FB,FF,-0.01777,0.00755,0.00317,0.0,-210.0
34,CA1-CA3,1,expert,FB,FB,-0.20897,0.46138,0.46984,-0.1908756236022708,0.0
34,CA1-CA3,1,intermediate,FB,FB,-0.20897,0.46138,0.46386,-0.2564813792297049,0.0
34,CA1-CA3,1,naive,FB,FB,-0.20897,0.46138,0.47234,-0.10446398999006364,0.0
34,CA1-CA3,2,expert,FB,FB,-0.00352,0.33032,0.35154,0.03349826297505,0.0
34,CA1-CA3,2,intermediate,FB,FB,-0.00352,0.33032,0.33265,0.03908052525137432,0.0
34,CA1-CA3,2,naive,FB,FF,-0.00352,0.33032,0.26952,-0.05500894991650758,0.0
34,CA1-CA3,3,expert,FF,FF,0.19906,0.09394,0.08327,0.40687985186240294,0.0
34,CA1-CA3,3,intermediate,FF,FF,0.19906,0.09394,0.08596,0.345840854614861,0.0
34,CA1-CA3,3,naive,FF,FF,0.19906,0.09394,0.10205,0.042765199777843155,0.0
34,CA1-CA3,4,expert,FF,FF,0.17185,0.06658,0.0672,0.27620721031658885,0.0
34,CA1-CA3,4,intermediate,FF,FF,0.17185,0.06658,0.051,0.12652800000000003,0.0
34,CA1-CA3,4,naive,FF,FF,0.17185,0.06658,0.03665,0.10450992182802175,0.0
34,CA1-CA3,5,expert,FB,FB,-0.07081,0.05863,0.06698,0.008562621303801785,0.0
