animal,pair,epoch,area,unit,contrib,contrib_conn
28,CA1-V1,intermediate,V1,2,0.59006,0.038373
28,CA1-V1,intermediate,V1,3,0.854679,0.019464
28,CA1-V1,intermediate,V1,4,0.722603,0.014352
28,CA1-V1,intermediate,V1,5,0.846877,0.030118
28,CA1-V1,intermediate,V1,6,0.246364,0.018414
28,CA1-V1,intermediate,V1,7,0.753626,0.019183
28,CA1-V1,intermediate,V1,8,0.150927,0.006384
28,CA1-V1,intermediate,V1,9,0.171945,0.004372
28,CA1-V1,intermediate,V1,10,0.775684,0.030783
28,CA1-V1,intermediate,V1,11,0.385822,0.031983
28,CA1-V1,intermediate,V1,12,0.309619,0.014566
28,CA1-V1,intermediate,V1,13,0.493446,0.014635
28,CA1-V1,intermediate,V1,14,0.458325,0.014089
28,CA1-V1,intermediate,V1,15,0.404086,0.017607
28,CA1-V1,intermediate,V1,16,0.840309,0.012822
28,CA1-V1,intermediate,V1,17,0.332455,0.013519
28,CA1-V1,intermediate,V1,18,0.474218,0.015081
28,CA1-V1,intermediate,V1,19,0.494291,0.020363
28,CA1-V1,intermediate,V1,20,0.39834,0.01528
28,CA1-V1,intermediate,V1,21,0.624313,0.016441
28,CA1-V1,intermediate,V1,22,0.535798,0.016209
28,CA1-V1,intermediate,V1,23,0.017908,0.000643
28,CA1-V1,intermediate,V1,24,0.059509,0.00302
28,CA1-V1,intermediate,V1,25,0.16489,0.005579
28,CA1-V1,intermediate,V1,26,0.15084,0.00536
28,CA1-V1,intermediate,V1,27,0.29954,0.009633
28,CA1-V1,intermediate,V1,28,0.029508,0.001612
28,CA1-V1,intermediate,V1,29,0.695918,0.024975
28,CA1-V1,intermediate,V1,30,0.222289,0.009988
28,CA1-V1,intermediate,V1,31,0.03083,0.000905
28,CA1-V1,intermediate,V1,32,0.183888,0.012186
28,CA1-V1,intermediate,V1,33,0.819377,0.032031
28,CA1-V1,intermediate,V1,34,0.210739,0.006122
28,CA1-V1,intermediate,V1,35,0.518792,0.008538
28,CA1-V1,intermediate,V1,36,0.273169,0.009666
28,CA1-V1,intermediate,V1,37,0.374809,0.017586
28,CA1-V1,intermediate,V1,38,0.804633,0.010483
28,CA1-V1,intermediate,V1,39,0.598943,0.022715
28,CA1-V1,intermediate,V1,40,0.251544,0.010262
28,CA1-V1,intermediate,V1,41,0.835338,0.017184
28,CA1-V1,intermediate,V1,42,0.426146,0.007738
28,CA1-V1,intermediate,V1,43,0.554641,0.04784
28,CA1-V1,intermediate,V1,44,0.021716,0.000741
28,CA1-V1,intermediate,V1,45,0.151741,0.010349
28,CA1-V1,intermediate,V1,46,0.055485,0.001079
28,CA1-V1,intermediate,V1,47,0.842031,0.020385
28,CA1-V1,intermediate,V1,48,0.25832,0.012273
28,CA1-V1,intermediate,V1,49,0.776904,0.008598
28,CA1-V1,intermediate,V1,50,0.014483,0.000332
28,CA1-V1,intermediate,V1,51,0.496764,0.021376
28,CA1-V1,intermediate,V1,52,0.313708,0.025292
28,CA1-V1,intermediate,V1,53,0.522689,0.023859
28,CA1-V1,intermediate,V1,54,0.68597,0.033909
28,CA1-V1,intermediate,V1,55,0.36378,0.008279
28,CA1-V1,intermediate,V1,56,0.436314,0.016808
28,CA1-V1,intermediate,V1,57,0.674587,0.013691
28,CA1-V1,intermediate,V1,58,0.236006,0.013715
28,CA1-V1,intermediate,V1,59,0.194804,0.007756
28,CA1-V1,intermediate,V1,60,0.122697,0.011575
28,CA1-V1,intermediate,V1,61,0.207606,0.013192
28,CA1-V1,intermediate,V1,62,0.434947,0.017307
28,CA1-V1,intermediate,V1,63,0.750124,0.020606
28,CA1-V1,intermediate,V1,64,0.198586,0.003858
28,CA1-V1,intermediate,V1,65,0.039798,0.001085
28,CA1-V1,intermediate,V1,66,0.022322,0.001141
28,CA1-V1,expert,CA1,0,1.180082,0.100497
28,CA1-V1,expert,CA1,1,1.18965,0.121221
28,CA1-V1,expert,CA1,2,1.299754,0.116424
28,CA1-V1,expert,CA1,3,0.926605,0.074033
28,CA1-V1,expert,CA1,4,0.061935,0.004663
28,CA1-V1,expert,CA1,5,1.28833,0.140399
28,CA1-V1,expert,CA1,6,0.819927,0.052362
28,CA1-V1,expert,CA1,7,0.980949,0.099377
28,CA1-V1,expert,CA1,8,1.056199,0.095834
28,CA1-V1,expert,CA1,9,1.141622,0.114225
28,CA1-V1,expert,CA1,10,1.05314,0.114026
28,CA1-V1,expert,CA1,11,1.080556,0.094622
28,CA1-V1,expert,CA1,12,1.083607,0.084681
28,CA1-V1,expert,CA1,13,0.026922,0.002576
28,CA1-V1,expert,CA1,14,0.832039,0.091691
28,CA1-V1,expert,CA1,15,0.966197,0.102321
28,CA1-V1,expert,CA1,16,1.078552,0.144559
28,CA1-V1,expert,CA1,17,0.933165,0.086537
28,CA1-V1,expert,CA1,18,0.032654,0.002712
28,CA1-V1,expert,CA1,19,0.688438,0.071248
28,CA1-V1,expert,CA1,20,0.022144,0.001637
28,CA1-V1,expert,CA1,21,1.532625,0.143021
28,CA1-V1,expert,CA1,22,1.070903,0.092481
28,CA1-V1,expert,CA1,23,0.747071,0.065067
28,CA1-V1,expert,V1,0,0.517458,0.045745
28,CA1-V1,expert,V1,1,0.139024,0.018376
28,CA1-V1,expert,V1,2,0.705131,0.055608
28,CA1-V1,expert,V1,3,0.380716,0.033715
28,CA1-V1,expert,V1,4,0.662976,0.077126
28,CA1-V1,expert,V1,5,0.204386,0.022935
28,CA1-V1,expert,V1,6,0.286366,0.02462
28,CA1-V1,expert,V1,7,0.147103,0.016279
28,CA1-V1,expert,V1,8,0.084977,0.007083
28,CA1-V1,expert,V1,9,0.139538,0.011282
28,CA1-V1,expert,V1,10,0.457565,0.044282
28,CA1-V1,expert,V1,11,0.426747,0.039034
28,CA1-V1,expert,V1,12,0.526013,0.044818
28,CA1-V1,expert,V1,13,0.332803,0.034527
28,CA1-V1,expert,V1,14,0.276056,0.036685
28,CA1-V1,expert,V1,15,0.455049,0.051629
28,CA1-V1,expert,V1,16,0.75965,0.049449
28,CA1-V1,expert,V1,17,0.325855,0.014906
28,CA1-V1,expert,V1,18,0.567818,0.071046
28,CA1-V1,expert,V1,19,0.579976,0.054132
28,CA1-V1,expert,V1,20,0.498649,0.062869
28,CA1-V1,expert,V1,21,0.618441,0.062478
28,CA1-V1,expert,V1,22,0.711994,0.070056
28,CA1-V1,expert,V1,23,0.020061,0.0012
28,CA1-V1,expert,V1,24,0.052914,0.004664
28,CA1-V1,expert,V1,25,0.192261,0.012389
28,CA1-V1,expert,V1,26,0.186249,0.018521
28,CA1-V1,expert,V1,27,0.865557,0.080886
28,CA1-V1,expert,V1,28,0.031963,0.003526
28,CA1-V1,expert,V1,29,0.121216,0.012093
28,CA1-V1,expert,V1,30,0.87094,0.091308
28,CA1-V1,expert,V1,31,0.028562,0.003922
28,CA1-V1,expert,V1,32,0.577598,0.060706
28,CA1-V1,expert,V1,33,0.214956,0.019151
28,CA1-V1,expert,V1,34,0.160042,0.01299
28,CA1-V1,expert,V1,35,0.403429,0.041061
28,CA1-V1,expert,V1,36,0.675418,0.099019
28,CA1-V1,expert,V1,37,0.520395,0.053582
28,CA1-V1,expert,V1,38,0.384748,0.036904
28,CA1-V1,expert,V1,39,0.467726,0.044514
28,CA1-V1,expert,V1,40,0.214322,0.018508
28,CA1-V1,expert,V1,41,0.88134,0.031737
28,CA1-V1,expert,V1,42,0.628617,0.043079
28,CA1-V1,expert,V1,43,0.725485,0.047104
28,CA1-V1,expert,V1,44,0.848546,0.095213
28,CA1-V1,expert,V1,45,0.08669,0.004829
28,CA1-V1,expert,V1,46,0.083335,0.005367
28,CA1-V1,expert,V1,47,0.8196,0.093342
28,CA1-V1,expert,V1,48,0.24467,0.026611
28,CA1-V1,expert,V1,49,0.86337,0.068791
28,CA1-V1,expert,V1,50,0.067616,0.004691
28,CA1-V1,expert,V1,51,0.67054,0.076304
28,CA1-V1,expert,V1,52,0.503325,0.068748
28,CA1-V1,expert,V1,53,0.643327,0.067784
28,CA1-V1,expert,V1,54,0.503048,0.051871
28,CA1-V1,expert,V1,55,0.366354,0.028358
28,CA1-V1,expert,V1,56,0.44737,0.045074
28,CA1-V1,expert,V1,57,0.858593,0.081397
28,CA1-V1,expert,V1,58,0.492411,0.039467
28,CA1-V1,expert,V1,59,0.361155,0.034513
28,CA1-V1,expert,V1,60,0.122085,0.009454
28,CA1-V1,expert,V1,61,0.440561,0.036483
28,CA1-V1,expert,V1,62,0.448202,0.045933
28,CA1-V1,expert,V1,63,0.488561,0.040119
