pair,dims,lag_ms,n_animals,n_areas_used,angle_minus_floor,t,p,p_bonf,mean_angle,mean_floor,estimable
CA1-SUB,1,-70,4,7,24.849999999999998,2.600092669297013,0.08036938706931279,0.8036938706931279,68.15285714285714,42.902857142857144,True
CA1-SUB,1,-50,4,7,28.733750000000004,4.934606490488762,0.015957411778983157,0.15957411778983158,73.00571428571429,42.902857142857144,True
CA1-SUB,1,-40,4,7,19.775000000000006,1.7345574212071158,0.18123012365611008,1.0,66.62714285714286,42.902857142857144,True
CA1-SUB,1,-30,4,7,10.812499999999998,1.0430342571957751,0.373587752040486,1.0,53.984285714285704,42.902857142857144,True
CA1-SUB,1,-20,4,7,8.995000000000001,1.0530404161088913,0.369646487863805,1.0,50.69714285714286,42.902857142857144,True
CA1-SUB,1,-10,4,7,-1.6662499999999998,-0.14692890564957078,0.8925066192006895,1.0,42.861428571428576,42.902857142857144,True
CA1-SUB,1,10,4,7,15.622500000000002,1.7081003443768468,0.18615306873115872,1.0,56.16428571428572,42.902857142857144,True
CA1-SUB,1,20,4,7,25.17875,2.4897196360666523,0.08850599111597855,0.8850599111597856,66.88857142857144,42.902857142857144,True
CA1-SUB,1,30,4,7,24.895,2.2830047845584884,0.10663999690669682,1.0,67.04714285714286,42.902857142857144,True
CA1-SUB,1,40,4,7,26.195000000000004,2.687501612229461,0.07457212137565754,0.7457212137565754,69.33428571428571,42.902857142857144,True
CA1-SUB,1,50,4,7,25.3475,1.9374192404894275,0.1480855295519787,1.0,70.37714285714286,42.902857142857144,True
CA1-SUB,1,70,4,7,24.7725,2.252222696089698,0.10971215593432815,1.0,66.38000000000001,42.902857142857144,True
CA1-SUB,1,100,4,7,19.01625,2.746321276261146,0.07096081703663747,0.7096081703663747,62.058571428571426,42.902857142857144,True
CA1-SUB,1,150,4,7,16.22375,1.6327677702893963,0.20102267031976803,1.0,58.565714285714286,42.902857142857144,True
CA1-SUB,1,200,4,7,31.253749999999997,4.98503684802109,0.01551938546441004,0.1551938546441004,74.16857142857143,42.902857142857144,True
CA1-SUB,1,250,4,7,27.4675,2.2392952331589564,0.11103414092175216,1.0,70.26428571428572,42.902857142857144,True
RSC-SUB,1,-250,4,8,17.71625,1.4461101912779264,0.24392514652657496,1.0,68.685,50.96875,True
RSC-SUB,1,-200,4,8,8.66875,0.6978836321654388,0.5354775358300282,1.0,59.6375,50.96875,True
RSC-SUB,1,-150,4,8,7.566250000000004,0.49393692920852034,0.6552527101940864,1.0,58.53500000000001,50.96875,True
RSC-SUB,1,-100,4,8,8.344999999999999,0.5674494181127675,0.6100967915041928,1.0,59.31375,50.96875,True
RSC-SUB,1,-70,4,8,2.8200000000000003,0.14717465697786006,0.8923285425554403,1.0,53.78875,50.96875,True
RSC-SUB,1,-50,4,8,0.67875,0.04534892388347256,0.9666789959638762,1.0,51.6475,50.96875,True
RSC-SUB,1,-40,4,8,3.686250000000004,0.23194037210040913,0.8315053744520503,1.0,54.655,50.96875,True
RSC-SUB,1,-30,4,8,4.547499999999999,0.30865533076848173,0.7777761105431742,1.0,55.51625,50.96875,True
RSC-SUB,1,-20,4,8,-0.8962499999999993,-0.07272271520448619,0.9466038819577616,1.0,50.072500000000005,50.96875,True
RSC-SUB,1,-10,4,8,-22.2125,-3.3926507657869314,0.0426914695256009,0.426914695256009,28.75625,50.96875,True
RSC-SUB,1,10,4,8,-19.724999999999998,-2.1830299578224537,0.11701606731003016,1.0,31.243750000000006,50.96875,True
RSC-SUB,1,20,4,8,-11.688749999999999,-1.1368448918132652,0.3381925850051191,1.0,39.28,50.96875,True
RSC-SUB,1,30,4,8,-7.852499999999998,-0.6919820102948966,0.5386961829229232,1.0,43.11625,50.96875,True
RSC-SUB,1,40,4,8,-11.615000000000002,-0.9828904592403105,0.39813765021338854,1.0,39.35375,50.96875,True
RSC-SUB,1,50,4,8,1.3112500000000002,0.07213211942316049,0.9470365176593931,1.0,52.28,50.96875,True
RSC-SUB,1,70,4,8,6.401249999999999,0.37328479281188504,0.7337531026131978,1.0,57.370000000000005,50.96875,True
RSC-SUB,1,100,4,8,5.948750000000002,0.34125758021837094,0.7554131274508398,1.0,56.917500000000004,50.96875,True
RSC-SUB,1,150,4,8,3.2675000000000027,0.21115584636997412,0.8462959202719997,1.0,54.23625,50.96875,True
RSC-SUB,1,200,4,8,9.2575,0.593668285171328,0.594520108238349,1.0,60.22625,50.96875,True
RSC-SUB,1,250,4,8,12.55125,0.8270910633587842,0.46883248339417355,1.0,63.519999999999996,50.96875,True
V1-RSC,1,-250,9,17,16.882777777777775,1.9201005857780258,0.09110140664179425,0.9110140664179425,55.010588235294115,39.34058823529411,True
V1-RSC,1,-200,9,17,15.010555555555555,1.7582194612336304,0.11676294109954348,1.0,52.994705882352946,39.34058823529411,True
V1-RSC,1,-150,9,17,12.314444444444446,1.4022903806884615,0.19841956384937592,1.0,50.40411764705883,39.34058823529411,True
V1-RSC,1,-100,9,17,9.39777777777778,1.0748446012490065,0.3137899381278759,1.0,47.317647058823525,39.34058823529411,True
V1-RSC,1,-70,9,17,4.342777777777779,0.5457905681984805,0.600093943035196,1.0,41.80117647058824,39.34058823529411,True
V1-RSC,1,-50,9,17,5.282222222222222,0.6154978832756851,0.5553272583082121,1.0,42.665294117647065,39.34058823529411,True
V1-RSC,1,-40,9,17,5.576666666666666,0.6946510105960093,0.5069432142137027,1.0,43.071176470588235,39.34058823529411,True
V1-RSC,1,-30,9,17,-2.408888888888888,-0.30221920253963513,0.770193025569091,1.0,34.8029411764706,39.34058823529411,True
V1-RSC,1,-20,9,17,-5.7711111111111135,-0.9013564022065558,0.393724946619054,1.0,31.465294117647062,39.34058823529411,True
V1-RSC,1,-10,9,17,-12.641666666666667,-2.0375823351498754,0.07595830942177598,0.7595830942177597,24.598823529411764,39.34058823529411,True
V1-RSC,1,10,9,17,-12.32,-2.123999161098134,0.06641049690789659,0.6641049690789659,25.36529411764706,39.34058823529411,True
V1-RSC,1,20,9,17,1.6272222222222235,0.2953395058219764,0.7752545890914286,1.0,40.15176470588235,39.34058823529411,True
V1-RSC,1,30,9,17,14.252777777777778,1.706133844747621,0.12637378693819068,1.0,53.588235294117645,39.34058823529411,True
V1-RSC,1,40,9,17,10.470555555555556,1.2610968314447784,0.24280556889162436,1.0,49.515882352941176,39.34058823529411,True
V1-RSC,1,50,9,17,9.72888888888889,1.2213916342361453,0.25670726494007373,1.0,48.48882352941176,39.34058823529411,True
V1-RSC,1,70,9,17,9.188888888888888,1.0377993536974432,0.32971088892765754,1.0,47.12764705882353,39.34058823529411,True
V1-RSC,1,100,9,17,13.078333333333331,1.326039249338499,0.22143525523625918,1.0,50.87882352941176,39.34058823529411,True
V1-RSC,1,150,9,17,16.962222222222223,1.8878516786920023,0.09574195236036162,0.9574195236036163,55.313529411764705,39.34058823529411,True
V1-RSC,1,200,9,17,17.650555555555556,1.8614122141736442,0.09971409087940215,0.9971409087940215,55.79294117647059,39.34058823529411,True
V1-RSC,1,250,9,17,20.87666666666667,2.4708572410800262,0.038658748571253655,0.38658748571253654,59.28176470588235,39.34058823529411,True
CA1-RSC,3,-250,2,2,15.150000000000002,0.6943171402383137,0.6136343312215737,1.0,72.615,57.464999999999996,True
CA1-RSC,3,-200,2,2,5.525000000000006,0.524442335073565,0.6925064548222943,1.0,62.99,57.464999999999996,True
CA1-RSC,3,-150,2,2,6.045000000000002,1.080428954423593,0.47540066120530805,1.0,63.51,57.464999999999996,True
CA1-RSC,3,-100,2,2,14.045000000000002,4.0887918486171735,0.15270123925903215,1.0,71.50999999999999,57.464999999999996,True
CA1-RSC,3,-70,2,2,21.150000000000006,2.035611164581329,0.2906968340076883,1.0,78.61500000000001,57.464999999999996,True
CA1-RSC,3,-50,2,2,30.535000000000004,3.0428500249128043,0.20213948578382135,1.0,88.0,57.464999999999996,True
CA1-RSC,3,-40,2,2,16.67,2.9245614035087706,0.2097464438605261,1.0,74.13499999999999,57.464999999999996,True
CA1-RSC,3,-30,2,2,28.83,2.4473684210526314,0.2469447827901506,1.0,86.29499999999999,57.464999999999996,True
CA1-RSC,3,-20,2,2,13.765000000000008,2.0840272520817584,0.28481736436545113,1.0,71.23,57.464999999999996,True
CA1-RSC,3,-10,2,2,24.445000000000007,2.407188577055638,0.25065657556067267,1.0,81.91,57.464999999999996,True
CA1-RSC,3,10,2,2,28.5,2.590909090909091,0.23449820649921813,1.0,85.965,57.464999999999996,True
CA1-RSC,3,20,2,2,20.47,1.226482923906531,0.43546356831558103,1.0,77.935,57.464999999999996,True
CA1-RSC,3,30,2,2,24.535000000000004,4.308165057067604,0.14519925533002942,1.0,82.0,57.464999999999996,True
CA1-RSC,3,40,2,2,30.230000000000004,2.148542999289269,0.27731956695745996,1.0,87.695,57.464999999999996,True
CA1-RSC,3,50,2,2,23.925000000000004,4.276139410187664,0.14624898303721845,1.0,81.39,57.464999999999996,True
CA1-RSC,3,70,2,2,9.755000000000006,0.5162741465996299,0.6965984745292688,1.0,67.22,57.464999999999996,True
CA1-RSC,3,100,2,2,14.015,0.7163301814464607,0.6042759105360709,1.0,71.47999999999999,57.464999999999996,True
