animal,learner,pair,ordinal,trial_id,n_bins,cc1,ifi,optimal_lag,gini_part_x,gini_part_y
71,0,CA1-CA3,7,7,492,0.3545,0.1173,0,0.6316,0.4428
71,0,CA1-CA3,10,10,533,0.2918,-0.2728,0,0.5314,0.4141
71,0,CA1-DG,1,1,712,0.2472,-0.0418,0,0.6414,0.4331
71,0,CA1-DG,4,4,523,0.4001,0.0422,0,0.6671,0.4192
71,0,CA1-DG,7,7,492,0.3654,-0.1671,0,0.5768,0.4407
71,0,CA1-DG,10,10,533,0.3653,-0.2516,0,0.6009,0.4139
71,0,CA1-V1,1,1,712,0.0518,-0.8791,-10,0.6288,0.4998
71,0,CA1-V1,4,4,523,-0.0266,-0.0276,-5,0.5304,0.5326
71,0,CA1-V1,7,7,492,0.0614,1.0,5,0.5759,0.5105
71,0,CA1-V1,10,10,533,0.0668,0.1218,10,0.5656,0.4948
71,0,CA3-DG,1,1,712,0.5196,-0.1031,0,0.5771,0.5925
71,0,CA3-DG,4,4,523,0.6005,0.0176,0,0.5684,0.5247
71,0,CA3-DG,7,7,492,0.6951,0.0239,0,0.5818,0.5137
71,0,CA3-DG,10,10,533,0.5453,0.1285,0,0.5911,0.5215
71,0,CA1-SUB,1,1,712,0.1348,0.1375,0,0.6465,0.4024
71,0,CA1-SUB,4,4,523,0.2144,-0.3128,0,0.5499,0.4177
71,0,CA1-SUB,7,7,492,0.2001,-0.2692,0,0.4999,0.4132
71,0,CA1-SUB,10,10,533,0.1406,0.0698,0,0.5893,0.3928
71,0,RSC-SUB,1,1,712,0.2394,0.3053,0,0.5155,0.5479
71,0,RSC-SUB,4,4,523,0.2689,0.4562,0,0.491,0.5578
71,0,RSC-SUB,7,7,492,0.2752,0.0264,0,0.4798,0.5646
71,0,RSC-SUB,10,10,533,0.1629,0.5892,0,0.4883,0.4998
71,0,V1-RSC,1,1,712,0.4068,0.0275,0,0.4069,0.4961
71,0,V1-RSC,4,4,523,0.3069,0.1466,0,0.4849,0.477
71,0,V1-RSC,7,7,492,0.5173,-0.017,0,0.4159,0.5102
71,0,V1-RSC,10,10,533,0.2554,0.0215,0,0.4387,0.4706
73,1,CA1-RSC,1,1,1130,0.0204,-0.277,-10,0.5137,0.4875
73,1,CA1-RSC,4,4,885,0.0555,0.1125,6,0.4389,0.4664
