animal,pair,window_bins,window_ms,n_dims,n_pos,n_neg,mixed,frac_pos
66,V1-RSC,3,30,5,5,0,0,1.0
66,V1-RSC,4,40,5,5,0,0,1.0
66,V1-RSC,5,50,5,4,1,1,0.8
66,V1-RSC,6,60,5,4,1,1,0.8
66,V1-RSC,7,70,5,4,1,1,0.8
66,V1-RSC,8,80,5,3,2,1,0.6
66,V1-RSC,9,90,5,2,3,1,0.4
66,V1-RSC,10,100,5,2,3,1,0.4
66,V1-RSC,11,110,5,1,4,1,0.2
66,V1-RSC,12,120,5,1,4,1,0.2
66,V1-RSC,13,130,5,1,4,1,0.2
66,V1-RSC,14,140,5,1,4,1,0.2
66,V1-RSC,15,150,5,0,5,0,0.0
66,V1-RSC,16,160,5,0,5,0,0.0
66,V1-RSC,17,170,5,0,5,0,0.0
66,V1-RSC,18,180,5,0,5,0,0.0
66,V1-RSC,19,190,5,0,5,0,0.0
66,V1-RSC,20,200,5,0,5,0,0.0
66,V1-RSC,21,210,5,0,5,0,0.0
66,V1-RSC,22,220,5,0,5,0,0.0
66,V1-RSC,23,230,5,0,5,0,0.0
66,V1-RSC,24,240,5,0,5,0,0.0
66,V1-RSC,25,250,5,0,5,0,0.0
68,CA1-CA3,1,10,5,2,3,1,0.4
68,CA1-CA3,2,20,5,1,4,1,0.2
68,CA1-CA3,3,30,5,1,4,1,0.2
68,CA1-CA3,4,40,5,0,5,0,0.0
68,CA1-CA3,5,50,5,1,4,1,0.2
68,CA1-CA3,6,60,5,1,4,1,0.2
68,CA1-CA3,7,70,5,1,4,1,0.2
68,CA1-CA3,8,80,5,1,4,1,0.2
68,CA1-CA3,9,90,5,1,4,1,0.2
68,CA1-CA3,10,100,5,1,4,1,0.2
68,CA1-CA3,11,110,5,1,4,1,0.2
68,CA1-CA3,12,120,5,0,5,0,0.0
68,CA1-CA3,13,130,5,0,5,0,0.0
68,CA1-CA3,14,140,5,1,4,1,0.2
68,CA1-CA3,15,150,5,1,4,1,0.2
68,CA1-CA3,16,160,5,1,4,1,0.2
68,CA1-CA3,17,170,5,1,4,1,0.2
68,CA1-CA3,18,180,5,1,4,1,0.2
68,CA1-CA3,19,190,5,1,4,1,0.2
68,CA1-CA3,20,200,5,1,4,1,0.2
68,CA1-CA3,21,210,5,1,4,1,0.2
