pair,group,metric,contrast,unit,n,mean_a,mean_b,delta,t,p,bh_pass
CA1-RSC,all,peak_minus_far,intermediate-naive,ccs,79,0.025286044303797467,0.02861693037974684,0.003330886075949367,2.326811318481914,0.022571800170884653,False
CA1-CA3,all,peak_minus_far,intermediate-naive,ccs,70,0.09419660714285712,0.09871078571428571,0.004514178571428574,1.2210253966734694,0.2262323415480858,False
CA1-DG,all,peak_minus_far,intermediate-naive,ccs,75,0.060903633333333346,0.061286355555555554,0.00038272222222222304,0.16472177769046645,0.8696121067723969,False
CA1-V1,all,peak_minus_far,intermediate-naive,ccs,98,0.016816981292517005,0.01713581632653061,0.0003188350340136047,0.4947369173593862,0.6219045658185838,False
CA3-DG,all,peak_minus_far,intermediate-naive,ccs,40,0.12879645833333334,0.14608960416666666,0.017293145833333336,4.532148732326331,5.412410766370656e-05,True
CA1-SUB,all,peak_minus_far,intermediate-naive,ccs,36,0.030935810185185177,0.035908564814814824,0.00497275462962963,2.4262599479286386,0.020546449030704114,False
RSC-SUB,all,peak_minus_far,intermediate-naive,ccs,36,0.03619560185185186,0.038493449074074065,0.0022978472222222202,1.4779705469404765,0.14835903753053525,False
V1-RSC,all,peak_minus_far,intermediate-naive,ccs,60,0.03467909722222222,0.03673240277777778,0.0020533055555555534,1.7105199681151926,0.09242375777230194,False
CA1-RSC,FF,ifi,expert-naive,animals,8,0.07324614525266594,0.13091415362996153,0.0576680083772956,0.8818553301509421,0.4071150300526567,False
CA1-CA3,FF,ifi,expert-naive,animals,7,0.030600182201728787,0.15876428097820944,0.12816409877648066,1.0438055351377702,0.3367942326594455,False
CA1-DG,FF,ifi,expert-naive,animals,8,-0.05789615079217881,0.08213491762248643,0.14003106841466526,1.2148744505459317,0.26379833139794945,False
CA1-V1,FF,ifi,expert-naive,animals,9,0.01861123562414624,0.008383948262147448,-0.010227287361998781,-0.15574411460466717,0.8800929006111672,False
CA3-DG,FF,ifi,expert-naive,animals,4,-0.0473223545745315,0.0031145199134991787,0.05043687448803068,0.8644043017859568,0.45094810239945493,False
CA1-SUB,FF,ifi,expert-naive,animals,3,-0.2704231206505888,0.5495032920394375,0.8199264126900263,10.025262251689973,0.009803592836477864,False
RSC-SUB,FF,ifi,expert-naive,animals,3,0.06851851803186139,0.03016539487772646,-0.03835312315413494,-0.8750427212996107,0.47382920339260415,False
V1-RSC,FF,ifi,expert-naive,animals,6,0.0700879520045144,0.060201324012615805,-0.009886627991898584,-0.4434574543744176,0.6759660497406608,False
CA1-RSC,FB,ifi,expert-naive,animals,8,-0.21826299192911852,0.018339772272027342,0.23660276420114584,2.4169897865648102,0.04629633651707242,False
CA1-CA3,FB,ifi,expert-naive,animals,7,-0.03385739255634109,-0.09662264388011439,-0.06276525132377327,-0.5707686025410175,0.588878504335576,False
CA1-DG,FB,ifi,expert-naive,animals,8,0.024543079155381498,-0.009762219484477908,-0.034305298639859406,-0.42567201070738697,0.6831284899652577,False
CA1-V1,FB,ifi,expert-naive,animals,10,0.023552231440155627,-0.0516133994850013,-0.07516563092515693,-1.644474472344411,0.1344893239663163,False
CA3-DG,FB,ifi,expert-naive,animals,4,-0.21496191163686773,-0.17669049548196147,0.03827141615490623,0.4419769932103621,0.6884258911814944,False
CA1-SUB,FB,ifi,expert-naive,animals,4,-0.3175133745062235,-0.12731042953477614,0.19020294497144735,1.1638699372035692,0.32862651711299207,False
RSC-SUB,FB,ifi,expert-naive,animals,4,-0.0766823395865836,-0.08951212594077197,-0.01282978635418838,-0.35783124156011387,0.744164763674536,False
V1-RSC,FB,ifi,expert-naive,animals,6,-0.016840894524877952,-0.04539377960251482,-0.02855288507763688,-1.262618937457758,0.26240938896334626,False
CA1-RSC,FF,peak_r,expert-naive,animals,8,0.040564794642857144,0.056907876488095234,0.016343081845238097,2.4555569666859314,0.043749344095576355,False
CA1-CA3,FF,peak_r,expert-naive,animals,7,0.07744079251700679,0.09080928231292516,0.013368489795918367,2.12592883631394,0.07764480069014883,False
CA1-DG,FF,peak_r,expert-naive,animals,8,0.052150479166666666,0.05899027083333334,0.006839791666666669,3.620083027135668,0.00850925677485961,True
CA1-V1,FF,peak_r,expert-naive,animals,9,0.04086475925925926,0.062307214285714285,0.021442455026455025,5.2020606017594435,0.0008203357639027612,True
CA3-DG,FF,peak_r,expert-naive,animals,4,0.13838104166666665,0.14985583333333333,0.011474791666666664,5.51733724640095,0.011726433695156012,True
CA1-SUB,FF,peak_r,expert-naive,animals,3,0.018574666666666666,0.032524666666666674,0.013949999999999999,1.2609556758185472,0.33449390224822717,False
RSC-SUB,FF,peak_r,expert-naive,animals,3,0.03575285714285714,0.03627238095238095,0.0005195238095238095,0.07338833500409278,0.9481763423267219,False
V1-RSC,FF,peak_r,expert-naive,animals,6,0.10646722222222223,0.1365998293650794,0.030132607142857145,2.8441178976371053,0.03607171039859236,False
CA1-RSC,FB,peak_r,expert-naive,animals,8,0.03591208333333333,0.05615733333333334,0.020245250000000003,2.533389470218138,0.0390391449551721,False
CA1-CA3,FB,peak_r,expert-naive,animals,7,0.0853097619047619,0.09410504761904762,0.008795285714285722,2.1208839007050253,0.07818788553851881,False
CA1-DG,FB,peak_r,expert-naive,animals,8,0.06288411458333333,0.06296777529761904,8.366071428571363e-05,0.021610461736747386,0.9833617939954192,False
CA1-V1,FB,peak_r,expert-naive,animals,10,0.039079334126984125,0.06324978253968254,0.024170448412698418,3.992501179387695,0.00314582924115471,True
CA3-DG,FB,peak_r,expert-naive,animals,4,0.11966761904761905,0.13736858630952384,0.017700967261904767,7.344765041588716,0.005215408999115555,True
CA1-SUB,FB,peak_r,expert-naive,animals,4,0.03541983333333333,0.04511322222222222,0.009693388888888887,1.3494190780237616,0.27000454959786685,False
RSC-SUB,FB,peak_r,expert-naive,animals,4,0.06283207142857145,0.07962611904761904,0.01679404761904761,2.942138783955508,0.06040593745276237,False
V1-RSC,FB,peak_r,expert-naive,animals,6,0.07372069444444444,0.09864447222222221,0.02492377777777778,2.2800998037524516,0.07152915363791873,False
