animal,pair,ordinal,matched,tail_abs_r,degenerate_trial
66,CA1-DG,1,2,0.021872000000000003,0
66,CA1-DG,2,0,0.015108000000000002,0
66,CA1-DG,2,1,0.015108000000000002,0
66,CA1-DG,2,2,0.01799,0
66,CA1-DG,3,0,0.017456,0
66,CA1-DG,3,2,0.01891,0
66,CA1-DG,4,0,0.013622,0
66,CA1-DG,4,2,0.015384,0
66,CA1-DG,5,0,0.031534,0
66,CA1-DG,5,2,0.03605200000000001,0
66,CA1-DG,6,0,0.016999999999999998,0
66,CA1-DG,6,2,0.016999999999999998,0
66,CA1-DG,7,0,0.025617999999999995,0
66,CA1-DG,7,2,0.024212,0
66,CA1-DG,8,0,0.016214,0
66,CA1-DG,8,2,0.016046,0
66,CA1-DG,9,0,0.017487999999999997,0
66,CA1-DG,9,2,0.015531999999999999,0
66,CA1-DG,10,0,0.014707999999999999,0
66,CA1-DG,10,2,0.015629999999999998,0
66,CA1-RSC,1,0,0.014521999999999998,0
66,CA1-RSC,1,1,0.010974,0
66,CA1-RSC,1,2,0.011149999999999998,0
66,CA1-RSC,2,0,0.017118,0
66,CA1-RSC,2,1,0.017118,0
66,CA1-RSC,2,2,0.024419999999999997,0
66,CA1-RSC,3,0,0.016854,0
66,CA1-RSC,3,2,0.020927999999999995,0
66,CA1-RSC,4,0,0.017524,0
66,CA1-RSC,4,2,0.015373999999999999,0
66,CA1-RSC,5,0,0.011026,0
66,CA1-RSC,5,2,0.012211999999999997,0
66,CA1-RSC,6,0,0.014604,0
66,CA1-RSC,6,2,0.014604,0
66,CA1-RSC,7,0,0.022954,0
66,CA1-RSC,7,2,0.020466,0
66,CA1-RSC,8,0,0.0268,0
66,CA1-RSC,8,2,0.027783999999999996,0
66,CA1-RSC,9,0,0.011902,0
66,CA1-RSC,9,2,0.01702,0
66,CA1-RSC,10,0,0.022143999999999997,0
66,CA1-RSC,10,2,0.02373,0
66,CA1-SUB,1,0,0.012378,0
66,CA1-SUB,1,1,0.016888,0
66,CA1-SUB,1,2,0.017072,0
66,CA1-SUB,2,0,0.025424000000000002,0
66,CA1-SUB,2,1,0.025424000000000002,0
66,CA1-SUB,2,2,0.030059999999999996,0
66,CA1-SUB,3,0,0.019312,0
66,CA1-SUB,3,2,0.02065,0
66,CA1-SUB,4,0,0.03796000000000001,0
66,CA1-SUB,4,2,0.03712,0
66,CA1-SUB,5,0,0.021092,0
66,CA1-SUB,5,2,0.022246,0
66,CA1-SUB,6,0,0.018618000000000003,0
66,CA1-SUB,6,2,0.018618000000000003,0
66,CA1-SUB,7,0,0.014391999999999999,0
66,CA1-SUB,7,2,0.023004000000000004,0
66,CA1-SUB,8,0,0.027632,0
66,CA1-SUB,8,2,0.029576,0
66,CA1-SUB,9,0,0.028662000000000003,0
66,CA1-SUB,9,2,0.033734,0
66,CA1-SUB,10,0,0.035702,0
66,CA1-SUB,10,2,0.034972,0
66,CA1-V1,1,0,0.015871999999999997,0
66,CA1-V1,1,1,0.015582000000000002,0
66,CA1-V1,1,2,0.021668,0
66,CA1-V1,2,0,0.02049,0
66,CA1-V1,2,1,0.02049,0
66,CA1-V1,2,2,0.01555,0
66,CA1-V1,3,0,0.028808,0
66,CA1-V1,3,2,0.032294,0
66,CA1-V1,4,0,0.013336,0
66,CA1-V1,4,2,0.013191999999999999,0
66,CA1-V1,5,0,0.03251,0
66,CA1-V1,5,2,0.032533999999999993,0
66,CA1-V1,6,0,0.022164,0
66,CA1-V1,6,2,0.022164,0
66,CA1-V1,7,0,0.021972,0
66,CA1-V1,7,2,0.019874,0
66,CA1-V1,8,0,0.019382,0
66,CA1-V1,8,2,0.02134,0
66,CA1-V1,9,0,0.01754,0
66,CA1-V1,9,2,0.016905999999999997,0
66,CA1-V1,10,0,0.023927999999999998,0
66,CA1-V1,10,2,0.024381999999999997,0
66,RSC-SUB,1,0,0.012426,0
66,RSC-SUB,1,1,0.014320000000000003,0
66,RSC-SUB,1,2,0.023282,0
66,RSC-SUB,2,0,0.026458,0
66,RSC-SUB,2,1,0.026458,0
66,RSC-SUB,2,2,0.025897999999999997,0
66,RSC-SUB,3,0,0.009257999999999999,0
66,RSC-SUB,3,2,0.015438000000000002,0
66,RSC-SUB,4,0,0.021534,0
66,RSC-SUB,4,2,0.024388,0
66,RSC-SUB,5,0,0.010225999999999999,0
66,RSC-SUB,5,2,0.011358,0
66,RSC-SUB,6,0,0.018326000000000002,0
66,RSC-SUB,6,2,0.018326000000000002,0
66,RSC-SUB,7,0,0.016946,0
66,RSC-SUB,7,2,0.018744,0
66,RSC-SUB,8,0,0.019566,0
66,RSC-SUB,8,2,0.020576,0
66,RSC-SUB,9,0,0.010754,0
66,RSC-SUB,9,2,0.011260000000000001,0
66,RSC-SUB,10,0,0.011464,0
66,RSC-SUB,10,2,0.009048,0
66,V1-RSC,1,0,0.016419999999999997,0
66,V1-RSC,1,1,0.021405999999999998,0
66,V1-RSC,1,2,0.022264,0
66,V1-RSC,2,0,0.017494000000000003,0
66,V1-RSC,2,1,0.017494000000000003,0
66,V1-RSC,2,2,0.025712000000000002,0
66,V1-RSC,3,0,0.022105999999999997,0
66,V1-RSC,3,2,0.023408,0
66,V1-RSC,4,0,0.024475999999999998,0
66,V1-RSC,4,2,0.024976000000000005,0
66,V1-RSC,5,0,0.020336,0
66,V1-RSC,5,2,0.021184,0
66,V1-RSC,6,0,0.011206,0
66,V1-RSC,6,2,0.011206,0
66,V1-RSC,7,0,0.025004,0
66,V1-RSC,7,2,0.028352,0
66,V1-RSC,8,0,0.017594,0
66,V1-RSC,8,2,0.018314,0
66,V1-RSC,9,0,0.0124,0
66,V1-RSC,9,2,0.009878000000000001,0
66,V1-RSC,10,0,0.021368,0
66,V1-RSC,10,2,0.023365999999999998,0
68,CA1-CA3,1,0,0.016509999999999997,0
68,CA1-CA3,1,1,0.014132,0
68,CA1-CA3,1,2,0.013501999999999997,0
68,CA1-CA3,2,0,0.017928,0
68,CA1-CA3,2,1,0.017928,0
68,CA1-CA3,2,2,0.017846,0
68,CA1-CA3,3,0,0.013474,0
68,CA1-CA3,3,2,0.013288,0
68,CA1-CA3,4,0,0.017746,0
68,CA1-CA3,4,2,0.017882000000000002,0
68,CA1-CA3,5,0,0.019938,0
68,CA1-CA3,5,2,0.01938,0
