animal,learner,pair,cond,area,unit,contrib
41,1,CA1-V1,cued,CA1,7,1.016858
41,1,CA1-V1,cued,CA1,8,1.033537
41,1,CA1-V1,cued,CA1,9,1.017755
41,1,CA1-V1,cued,CA1,10,0.099789
41,1,CA1-V1,cued,CA1,11,0.997725
41,1,CA1-V1,cued,CA1,12,0.838613
41,1,CA1-V1,cued,CA1,13,0.359051
41,1,CA1-V1,cued,CA1,14,0.976552
41,1,CA1-V1,cued,CA1,15,0.072901
41,1,CA1-V1,cued,CA1,16,0.010524
41,1,CA1-V1,cued,CA1,17,1.130325
41,1,CA1-V1,cued,CA1,18,0.0
41,1,CA1-V1,cued,CA1,19,0.511442
41,1,CA1-V1,cued,CA1,20,0.64432
41,1,CA1-V1,cued,CA1,21,1.127882
41,1,CA1-V1,cued,V1,0,0.036741
41,1,CA1-V1,cued,V1,1,0.035764
41,1,CA1-V1,cued,V1,2,0.052985
41,1,CA1-V1,cued,V1,3,0.057191
41,1,CA1-V1,cued,V1,4,0.039291
41,1,CA1-V1,cued,V1,5,0.110866
41,1,CA1-V1,cued,V1,6,0.043357
41,1,CA1-V1,cued,V1,7,0.008169
41,1,CA1-V1,cued,V1,8,0.087396
41,1,CA1-V1,cued,V1,9,0.159303
41,1,CA1-V1,cued,V1,10,0.076863
41,1,CA1-V1,cued,V1,11,0.153141
41,1,CA1-V1,cued,V1,12,0.04868
41,1,CA1-V1,cued,V1,13,0.177078
41,1,CA1-V1,cued,V1,14,0.009337
41,1,CA1-V1,cued,V1,15,0.043852
41,1,CA1-V1,cued,V1,16,0.013725
41,1,CA1-V1,cued,V1,17,0.077132
41,1,CA1-V1,cued,V1,18,0.007105
41,1,CA1-V1,cued,V1,19,0.086428
41,1,CA1-V1,cued,V1,20,0.039879
41,1,CA1-V1,cued,V1,21,0.231408
41,1,CA1-V1,cued,V1,22,0.067828
41,1,CA1-V1,cued,V1,23,0.044606
41,1,CA1-V1,cued,V1,24,0.042887
41,1,CA1-V1,cued,V1,25,0.053161
41,1,CA1-V1,cued,V1,26,0.001455
41,1,CA1-V1,cued,V1,27,0.01874
41,1,CA1-V1,cued,V1,28,0.116764
41,1,CA1-V1,cued,V1,29,0.049479
41,1,CA1-V1,cued,V1,30,0.015639
41,1,CA1-V1,cued,V1,31,0.054348
41,1,CA1-V1,cued,V1,32,0.072212
41,1,CA1-V1,cued,V1,33,0.051434
41,1,CA1-V1,cued,V1,34,0.072899
41,1,CA1-V1,cued,V1,35,0.075672
