animal,learner,pair,scope,n_bins,cc_kcca,cc_linear,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
73,1,V1-RSC,naive,900,0.1848,0.0849,2,0.0323,0.3687,1,0.4043,0.3896
73,1,V1-RSC,intermediate,900,0.1745,0.1674,2,0.0527,0.2249,0,0.3461,0.2826
73,1,V1-RSC,expert,900,0.4027,0.3328,1,0.0885,0.2889,0,0.3707,0.3368
75,1,CA1-RSC,session,900,0.0647,0.2321,2,0.0048,0.0512,8,0.3249,0.3445
75,1,CA1-RSC,naive,900,0.1376,0.2787,2,0.0191,0.0165,0,0.3979,0.3907
75,1,CA1-RSC,intermediate,900,0.1539,0.172,3,0.0351,-0.0255,-1,0.43,0.3968
75,1,CA1-RSC,expert,900,0.1832,0.5228,2,0.0255,0.8492,0,0.4503,0.3882
75,1,CA1-DG,session,900,0.0829,-0.0045,0,0.0,-0.1944,-2,0.3359,0.4802
75,1,CA1-DG,naive,900,0.2229,0.4058,3,0.0392,-0.0024,0,0.4214,0.5556
75,1,CA1-DG,intermediate,900,0.2811,0.1316,1,0.0411,-0.7122,0,0.3651,0.5254
75,1,CA1-DG,expert,900,0.1934,0.1941,3,0.0459,-0.2892,0,0.3029,0.5681
75,1,CA1-V1,session,900,-0.0028,0.0011,1,0.0025,-0.1653,-8,0.2948,0.2284
75,1,CA1-V1,naive,900,-0.0389,0.2245,1,0.0052,0.1956,4,0.3507,0.2246
75,1,CA1-V1,intermediate,900,0.2598,0.0323,2,0.0411,0.0604,0,0.4095,0.2406
75,1,CA1-V1,expert,900,0.1342,0.1445,1,0.0091,-0.8986,0,0.3946,0.3182
75,1,CA1-SUB,session,900,0.0417,0.0411,0,0.0,0.2599,0,0.3201,0.2275
75,1,CA1-SUB,naive,900,0.042,0.0601,1,0.0095,0.5233,1,0.427,0.2407
75,1,CA1-SUB,intermediate,900,0.166,0.0094,1,0.014,-0.0537,0,0.4168,0.2484
75,1,CA1-SUB,expert,900,0.1373,0.1009,2,0.0171,-0.2199,0,0.3412,0.217
75,1,RSC-SUB,session,900,0.2597,0.1731,3,0.077,0.0591,0,0.3866,0.2611
75,1,RSC-SUB,naive,900,0.274,0.3698,3,0.0526,0.1387,0,0.4121,0.1923
75,1,RSC-SUB,intermediate,900,0.2736,0.3606,3,0.0753,0.2814,0,0.4319,0.2754
75,1,RSC-SUB,expert,900,0.3602,0.1688,3,0.1257,-0.0677,0,0.4187,0.2812
75,1,V1-RSC,session,900,0.4705,0.476,3,0.2847,-0.0331,0,0.2728,0.4175
75,1,V1-RSC,naive,900,0.4194,0.2828,3,0.167,0.0448,0,0.242,0.4313
75,1,V1-RSC,intermediate,900,0.4844,0.348,3,0.3062,0.413,0,0.2615,0.4419
