animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
70,0,CA1-SUB,late,10,40721,0.2992,12,0.2283,-0.0319,-1,0.4352,0.2382,64.35,70.66,,,,,
70,0,RSC-SUB,t1-5,5,29041,0.347,15,0.3957,0.0216,0,0.5421,0.3158,60.48,50.51,89.08,86.76,,,
70,0,RSC-SUB,t1-7,7,41862,0.4507,13,0.6606,0.0317,0,0.5303,0.3127,58.62,41.02,89.15,89.36,,,
70,0,RSC-SUB,t1-10,10,60074,0.246,12,0.5273,0.0354,0,0.5123,0.2552,70.01,70.08,89.07,82.39,,,
70,0,RSC-SUB,late,10,40721,0.506,7,0.3585,0.0548,0,0.519,0.2383,89.49,89.71,,,,,
70,0,V1-RSC,t1-5,5,29041,-0.0739,8,0.204,0.0834,1,0.3722,0.5413,56.56,51.73,82.71,87.19,,,
70,0,V1-RSC,t1-7,7,41862,0.1137,6,0.5631,0.0859,1,0.3542,0.525,81.07,88.96,75.8,86.13,,,
70,0,V1-RSC,t1-10,10,60074,0.487,9,0.3457,0.0722,1,0.3479,0.5089,82.15,88.14,74.33,86.1,,,
70,0,V1-RSC,late,10,40721,-0.267,12,0.5934,0.0016,0,0.3326,0.5173,64.01,78.85,,,,,
71,0,CA1-RSC,t1-5,5,14277,0.0732,10,1.1773,-0.0136,-9,0.3128,0.5574,88.34,88.57,85.75,83.0,,,
71,0,CA1-RSC,t1-7,7,19427,0.1676,7,0.0909,-0.0127,0,0.284,0.5508,84.9,89.63,88.18,89.65,,,
71,0,CA1-RSC,t1-10,10,27314,-0.1633,6,0.1228,-0.0227,0,0.2888,0.568,85.92,85.48,83.32,89.02,,,
71,0,CA1-RSC,late,10,27236,-0.0096,8,0.6026,-0.0221,0,0.1737,0.4878,81.32,87.42,,,,,
71,0,CA1-CA3,t1-5,5,14277,-0.1015,6,0.4649,-0.006,0,0.3159,0.3449,86.68,81.98,87.55,83.82,,,
71,0,CA1-CA3,t1-7,7,19427,0.4885,10,0.4979,-0.017,0,0.2859,0.3565,77.28,85.69,87.54,87.48,,,
71,0,CA1-CA3,t1-10,10,27314,0.4822,9,0.7146,-0.0125,0,0.2901,0.3821,80.3,84.89,81.76,85.07,,,
71,0,CA1-CA3,late,10,27236,0.5352,8,0.7675,0.0505,0,0.173,0.3917,45.83,55.7,,,,,
71,0,CA1-DG,t1-5,5,14277,0.337,9,0.2299,0.0195,-4,0.314,0.534,75.87,85.23,79.44,87.93,,,
71,0,CA1-DG,t1-7,7,19427,0.3608,11,0.2606,0.033,0,0.2846,0.5524,87.65,84.03,88.93,85.69,,,
71,0,CA1-DG,t1-10,10,27314,0.3649,9,0.249,0.047,2,0.2896,0.5442,61.55,59.93,88.51,82.58,,,
71,0,CA1-DG,late,10,27236,0.1466,2,0.0183,0.0391,4,0.1725,0.4426,78.45,79.33,,,,,
71,0,CA1-V1,t1-5,5,14277,0.1031,7,0.417,0.0123,0,0.3146,0.3229,67.37,88.11,89.22,88.38,,,
71,0,CA1-V1,t1-7,7,19427,0.0641,5,0.1264,0.0159,4,0.285,0.3149,83.61,83.9,87.19,89.39,,,
