animal,learner,pair,scope,n_bins,cc_kcca,cc_linear,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y
77,1,CA1-DG,session,900,0.0588,0.2688,2,0.002,-0.3553,-4,0.1791,0.2482
77,1,CA1-DG,naive,900,0.053,-0.5507,3,0.0033,0.5123,1,0.1995,0.3349
77,1,CA1-DG,intermediate,900,0.05,0.0446,0,0.0,-0.6743,-1,0.2646,0.3053
77,1,CA1-DG,expert,900,0.0856,0.0474,0,0.0,-0.0682,1,0.3214,0.2637
77,1,CA1-V1,session,900,0.0579,0.098,2,0.0046,0.3421,3,0.3711,0.3483
77,1,CA1-V1,naive,900,-0.0599,-0.1033,0,0.0,0.2564,4,0.4335,0.3163
77,1,CA1-V1,intermediate,900,0.0673,0.1698,2,0.0025,-1.0,-3,0.246,0.2149
77,1,CA1-V1,expert,900,0.0091,0.0163,1,0.0056,-0.4101,-4,0.3482,0.2655
77,1,CA1-SUB,session,900,0.0278,-0.0378,0,0.0,-0.1786,0,0.3207,0.4568
77,1,CA1-SUB,naive,900,0.0584,-0.3757,0,0.0,0.133,4,0.2921,0.5209
77,1,CA1-SUB,intermediate,900,0.0016,0.041,1,0.0018,1.0,0,0.3194,0.4155
77,1,CA1-SUB,expert,900,-0.0385,-0.0212,0,0.0,-0.0271,4,0.2467,0.4957
77,1,RSC-SUB,session,900,0.0991,0.0743,2,0.0139,-0.0649,2,0.2826,0.3768
77,1,RSC-SUB,naive,900,0.0373,0.0717,2,0.0325,-0.3301,-1,0.3303,0.3607
77,1,RSC-SUB,intermediate,900,0.0778,0.0408,1,0.003,-0.288,-2,0.3125,0.3873
77,1,RSC-SUB,expert,900,0.1086,0.1705,2,0.0399,-0.1654,-3,0.2999,0.4746
77,1,V1-RSC,session,900,0.3296,0.0633,2,0.078,0.1012,0,0.3154,0.2865
77,1,V1-RSC,naive,900,0.3745,0.309,2,0.0999,0.2099,0,0.3273,0.3523
77,1,V1-RSC,intermediate,900,0.3775,0.2807,2,0.11,-0.1289,0,0.3113,0.3091
77,1,V1-RSC,expert,900,0.1642,0.1743,1,0.0456,-0.1258,-3,0.3974,0.3332
98,0,CA1-RSC,session,900,0.0651,0.0304,0,0.0,0.2144,-3,0.2214,0.3195
98,0,CA1-CA3,session,900,0.5191,0.5412,3,0.2279,0.175,0,0.4262,0.4241
100,0,CA1-RSC,session,900,0.0238,0.2327,0,0.0,-0.343,-3,0.2534,0.2782
100,0,CA1-DG,session,900,0.447,0.3083,2,0.1209,-0.3644,0,0.2763,0.417
100,0,CA1-V1,session,900,0.1182,0.0243,3,0.0099,0.0085,0,0.2732,0.2535
100,0,CA1-SUB,session,900,0.018,0.0615,1,0.0086,-0.8564,0,0.2354,0.2603
100,0,RSC-SUB,session,900,0.0792,-0.1186,0,0.0,-0.3836,0,0.2801,0.232
100,0,V1-RSC,session,900,0.2823,0.298,3,0.0687,-0.5909,0,0.3204,0.2747
