animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,rot_x,rot_y,rot_x_cc1,rot_y_cc1,jac_x,jac_y,sh_x,sh_y,sh_x_cc1,sh_y_cc1
28,1,CA3-DG,33.0,0.2353,0.27,-36.0,14000,0.4847,4,0.1715,0.0072,0,0.6473,0.2503,0.6749,0.4394,79.53,88.56,13.63,7.26,1.0,0.3333,86.72,70.24,72.79,25.32
28,1,CA3-DG,38.0,0.2721,0.3182,-31.0,12000,0.3551,3,0.0909,-0.1575,-3,0.5709,0.3865,0.6611,0.4561,39.82,14.04,13.74,24.16,0.3333,0.6,86.27,28.5,89.52,74.62
28,1,CA3-DG,43.0,0.3088,0.3746,-26.0,14000,0.4469,2,0.1279,-0.0582,-1,0.5862,0.4518,0.7272,0.4786,82.69,16.84,9.54,10.92,0.3333,0.3333,88.51,26.07,18.59,61.5
28,1,CA3-DG,48.0,0.3456,0.3465,-21.0,14000,0.5119,2,0.1626,0.0485,0,0.6273,0.5156,0.6607,0.4481,89.82,19.71,8.58,20.07,0.3333,0.1429,88.54,21.61,38.77,78.19
28,1,CA3-DG,53.0,0.3824,0.3593,-16.0,14000,0.5311,3,0.1928,-0.0,0,0.6567,0.1876,0.6859,0.4972,89.29,89.99,12.39,11.18,0.6,0.0,86.76,75.74,36.06,8.57
28,1,CA3-DG,58.0,0.4191,0.3158,-11.0,14000,0.5122,5,0.4474,-0.0006,0,0.9626,0.521,0.5699,0.4256,89.97,89.71,86.61,64.59,0.3333,0.6,86.57,20.56,0.0,51.06
28,1,CA3-DG,63.0,0.4559,0.3796,-6.0,14000,0.2684,4,0.2325,0.0227,0,0.9176,0.5134,0.4607,0.4511,85.01,11.42,16.04,25.8,1.0,0.6,8.35,22.2,30.31,2.77
28,1,CA3-DG,68.0,0.4926,0.476,-1.0,14000,0.4951,4,0.1621,0.0104,0,0.6291,0.0919,0.659,0.4365,90.0,80.69,84.28,89.95,0.3333,0.6,84.74,78.9,18.14,11.88
28,1,CA3-DG,73.0,0.5294,0.5182,4.0,14000,0.5365,8,0.3136,0.0212,0,0.9709,0.0864,0.4652,0.3989,89.83,83.17,86.29,6.01,0.6,0.3333,90.0,44.78,90.0,42.73
28,1,CA3-DG,78.0,0.5662,0.6613,9.0,14000,0.4397,7,0.2749,0.0212,0,0.9401,0.1685,0.505,0.3763,86.47,83.38,38.24,8.67,0.3333,0.3333,52.1,26.76,0.0,13.32
28,1,CA3-DG,83.0,0.6029,0.7651,14.0,16000,0.3894,4,0.1264,0.0456,0,0.1616,0.2647,0.5076,0.4562,86.64,73.36,87.72,20.06,0.3333,0.6,57.2,51.93,8.75,7.66
28,1,CA3-DG,88.0,0.6397,0.9155,19.0,14000,0.4384,2,0.1169,-0.0064,0,0.2249,0.3277,0.6054,0.4756,78.25,89.4,7.4,28.19,0.3333,0.3333,65.05,60.18,9.53,37.47
28,1,CA3-DG,93.0,0.6765,0.9833,24.0,14000,0.5408,8,0.308,-0.0186,0,0.2637,0.3265,0.5108,0.4625,54.93,65.52,4.06,22.79,0.6,0.6,86.99,83.69,11.52,54.91
28,1,CA3-DG,98.0,0.7132,1.0,29.0,14000,0.5144,3,0.1826,0.0132,0,0.2202,0.5574,0.5503,0.3947,55.54,32.62,6.56,10.97,0.3333,0.6,89.14,30.76,12.32,20.34
28,1,CA3-DG,103.0,0.75,0.9333,34.0,14000,0.5267,10,0.3318,0.0211,0,0.207,0.4583,0.5669,0.4204,57.4,12.23,7.21,16.38,0.6,0.6,87.71,33.34,22.92,41.6
28,1,CA3-DG,108.0,0.7868,0.8565,39.0,14000,0.4115,2,0.1,0.048,0,0.1954,0.3563,0.5554,0.4497,81.32,42.84,7.72,13.44,0.1429,0.6,85.12,74.29,21.28,28.82
28,1,CA3-DG,113.0,0.8235,0.7989,44.0,18000,0.4318,3,0.1188,0.042,0,0.2005,0.3784,0.5679,0.4274,44.78,66.78,4.77,9.32,0.3333,0.6,64.62,29.76,7.97,11.21
28,1,CA3-DG,118.0,0.8603,0.7434,49.0,16000,0.4403,2,0.1152,0.0388,0,0.2733,0.3255,0.5469,0.4383,31.88,23.46,5.69,18.53,0.6,0.3333,65.97,41.93,6.3,11.12
28,1,CA3-DG,123.0,0.8971,0.7314,54.0,14000,0.5055,9,0.3328,0.0082,0,0.3615,0.4778,0.5282,0.426,65.19,40.92,5.97,15.61,1.0,0.6,50.76,36.56,77.25,18.83
28,1,CA3-DG,128.0,0.9338,0.6867,59.0,14000,0.3584,2,0.0761,0.0441,0,0.2608,0.3825,0.5661,0.4014,54.59,30.94,10.77,17.91,1.0,0.6,89.81,68.92,51.65,63.12
34,1,CA1-CA3,8.0,0.0933,0.1333,-40.0,14000,0.4032,8,0.2507,-0.0118,0,0.9859,0.3339,0.5315,0.4221,nan,nan,nan,nan,,,79.01,63.85,0.0,73.07
34,1,CA1-CA3,13.0,0.16,0.2667,-35.0,14000,0.326,3,0.088,0.0099,5,0.2512,0.3384,0.4763,0.4307,89.88,54.61,88.22,13.56,0.2727,0.6,82.7,84.08,17.78,35.48
34,1,CA1-CA3,18.0,0.2267,0.3171,-30.0,14000,0.4168,2,0.1205,-0.0073,0,0.3901,0.1944,0.5064,0.431,74.87,32.11,15.03,11.94,0.2727,0.6,66.66,70.21,45.49,13.56
34,1,CA1-CA3,23.0,0.2933,0.3068,-25.0,16000,0.8637,8,0.9802,-0.0001,0,0.9259,0.932,0.6407,0.5956,88.89,90.0,89.77,89.0,0.4,0.6,76.05,64.97,0.0,1.12
34,1,CA1-CA3,28.0,0.36,0.2905,-20.0,18000,0.1827,3,0.0755,0.0091,0,0.9624,0.3482,0.4634,0.3565,48.62,87.33,77.86,88.92,0.4,0.6,31.22,89.28,0.21,89.48
34,1,CA1-CA3,33.0,0.4267,0.386,-15.0,16000,0.2358,2,0.0508,0.0276,0,0.9659,0.1904,0.4449,0.373,47.77,40.22,74.85,6.88,0.5556,0.6,84.99,71.13,2.79,13.25
34,1,CA1-CA3,38.0,0.4933,0.5303,-10.0,18000,0.2814,4,0.0972,0.0151,0,0.9231,0.1011,0.4192,0.3761,48.7,46.77,48.55,13.43,0.2727,0.3333,74.61,24.07,3.72,22.75
34,1,CA1-CA3,43.0,0.56,0.5344,-5.0,18000,0.2946,3,0.0735,0.0319,0,0.9507,0.0419,0.4529,0.3707,41.42,46.77,41.43,21.65,0.4,0.3333,37.16,60.95,10.84,11.69
34,1,CA1-CA3,48.0,0.6267,0.5781,0.0,16000,0.442,6,0.2052,0.0482,0,0.906,0.0693,0.4288,0.3802,41.43,48.03,41.97,11.15,0.5556,0.3333,58.72,60.66,1.39,15.47
34,1,CA1-CA3,53.0,0.6933,0.6539,5.0,14000,0.387,2,0.1134,0.0578,0,0.2419,0.1242,0.492,0.3642,89.91,77.51,85.54,8.83,0.2727,0.6,84.21,66.06,17.68,13.27
34,1,CA1-CA3,58.0,0.76,0.8361,10.0,12000,0.6618,6,0.5077,0.0306,0,0.9187,0.1576,0.4213,0.3254,89.94,86.41,88.47,10.13,0.5556,1.0,44.72,83.89,0.66,56.08
34,1,CA1-CA3,63.0,0.8267,0.908,15.0,16000,0.4336,5,0.1981,0.0325,0,0.9221,0.1127,0.4351,0.3533,21.69,39.14,0.53,10.18,0.5556,0.3333,28.97,59.91,0.59,9.06
34,1,CA1-CA3,68.0,0.8933,0.9141,20.0,14000,0.4039,2,0.1244,0.0458,0,0.2597,0.121,0.5137,0.3879,89.86,52.8,88.2,17.64,0.4,0.6,71.36,76.5,18.17,11.24
34,1,CA1-V1,8.0,0.0933,0.1333,-40.0,14000,0.236,1,0.0286,0.0062,0,0.898,0.4758,0.2238,0.1936,nan,nan,nan,nan,,,76.38,73.55,1.14,46.31
34,1,CA1-V1,13.0,0.16,0.2667,-35.0,14000,0.1454,0,0.0,-0.0066,-4,0.2956,0.4451,0.1664,0.1646,89.49,66.4,89.02,57.66,0.4,0.5789,82.33,87.5,86.72,53.73
