animal,learner,pair,block,n_trials,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,sh_x,sh_y,angle_x,angle_y,cc_kcca,gini_kcca_x,gini_kcca_y
66,1,RSC-SUB,t1-10,10,5540,0.1462,1,0.0108,-0.0006,0,0.2328,0.0682,70.48,66.55,77.38,76.48,0.0318,0.2614,0.2498
66,1,RSC-SUB,late,10,4735,0.1078,0,0.0,0.0044,0,0.1308,0.0674,77.96,75.71,,,0.0735,0.3166,0.2682
66,1,V1-RSC,t1-5,5,2922,0.2874,1,0.0431,-0.0068,0,0.0925,0.3159,82.0,66.08,77.88,80.69,0.3026,0.241,0.3185
66,1,V1-RSC,t1-7,7,3996,0.2985,2,0.0661,0.0062,0,0.098,0.2494,82.48,88.02,80.48,87.09,0.3497,0.3264,0.3748
66,1,V1-RSC,t1-10,10,5540,0.2924,2,0.0698,-0.0208,0,0.1025,0.2287,66.43,67.85,84.03,83.02,0.2804,0.2996,0.3293
66,1,V1-RSC,late,10,4735,0.2206,1,0.025,-0.0464,0,0.1129,0.1156,82.22,83.41,,,0.169,0.2304,0.303
68,1,CA1-RSC,t1-5,5,2662,0.1609,0,0.0,-0.0273,0,0.4122,0.1342,89.24,77.77,87.37,71.71,0.1621,0.2558,0.3032
68,1,CA1-RSC,t1-7,7,3519,0.14,0,0.0,-0.0265,0,0.4428,0.1173,77.56,66.11,88.14,70.08,0.174,0.3369,0.297
68,1,CA1-RSC,t1-10,10,4867,0.1545,0,0.0,-0.0296,0,0.2173,0.1202,70.76,72.99,81.95,77.47,0.1225,0.3055,0.3291
68,1,CA1-RSC,late,10,4942,0.1548,1,0.0121,-0.0004,0,0.1009,0.0944,89.87,80.49,,,0.0667,0.3529,0.2366
68,1,CA1-CA3,t1-5,5,2662,0.4538,3,0.4199,-0.0327,0,0.455,0.5171,34.02,20.52,85.78,78.0,0.4718,0.3504,0.3301
68,1,CA1-CA3,t1-7,7,3519,0.517,3,0.415,-0.0362,0,0.4829,0.5058,26.07,11.41,84.97,77.76,0.4741,0.3645,0.3687
68,1,CA1-CA3,t1-10,10,4867,0.5245,3,0.2626,-0.0144,0,0.2328,0.5002,42.11,22.46,69.84,77.68,0.5035,0.3698,0.4392
68,1,CA1-CA3,late,10,4942,0.5153,2,0.1859,-0.0856,0,0.1436,0.1824,54.08,67.9,,,0.5083,0.3417,0.403
68,1,CA1-DG,t1-5,5,2662,0.3636,1,0.0709,0.0044,0,0.4115,0.1702,75.46,85.42,88.13,85.86,0.2658,0.3444,0.3206
68,1,CA1-DG,t1-7,7,3519,0.345,2,0.0829,0.0056,0,0.4423,0.1709,67.9,78.2,89.52,85.3,0.2084,0.368,0.2882
68,1,CA1-DG,t1-10,10,4867,0.3351,2,0.0801,-0.0385,0,0.2161,0.1654,61.49,81.88,89.6,85.35,0.1191,0.3229,0.2309
68,1,CA1-DG,late,10,4942,0.4677,2,0.1385,-0.0096,0,0.098,0.186,66.39,63.08,,,0.4545,0.3914,0.357
68,1,CA3-DG,t1-5,5,2662,0.4859,3,0.3022,0.0058,0,0.5335,0.2335,23.86,40.39,82.19,87.99,0.4044,0.4551,0.3099
68,1,CA3-DG,t1-7,7,3519,0.4623,3,0.2319,-0.0054,0,0.5321,0.2267,17.38,40.84,82.74,87.09,0.3947,0.407,0.3406
68,1,CA3-DG,t1-10,10,4867,0.4655,3,0.2799,-0.014,0,0.4977,0.231,18.36,27.37,83.12,81.56,0.4229,0.3683,0.3467
68,1,CA3-DG,late,10,4942,0.477,3,0.221,0.0145,0,0.1846,0.223,83.58,82.89,,,0.4226,0.3346,0.3903
70,0,CA1-RSC,t1-5,5,5808,0.1087,8,0.3414,-0.0093,0,0.3633,0.3972,85.66,86.44,81.74,88.84,0.1776,0.3156,0.3616
70,0,CA1-RSC,t1-7,7,8374,0.776,15,1.7184,-0.0154,0,0.3573,0.3734,76.28,73.11,87.52,82.92,0.0677,0.3419,0.3304
70,0,CA1-RSC,t1-10,10,12018,0.4852,9,0.6355,-0.0153,0,0.3221,0.3675,67.09,64.22,85.46,79.97,0.1169,0.3244,0.2873
70,0,CA1-RSC,late,10,8142,0.6512,13,0.929,-0.0097,0,0.3474,0.3832,78.95,86.48,,,0.1877,0.344,0.3181
70,0,CA1-DG,t1-5,5,5808,-0.0525,9,1.3882,-0.0559,0,0.362,0.337,86.81,77.17,70.29,74.32,0.1785,0.3105,0.5798
70,0,CA1-DG,t1-7,7,8374,0.8446,10,1.9744,-0.0578,0,0.3569,0.3092,63.44,49.21,71.15,80.31,0.2498,0.3124,0.5236
70,0,CA1-DG,t1-10,10,12018,0.6125,6,0.539,-0.0266,0,0.3231,0.3027,81.75,81.03,74.41,74.2,0.2476,0.3261,0.4765
70,0,CA1-DG,late,10,8142,-0.1221,7,0.3491,-0.0045,0,0.345,0.2577,78.57,87.75,,,0.237,0.3383,0.5397
70,0,CA1-V1,t1-5,5,5808,0.6128,9,0.5726,0.0083,0,0.3534,0.2713,72.01,73.36,87.42,69.35,0.2639,0.3708,0.3082
70,0,CA1-V1,t1-7,7,8374,0.8667,13,1.6012,0.0056,0,0.3479,0.2616,65.47,75.36,87.35,72.0,0.2263,0.3328,0.3145
70,0,CA1-V1,t1-10,10,12018,0.3785,11,0.5446,0.0191,0,0.3105,0.2424,71.6,59.62,83.29,66.29,0.2929,0.3284,0.3018
70,0,CA1-V1,late,10,8142,0.4515,11,1.1351,0.0519,0,0.3382,0.2569,61.58,63.07,,,0.348,0.3883,0.3542
70,0,CA1-SUB,t1-5,5,5808,0.2377,0,0.0,0.0948,5,0.3642,0.2905,65.23,72.38,84.92,60.57,0.1032,0.3267,0.5128
70,0,CA1-SUB,t1-7,7,8374,-0.0732,6,0.28,0.1158,0,0.3577,0.2808,67.92,72.89,86.47,56.14,0.0786,0.3164,0.5386
70,0,CA1-SUB,t1-10,10,12018,0.09,6,0.102,0.0357,0,0.3231,0.2247,66.7,46.72,84.35,59.58,0.0746,0.3251,0.5451
70,0,CA1-SUB,late,10,8142,0.4012,12,0.2963,-0.05,-6,0.3464,0.2393,74.91,75.77,,,0.1363,0.3409,0.5591
70,0,RSC-SUB,t1-5,5,5808,0.5025,2,0.2019,0.0385,0,0.3944,0.291,88.75,89.29,79.34,65.22,0.3572,0.3208,0.5381
