animal,learner,pair,dim,unc_cc,cue_cc,d_cc,unc_ifi,cue_ifi,d_ifi,unc_lag,cue_lag,unc_sig,cue_sig
68,1,CA3-DG,7,0.0364,0.0055,-0.0309,-0.0232,0.0119,0.0351,0,5,0,0
68,1,CA3-DG,8,0.0221,0.0104,-0.0117,0.0595,0.0659,0.0065,0,5,0,0
71,0,CA1-RSC,0,0.024,-0.1434,-0.1674,-0.0017,0.0203,0.022,0,5,0,0
71,0,CA1-RSC,1,-0.0048,0.3192,0.324,0.0033,0.0147,0.0114,0,5,0,1
71,0,CA1-RSC,2,0.0293,-0.2307,-0.2601,0.0169,-0.0031,-0.02,0,3,0,0
71,0,CA1-RSC,3,-0.0059,-0.1689,-0.1631,-0.0126,0.0368,0.0493,0,3,0,0
71,0,CA1-RSC,4,-0.0032,0.0277,0.0309,0.0156,0.0241,0.0084,0,-1,0,0
71,0,CA1-RSC,5,-0.0097,0.2991,0.3088,-0.0017,-0.0351,-0.0334,-1,-1,0,1
71,0,CA1-RSC,6,0.0109,-0.305,-0.3159,0.0078,-0.0312,-0.039,0,-1,0,0
71,0,CA1-RSC,7,-0.0068,0.1972,0.2039,0.055,-0.0168,-0.0718,0,-1,0,1
71,0,CA1-RSC,8,-0.0018,-0.1554,-0.1536,0.0328,-0.0167,-0.0495,0,-1,0,0
71,0,CA1-RSC,9,0.0059,-0.0754,-0.0813,0.0088,-0.0072,-0.016,4,3,0,0
71,0,CA1-RSC,10,0.0066,0.1938,0.1872,0.0246,0.0151,-0.0095,0,-1,0,1
71,0,CA1-RSC,11,0.0127,0.2908,0.278,0.0516,0.0309,-0.0208,5,2,0,1
71,0,CA1-RSC,12,0.0109,-0.0268,-0.0378,-0.0087,-0.1088,-0.1001,-2,-1,0,0
71,0,CA1-RSC,13,0.022,-0.2042,-0.2262,0.1325,-0.1495,-0.2821,0,-4,0,0
71,0,CA1-RSC,14,-0.0029,0.6024,0.6053,0.1009,-0.7563,-0.8572,0,-4,0,1
71,0,CA1-CA3,0,0.0846,-0.2655,-0.3501,-0.01,-0.0373,-0.0273,0,0,1,0
71,0,CA1-CA3,1,0.0281,-0.3666,-0.3947,0.0035,-0.0448,-0.0483,0,-1,0,0
71,0,CA1-CA3,2,0.017,-0.0221,-0.039,0.01,-0.0133,-0.0233,0,-5,0,0
71,0,CA1-CA3,3,0.0051,-0.014,-0.0192,0.0143,-0.0064,-0.0208,0,-4,0,0
71,0,CA1-CA3,4,0.02,0.1824,0.1625,-0.0009,0.0176,0.0186,-2,4,0,1
71,0,CA1-CA3,5,0.0173,-0.0158,-0.033,-0.0146,-0.0287,-0.0141,-2,-3,0,0
71,0,CA1-CA3,6,-0.009,-0.0411,-0.0321,-0.02,0.0007,0.0207,-5,2,0,0
71,0,CA1-CA3,7,0.0028,0.4803,0.4775,0.0206,0.0167,-0.0039,3,2,0,1
71,0,CA1-CA3,8,-0.005,0.238,0.243,0.0024,-0.0606,-0.063,3,-3,0,1
71,0,CA1-CA3,9,0.0058,-0.5086,-0.5144,0.0418,-0.0338,-0.0756,3,-2,0,0
71,0,CA1-CA3,10,-0.0067,0.3025,0.3093,0.0163,-0.0311,-0.0474,3,-5,0,1
71,0,CA1-CA3,11,-0.0238,-0.0087,0.0151,0.0157,-0.0297,-0.0454,3,0,0,0
71,0,CA1-CA3,12,-0.0093,0.1579,0.1672,0.0504,-0.0023,-0.0527,2,-3,0,1
71,0,CA1-CA3,13,-0.0058,0.3574,0.3631,0.1233,-0.0274,-0.1506,4,0,0,1
71,0,CA1-CA3,14,0.0029,0.2571,0.2542,0.0168,0.2083,0.1915,-4,0,0,1
71,0,CA1-DG,0,0.1367,0.3326,0.1959,0.0659,-0.0033,-0.0692,-4,-5,1,1
71,0,CA1-DG,1,0.096,0.3502,0.2542,0.0583,0.0693,0.011,0,0,1,1
71,0,CA1-DG,2,0.02,0.1125,0.0926,0.0751,0.0216,-0.0535,4,0,0,1
71,0,CA1-DG,3,0.003,0.2289,0.2258,0.0791,-0.0199,-0.099,4,0,0,1
71,0,CA1-DG,4,0.0022,0.2511,0.2489,0.0709,0.0293,-0.0417,3,2,0,1
71,0,CA1-DG,5,0.0089,-0.2338,-0.2426,0.0555,0.0477,-0.0079,4,2,0,0
71,0,CA1-DG,6,0.0039,-0.0248,-0.0286,0.0625,0.0471,-0.0154,3,2,0,0
71,0,CA1-DG,7,-0.0049,-0.2398,-0.2348,0.0553,0.0444,-0.0109,4,3,0,0
71,0,CA1-DG,8,0.0071,0.1631,0.1561,0.0188,0.0644,0.0456,4,3,0,1
71,0,CA1-DG,9,-0.009,-0.1951,-0.1861,0.0866,-0.0098,-0.0964,4,-2,0,0
71,0,CA1-DG,10,0.0019,-0.229,-0.2309,0.044,-0.0043,-0.0483,4,-2,0,0
71,0,CA1-DG,11,0.0134,0.2052,0.1918,-0.0451,0.0281,0.0732,-3,-2,0,1
71,0,CA1-DG,12,-0.0091,-0.2452,-0.2361,0.0202,0.0183,-0.002,-3,-2,0,0
71,0,CA1-DG,13,-0.0025,-0.2399,-0.2373,-0.1172,-0.0063,0.1109,-3,0,0,0
71,0,CA1-DG,14,0.0061,0.2162,0.2102,0.1779,-0.3925,-0.5704,1,-3,0,1
71,0,CA1-V1,0,-0.0003,-0.0563,-0.056,-0.0422,0.0074,0.0495,-2,0,0,0
71,0,CA1-V1,1,0.0122,-0.2114,-0.2236,-0.0051,0.0084,0.0135,-2,0,0,0
71,0,CA1-V1,2,-0.0126,0.2945,0.3072,0.0108,-0.0004,-0.0112,-2,0,0,1
71,0,CA1-V1,3,-0.0075,0.2137,0.2212,0.0321,0.0173,-0.0148,4,0,0,1
71,0,CA1-V1,4,0.0051,0.3376,0.3324,-0.0109,0.01,0.0209,4,1,0,1
71,0,CA1-V1,5,0.0029,0.1495,0.1466,0.0085,-0.003,-0.0115,-4,0,0,1
71,0,CA1-V1,6,0.0093,-0.1013,-0.1106,-0.007,-0.0055,0.0016,-3,4,0,0
71,0,CA1-V1,7,-0.0009,0.1747,0.1755,0.0068,-0.0204,-0.0271,-3,-5,0,1
71,0,CA1-V1,8,-0.0024,0.6605,0.6628,-0.0008,-0.0138,-0.013,0,0,0,1
71,0,CA1-V1,9,0.0091,0.2851,0.276,-0.0094,0.0284,0.0379,0,4,0,1
71,0,CA1-V1,10,0.0185,0.5005,0.482,-0.0271,0.0658,0.0928,0,4,0,1
71,0,CA1-V1,11,0.0196,0.2597,0.2401,0.0101,0.0601,0.05,0,0,0,1
71,0,CA1-V1,12,-0.0057,0.6422,0.6479,-0.0231,-0.0457,-0.0226,5,0,0,1
71,0,CA1-V1,13,0.0116,-0.3027,-0.3142,0.1753,0.0349,-0.1404,-3,4,0,0
71,0,CA1-V1,14,-0.0126,-0.0078,0.0048,0.0256,0.0313,0.0057,-3,4,0,0
71,0,CA3-DG,0,0.1889,0.4465,0.2576,0.0196,0.0528,0.0332,0,0,1,1
71,0,CA3-DG,1,0.1706,0.1432,-0.0274,-0.1346,-0.062,0.0726,0,0,1,1
71,0,CA3-DG,2,0.0354,0.2436,0.2081,-0.0133,-0.1322,-0.1189,0,-1,0,1
