family,metric,cell,contrast,n,med_delta,t_p,w_p
pair,rho_contrib_conn_tune,RSC-SUB SUB,expert-intermediate,4,0.1329,0.30705,0.375
pair,rho_contrib_conn_tune,V1-RSC V1,expert-naive,6,0.1314,0.30236,0.3125
pair,rho_contrib_conn_tune,V1-RSC V1,intermediate-naive,6,0.1999,0.10274,0.15625
pair,rho_contrib_conn_tune,V1-RSC V1,expert-intermediate,6,0.0603,0.70909,0.84375
pair,rho_contrib_conn_tune,V1-RSC RSC,expert-naive,6,-0.0471,0.38924,0.5625
pair,rho_contrib_conn_tune,V1-RSC RSC,intermediate-naive,6,-0.0327,0.43721,1.0
pair,rho_contrib_conn_tune,V1-RSC RSC,expert-intermediate,6,-0.0767,0.40307,0.5625
pair,rho_contrib_conn_tune_ratepart,CA1-CA3 CA1,expert-naive,5,0.0062,0.45882,0.8125
pair,rho_contrib_conn_tune_ratepart,CA1-CA3 CA1,intermediate-naive,5,-0.056,0.77362,1.0
pair,rho_contrib_conn_tune_ratepart,CA1-CA3 CA1,expert-intermediate,5,-0.1195,0.63057,0.625
pair,rho_contrib_conn_tune_ratepart,CA1-CA3 CA3,expert-naive,5,0.1509,0.37671,0.8125
pair,rho_contrib_conn_tune_ratepart,CA1-CA3 CA3,intermediate-naive,5,-0.2598,0.27258,0.0625
pair,rho_contrib_conn_tune_ratepart,CA1-CA3 CA3,expert-intermediate,5,0.274,0.98019,1.0
pair,rho_contrib_conn_tune_ratepart,CA1-DG CA1,expert-naive,8,0.0956,0.22617,0.19531
pair,rho_contrib_conn_tune_ratepart,CA1-DG CA1,intermediate-naive,8,0.1479,0.20685,0.25
pair,rho_contrib_conn_tune_ratepart,CA1-DG CA1,expert-intermediate,8,-0.0337,0.48181,0.38281
pair,rho_contrib_conn_tune_ratepart,CA1-DG DG,expert-naive,8,-0.152,0.58183,0.74219
pair,rho_contrib_conn_tune_ratepart,CA1-DG DG,intermediate-naive,8,-0.124,0.15085,0.19531
pair,rho_contrib_conn_tune_ratepart,CA1-DG DG,expert-intermediate,8,0.0625,0.36578,0.64062
pair,rho_contrib_conn_tune_ratepart,CA1-RSC CA1,expert-naive,8,0.0948,0.68324,0.74219
pair,rho_contrib_conn_tune_ratepart,CA1-RSC CA1,intermediate-naive,8,-0.1353,0.50137,0.54688
pair,rho_contrib_conn_tune_ratepart,CA1-RSC CA1,expert-intermediate,8,0.1038,0.90522,0.46094
pair,rho_contrib_conn_tune_ratepart,CA1-RSC RSC,expert-naive,8,0.0578,0.33813,0.3125
pair,rho_contrib_conn_tune_ratepart,CA1-RSC RSC,intermediate-naive,8,0.0731,0.09745,0.14844
pair,rho_contrib_conn_tune_ratepart,CA1-RSC RSC,expert-intermediate,8,-0.0277,0.38038,0.46094
pair,rho_contrib_conn_tune_ratepart,CA1-SUB CA1,expert-naive,4,-0.05,0.73167,0.875
pair,rho_contrib_conn_tune_ratepart,CA1-SUB CA1,intermediate-naive,4,0.0657,0.29936,0.375
